,open,high,low,close,volume
2019-12-19,18.0500,19.3000,17.7500,19.0500,350668600
2019-11-29,17.4500,18.3000,17.1800,18.0500,256540300
2019-10-31,19.3000,19.4600,17.3100,17.3800,542097100
2019-09-30,18.7200,19.7600,18.2600,19.2500,399575000
2019-08-30,20.1600,20.7200,17.9100,18.7200,493144000
2019-07-31,18.1000,20.7700,17.6900,20.1300,513730100
2019-06-28,17.6000,18.5800,17.2200,17.8900,325156900
2019-05-31,18.2600,18.5300,16.3500,17.5500,520169200
2019-04-30,16.8700,18.5400,16.7200,18.4700,400210400
2019-03-29,17.1400,17.5200,16.3000,16.8300,449381400
2019-02-28,17.5400,19.0500,17.1700,17.2300,469118200
2019-01-31,15.4000,18.2000,15.4000,17.5100,540091700
2018-12-28,17.0000,17.0100,14.9100,15.3800,333356000
2018-11-30,16.3700,16.9200,15.5900,16.9200,349110100
2018-10-31,18.3500,18.8000,14.5400,16.3400,511203300
2018-09-28,18.9000,19.1800,17.8900,18.3400,258451600
2018-08-31,19.4500,19.7100,18.5700,18.8500,334493400
2018-07-31,17.9300,20.3000,17.8000,19.4100,293024800
2018-06-29,19.6000,20.3200,17.7900,17.9800,361299900
2018-05-30,23.1700,23.3500,19.3900,19.6900,473665200
2018-04-30,24.0700,24.5600,22.7700,23.3300,268808900
2018-03-29,22.6800,24.3400,22.0200,24.0700,271430800
2018-02-28,22.0300,22.8200,21.1000,22.0000,321492300
2018-01-31,21.3300,22.2600,21.1700,21.9500,217331600
2017-12-29,20.4500,21.7200,20.3000,21.2800,262042800
2017-11-30,21.0000,21.2200,19.8600,20.5600,269399000
2017-10-31,20.9200,22.7000,20.4800,20.9000,314312600
2017-09-29,19.9300,21.7000,19.6000,21.0400,300059500
2017-08-31,19.1600,20.0000,19.0900,19.8600,238348000
2017-07-31,18.3600,19.4100,17.7200,19.1500,204873100
2017-06-30,18.7200,19.2100,17.6600,18.3100,341978800
2017-05-31,18.3700,19.9200,18.0500,18.7100,339908400
2017-04-28,18.2000,18.4000,17.4000,18.2600,232699700
2017-03-31,17.9900,18.3700,16.7500,18.2400,265666300
2017-02-24,17.2700,18.5900,16.7900,17.8400,187604000
2017-01-31,16.3400,17.5400,16.1700,17.2000,215259900
2016-12-29,17.0000,17.0600,15.7900,16.4000,277888700
2016-11-30,18.7900,18.8400,17.0300,17.1500,293148800
2016-10-31,19.7100,19.8600,18.7200,18.8300,268468700
2016-09-30,19.0500,20.0000,18.9900,19.8200,241568900
2016-08-31,18.8900,20.0900,18.4600,19.1900,274227400
2016-07-29,19.0800,19.5700,18.7100,18.8000,240728100
2016-06-30,18.9900,19.6000,18.0700,19.0500,282526100
2016-05-31,19.3500,19.7100,18.3000,19.1100,270813800
2016-04-29,18.8300,19.5300,18.2000,19.3900,161688000
2016-03-31,17.7800,19.5700,17.6700,18.8000,404884000
2016-02-29,18.3100,18.8200,17.4700,17.6400,231477900
2016-01-29,17.7300,18.6600,15.9900,18.6600,261121600
2015-12-30,18.6800,19.0800,17.6300,17.8500,226318000
2015-11-30,19.1000,19.7900,18.2000,18.6400,226454000
2015-10-30,19.4100,20.4600,18.2600,19.0900,272747100
2015-09-30,18.6500,20.1800,18.5500,19.4200,314082100
2015-08-31,19.3500,20.0600,16.9600,19.0900,302795300
2015-07-31,19.0500,19.8900,18.3900,19.4700,231914500
2015-06-30,18.5000,19.2400,18.0900,18.9900,256627600
2015-05-29,19.0300,20.2900,18.1500,18.5300,205488100
2015-04-30,18.6500,19.6900,18.4200,18.9500,218542400
2015-03-31,18.3100,18.9700,17.3500,18.4800,252616400
2015-02-27,17.5200,18.8800,17.1600,18.3100,193123300
2015-01-30,16.1400,17.8700,15.5400,17.6900,262525100
2014-12-30,16.5200,16.5800,15.0000,16.2900,761565949
