,open,high,low,close,volume
2019-12-19,52.9000,58.0600,52.2400,57.5700,36171900
2019-11-29,52.8500,54.6700,47.7000,53.1000,52249900
2019-10-31,50.0900,53.6400,46.7100,52.5200,57665400
2019-09-30,47.4800,52.5700,45.7000,49.7100,75643500
2019-08-30,52.3000,56.6800,44.8800,47.1000,78918100
2019-07-31,43.5000,53.5700,41.8400,51.7800,58585900
2019-06-28,39.5000,45.8700,38.8800,43.2900,54401000
2019-05-31,33.6200,40.0000,32.1100,39.2000,78002900
2019-04-30,38.6000,39.2900,31.1300,34.0000,49285200
2019-03-29,37.5200,42.8800,35.7500,38.2700,45074000
2019-02-28,36.9200,39.4800,35.7600,37.6500,46844000
2019-01-31,35.9700,38.0000,34.3400,37.1100,41441900
2018-12-28,34.7500,36.0000,30.5600,36.0000,36624500
2018-11-30,30.8000,36.6000,29.7000,34.7400,47951800
2018-10-31,24.0500,31.8600,22.6400,30.5900,61646500
2018-09-28,22.7500,25.3000,21.6000,24.0500,19638600
2018-08-31,24.1300,25.1000,21.7800,23.0000,35812800
2018-07-31,21.1800,26.0000,20.1900,24.1300,27560600
2018-06-29,26.4800,27.1600,20.5400,21.3300,38472300
2018-05-30,36.3900,36.5300,24.2400,26.5100,47020200
2018-04-30,38.1900,39.4000,33.8800,36.4000,30460900
2018-03-29,33.5000,38.7600,32.1500,38.2000,25752100
2018-02-28,31.0500,34.0900,29.1000,33.6300,20847300
2018-01-31,27.0000,31.7000,25.6500,31.0500,16849400
2017-12-29,26.8500,27.7800,25.5100,26.9000,23776500
2017-11-30,27.5000,28.9100,25.4500,26.8700,14075500
2017-10-31,29.2000,30.8500,27.4000,27.4000,11452300
2017-09-29,26.5500,30.8900,26.2000,29.2000,23814900
2017-08-31,27.3000,28.3600,25.5000,26.5500,6803500
2017-07-31,23.4500,27.7400,23.3800,27.3000,5261600
2017-06-30,24.2000,24.3000,22.3000,23.4500,5289600
2017-05-31,24.0000,27.4400,21.7200,23.5900,13680400
