,open,high,low,close,volume
2019-12-19,47.8600,49.4500,45.8700,48.6500,149952800
2019-11-29,48.5100,50.4000,45.8200,47.7200,167424200
2019-10-31,43.8700,48.8200,42.4900,48.3800,161839000
2019-09-30,44.5000,46.3700,42.6100,43.6300,175256400
2019-08-30,42.4800,46.7900,41.2600,44.8000,257167000
2019-07-31,38.0000,43.3600,37.3700,42.1900,191461600
2019-06-28,37.0000,39.9200,35.3100,37.4600,236241200
2019-05-31,34.2500,37.5900,31.2600,36.5700,195201700
2019-04-30,32.2400,35.0600,30.2000,34.4500,189685800
2019-03-29,32.6600,34.9000,30.6900,32.1200,182938700
2019-02-28,31.2500,33.9900,30.4800,32.7900,234505900
2019-01-31,26.8500,32.6000,26.6800,31.4700,281377700
2018-12-28,28.5900,29.2000,25.6200,26.8100,193826400
2018-11-30,26.7500,28.9000,25.0200,28.2000,186536700
2018-10-31,23.4000,26.8800,22.6000,26.5400,297606900
2018-09-28,21.4100,23.6100,20.6700,23.4000,161772800
2018-08-31,23.7900,25.1000,20.8200,21.7600,203800500
2018-07-31,20.4500,24.2700,20.1100,23.7900,203072100
2018-06-29,21.9800,23.0700,18.9200,20.4500,315242900
2018-05-30,25.0600,25.1000,20.3000,21.7700,268639000
2018-04-30,26.3500,27.1500,24.7500,25.3000,149141800
2018-03-29,25.5600,27.3200,25.0400,26.6900,148020100
2018-02-28,26.1000,27.4200,23.3200,25.6200,213567200
2018-01-31,22.8900,27.0500,22.6800,26.0800,188988700
2017-12-29,23.0200,23.5300,21.6100,22.7800,187774100
2017-11-30,24.0900,24.6300,22.2600,23.2400,170258800
2017-10-31,24.0600,25.8000,23.2700,23.9000,173112300
2017-09-29,22.3100,25.0900,22.2600,23.9500,188025900
2017-08-31,20.4800,22.9800,20.4100,22.1200,177500400
2017-07-31,19.7500,21.1000,19.2400,20.4900,140982500
2017-06-30,18.5500,19.8700,18.2400,19.7500,140366000
2017-05-31,19.0900,20.7900,16.1600,18.4200,251942500
2017-04-28,19.3800,19.9500,18.5100,19.0100,235768400
2017-03-31,19.1500,19.7400,17.8200,19.2900,340837000
2017-02-24,18.6000,20.4300,18.2800,19.0200,161554700
2017-01-31,16.2600,18.6800,16.1500,18.4900,260783200
2016-12-29,15.7200,16.7400,14.9400,16.5000,213905600
2016-11-30,18.8000,18.9600,16.0000,16.6100,236833800
2016-10-31,16.8100,19.0100,16.6400,18.8000,264893900
2016-09-30,17.8600,18.1000,16.2000,16.8100,198539200
2016-08-31,19.2500,19.5000,17.4000,17.9100,204103800
2016-07-29,18.0000,20.7600,17.2400,19.0900,208985800
2016-06-30,15.8600,18.0000,15.4000,18.0000,211045900
2016-05-31,17.1500,18.2300,15.7400,15.9200,194234700
2016-04-29,15.6000,18.2000,14.7800,17.1800,137536200
2016-03-31,11.7000,16.4200,11.5700,15.3500,490589600
