,open,high,low,close,volume
2019-12-19,47.8100,50.9500,47.4300,50.7500,161317400
2019-11-29,48.4400,48.8000,45.4900,47.8100,217364600
2019-10-31,45.7100,49.4200,43.0100,48.1500,348275500
2019-09-30,46.2400,50.5300,44.6200,45.4900,203290400
2019-08-30,49.8000,50.4700,43.4400,46.2400,224589100
2019-07-31,54.5600,55.7000,49.1100,49.2200,231002500
2019-06-28,52.2200,54.2800,49.9400,53.9400,210076400
2019-05-31,49.3000,52.5800,44.5500,51.8500,239606200
2019-04-30,49.3900,50.3000,46.1600,49.6800,233458400
2019-03-29,50.7600,54.6000,46.4000,48.7200,225715600
2019-02-28,51.5600,55.9100,50.1000,50.6000,244237500
2019-01-31,46.2000,52.7500,46.0900,51.8600,224202200
2018-12-28,45.6000,46.4900,42.4800,46.4900,162334400
2018-11-30,42.8000,45.9100,39.7300,44.6300,245535400
2018-10-31,29.5500,43.6000,28.2000,42.7500,460473300
2018-09-28,29.8600,30.7000,26.7600,29.4500,219003400
2018-08-31,32.2200,34.6700,28.7300,30.1000,257991600
2018-07-31,28.2800,33.7400,28.2000,32.5000,220067700
2018-06-29,31.1400,31.4000,24.1400,28.6500,313893500
2018-05-30,36.5000,37.3500,27.7300,30.3700,245287400
2018-04-30,41.0400,41.7500,35.9000,36.7000,174482800
2018-03-29,41.7800,44.3000,39.7300,41.0300,200888700
2018-02-28,39.4300,43.2800,37.2600,41.8000,164849700
2018-01-31,32.0900,40.1000,32.0900,39.6800,217943900
2017-12-29,29.9500,32.3700,29.6200,31.8200,151342300
2017-11-30,35.0000,35.0400,29.9300,29.9300,186174200
2017-10-31,34.7800,37.8300,34.4400,34.4400,156185600
2017-09-29,31.0000,35.9700,31.0000,34.9000,172899800
2017-08-31,28.8700,32.4100,28.7500,30.7000,165816900
2017-07-31,26.9600,30.0000,26.4500,28.7000,120714300
2017-06-30,28.6100,28.9500,25.4800,26.8000,165175100
2017-05-31,33.0700,35.3900,25.2000,28.3400,205119600
2017-04-28,33.7600,34.2900,30.6000,32.8500,122768600
2017-03-31,33.9000,35.2900,31.8000,33.7700,158256900
2017-02-24,31.3900,34.7500,29.8500,33.1000,129950700
2017-01-31,27.9000,32.0000,27.4400,31.1100,137387900
2016-12-29,26.6200,28.0900,25.0200,28.0900,147629800
2016-11-30,29.3800,29.4600,23.0700,28.5000,201480400
2016-10-31,22.9000,29.4000,22.9000,29.2900,187026200
2016-09-30,23.4500,24.3000,21.6500,22.8000,156771500
2016-08-31,21.1400,24.3400,20.0300,23.2100,200675700
2016-07-29,17.1900,21.9000,16.5700,21.0500,222982600
2016-06-30,16.3800,17.6000,15.3900,17.1800,233835300
2016-05-31,22.0000,22.1300,15.8600,16.4700,259496700
2016-04-29,19.3900,23.1300,17.8000,22.1100,140806900
2016-03-31,13.7200,23.6200,13.6200,19.7700,407126500
2016-02-29,13.7400,14.2000,12.7000,13.5400,165276900
2016-01-29,14.4400,14.5700,12.5200,13.8500,135789100
