,open,high,low,close,volume
2019-12-19,31.3100,34.1900,31.2000,34.0800,42155900
2019-11-29,33.0100,33.4700,30.3600,31.2500,53633200
2019-10-31,31.3800,34.3200,29.2700,32.8500,61488600
2019-09-30,30.0100,32.1800,28.9500,31.2500,60912300
2019-08-30,31.1800,32.1000,27.7600,30.3000,76226300
2019-07-31,33.6200,35.8900,31.0100,31.1100,51481500
2019-06-28,32.7500,34.0000,31.6100,33.4500,54410300
2019-05-31,30.7200,32.8900,27.9000,32.6500,64455600
2019-04-30,31.8200,32.2300,29.4800,31.0000,61674100
2019-03-29,32.3833,33.4833,29.1833,31.5417,61559520
2019-02-28,33.6250,34.6750,32.0917,32.1083,64532400
2019-01-31,28.3167,34.3167,27.9583,33.5500,66649920
2018-12-28,28.7000,28.8083,26.4833,28.2083,50414880
2018-11-30,25.5000,29.2167,25.5000,27.9917,64321680
2018-10-31,21.2917,25.8250,21.0083,25.2083,81381600
2018-09-28,20.7417,21.9500,19.7250,21.4583,41089440
2018-08-31,23.0000,24.1083,20.0250,20.9250,47844960
2018-07-31,19.8750,24.2083,19.6083,23.2333,62436960
2018-06-29,22.0083,22.9750,18.6083,20.3167,58636440
2018-05-30,26.3750,26.6750,21.6083,21.7333,61124760
2018-04-30,28.9083,29.5833,25.4583,26.5833,99288720
2018-03-29,28.0833,29.4167,27.2879,29.1439,33790284
2018-02-28,29.7652,29.7879,25.9924,27.9015,37637688
2018-01-31,24.4545,30.6667,24.2727,29.7955,35134308
2017-12-29,22.9167,24.2879,22.3636,24.2879,36041148
2017-11-30,24.8030,24.8939,22.6591,23.0152,41703420
2017-10-31,25.2955,27.1439,24.4015,24.8333,50168184
2017-09-29,24.5909,26.7121,24.2879,25.3030,38807868
2017-08-31,22.9091,25.1894,22.6061,24.4318,29835564
2017-07-31,20.8333,22.9545,20.3712,22.8409,24112572
2017-06-30,20.6591,21.0000,19.4015,20.9091,35285844
2017-05-31,22.7273,23.5833,19.0076,20.4924,53062416
2017-04-28,22.1763,22.6997,21.1088,22.4174,31615120
2017-03-31,22.6584,22.6791,21.1432,22.0730,59396382
2017-02-24,22.3829,23.5262,20.9366,22.4725,39241608
2017-01-31,19.8485,22.7411,19.7245,22.1350,40552473
2016-12-29,19.4284,20.0689,18.1887,20.0689,51353611
2016-11-30,21.7975,21.9697,18.7534,20.0689,42090576
2016-10-31,19.0771,21.9628,19.0771,21.8526,38722810
2016-09-30,20.0482,20.9986,18.8705,19.5248,45207875
2016-08-31,20.1240,21.0193,19.4077,20.0413,37673012
2016-07-29,18.7741,20.5992,18.2094,20.1171,41813100
2016-06-30,16.9422,18.7810,16.8113,18.6019,44707225
2016-05-31,19.5592,20.3857,16.5014,16.8802,36575009
2016-04-29,18.4573,20.7613,18.1067,19.3457,29859047
2016-03-31,14.7821,20.0789,14.7258,18.8330,80788934
2016-02-29,12.3216,14.6319,11.8958,14.5693,53644838
2016-01-29,12.6471,12.8224,11.2071,12.2652,48852918
2015-12-30,14.8939,16.1709,12.8350,12.8350,78380499
2015-11-30,14.8254,16.5758,14.3831,14.9625,58077787
2015-10-30,14.9064,17.1302,14.5762,14.6012,58831176
2015-09-30,15.0870,17.1800,14.2274,14.7133,67842981
2015-08-31,16.7253,17.1489,14.3458,15.6788,78837557
2015-07-31,17.3171,18.0272,15.9031,17.2299,46135090
2015-06-30,16.3204,17.8216,16.0401,17.4292,52826841
2015-05-29,18.7872,19.1796,16.3204,16.3204,40007300
2015-04-30,19.0301,20.1825,18.4445,18.7124,42402327
2015-03-31,19.3779,19.6219,17.2703,18.7685,45996357
2015-02-27,17.6493,20.0787,17.1406,19.3831,28868211
2015-01-30,17.5662,19.0457,17.0679,17.3897,43063636
2014-12-30,19.4921,19.5025,16.3100,17.8154,39863281
2014-11-28,18.5266,20.7016,17.2081,19.8555,40033373
2014-10-31,17.8414,20.6497,16.5332,18.9367,78422542
2014-09-30,21.0909,21.4387,17.6493,18.1684,50828080
2014-08-29,18.2359,21.2051,17.9659,20.9196,54282927
2014-07-31,16.8032,19.1806,16.5177,18.3657,33684654
2014-06-30,16.7305,18.2930,16.3412,16.7357,33753811
2014-05-30,17.6752,18.9678,16.5903,16.6838,49348202
2014-04-30,17.4468,19.1962,16.8706,17.8414,70847078
2014-03-31,15.0901,17.6493,14.4413,17.4468,40801629
2014-02-28,14.8098,15.5158,14.0831,15.1317,42242981
2014-01-31,16.5955,16.6474,14.4776,14.8981,50413901
2013-12-30,17.5195,18.0698,15.7754,16.5851,59089734
