,open,high,low,close,volume
2019-12-19,34.6800,38.2100,34.4800,37.9900,38225100
2019-11-29,34.1100,35.6200,33.3600,34.4500,56879800
2019-10-31,35.1000,35.8100,31.9000,33.9700,66010700
2019-09-30,32.7000,35.8700,32.2200,35.0300,52773800
2019-08-30,32.4500,35.4500,31.5100,32.6700,77828700
2019-07-31,32.6700,34.5800,32.0200,32.4500,86261400
2019-06-28,30.0500,33.1000,29.7000,32.3800,78594400
2019-05-31,28.2300,30.2200,27.1700,29.8400,100790000
2019-04-30,26.6100,28.9000,26.3800,28.2600,75213300
2019-03-29,27.3000,28.2500,25.6100,26.5200,76842800
2019-02-28,31.0000,31.8700,27.0000,27.3000,123831100
2019-01-31,27.8800,31.4300,26.6500,31.0600,97275100
2018-12-28,28.7800,29.1800,26.0200,27.5900,76401500
2018-11-30,26.5000,28.8900,26.1100,28.3200,79872000
2018-10-31,24.1500,27.8000,23.7900,26.4800,110907700
2018-09-28,24.2500,25.0000,22.8100,24.1000,56220300
2018-08-31,24.5000,26.3900,22.9100,24.4800,81279500
2018-07-31,24.3000,26.4800,24.1700,24.4900,62910800
2018-06-29,26.3800,27.0000,23.6100,24.4600,67864000
2018-05-30,27.3000,28.3000,25.7700,26.0600,81862200
2018-04-30,29.3000,29.3000,27.3800,27.4800,49936600
2018-03-29,28.9300,29.8000,27.8400,29.2700,66590600
2018-02-28,31.2300,32.2000,28.8900,29.1000,63013800
2018-01-31,28.6500,32.5500,28.5200,31.1100,61035100
2017-12-29,26.6200,28.6500,26.6200,28.4900,49831000
2017-11-30,27.9300,29.0700,26.5000,26.8800,87180500
2017-10-31,28.6000,29.7000,27.4400,27.7300,70893900
2017-09-29,27.8000,29.7900,27.7500,28.6300,80217400
2017-08-31,27.5200,28.3700,25.3000,27.7200,119405900
2017-07-31,28.3500,29.3200,27.1200,27.4500,61686400
2017-06-30,29.5000,30.6500,27.5500,28.6500,89656300
2017-05-31,29.9600,31.7600,26.3200,29.1000,81213600
2017-04-28,29.3400,29.8900,28.0500,29.8900,71353200
2017-03-31,29.5000,30.4300,27.7800,29.2000,80830800
2017-02-24,28.1000,30.0000,27.0300,28.6200,70703200
2017-01-31,27.8500,29.8800,26.8500,27.9100,81297200
2016-12-29,27.6900,28.4200,25.5400,28.3000,82693700
2016-11-30,32.2500,32.2500,27.4200,28.2900,81538700
2016-10-31,30.0500,32.7000,29.8500,32.1400,59850600
2016-09-30,29.0500,31.4800,29.0300,29.8800,74662900
2016-08-31,30.2600,30.8400,27.9100,29.1500,83393300
2016-07-29,28.1700,30.2800,26.3800,30.1400,91964900
2016-06-30,27.1200,28.3200,25.8100,28.1100,97396400
2016-05-31,30.1100,30.3000,25.6500,27.2600,119359500
2016-04-29,29.4000,33.7500,28.3600,30.0000,65835400
2016-03-31,24.3000,32.5900,24.2100,29.7200,146006700
2016-02-29,22.9300,25.4100,22.2800,24.1200,97972600
2016-01-29,23.8500,24.6100,20.9000,23.1300,128027300
2015-12-30,26.1400,28.8200,23.8700,24.3300,94639700
2015-11-30,26.8400,29.9900,25.9700,25.9700,80720700
2015-10-30,25.0700,29.6400,24.3700,26.6000,110782300
2015-09-30,28.1500,28.8700,23.9200,24.8100,128596300
2015-08-31,32.2500,32.9300,27.5500,28.7000,82995400
2015-07-31,34.2000,34.8400,29.6200,32.2100,88149700
2015-06-30,33.4100,35.6500,32.7300,34.0200,99005100
2015-05-29,35.2600,37.6500,33.1600,33.3300,93102400
2015-04-30,33.0100,36.7000,32.9200,35.1900,109850100
2015-03-31,32.1000,33.4200,29.1500,32.8700,121122100
2015-02-27,29.8000,33.3000,28.3500,32.1600,114758500
2015-01-30,31.8500,31.9000,28.3500,29.7900,102883400
2014-12-30,32.5100,32.8100,29.2100,31.8700,353899482
2014-11-28,33.1800,35.2000,30.7000,33.5200,75836900
2014-10-31,32.0400,33.2800,27.9800,33.0600,124141500
2014-09-30,35.5200,35.9800,29.8100,32.2000,95581700
2014-08-29,33.0800,35.8700,31.9000,35.6900,90724000
2014-07-31,32.3100,35.3000,31.3700,33.1000,78426100
2014-06-30,28.5900,32.8800,28.2300,32.4400,76369300
2014-05-30,26.2500,28.9900,26.2200,28.5000,96894200
2014-04-30,25.1100,26.8400,24.5200,26.1500,109069500
2014-03-31,23.5000,25.1200,22.0700,25.1100,127215800
2014-02-28,22.6000,24.6000,21.5400,23.3000,100657300
2014-01-31,24.4400,24.5000,22.1500,22.7000,115349700
2013-12-30,25.2100,25.5000,23.6200,24.5000,59691100
2013-11-29,24.4700,25.5900,22.6600,25.4000,76612400
2013-10-31,21.7500,24.6000,21.3500,24.4700,96452900
2013-09-30,19.0400,22.1600,19.0000,21.8100,102208000
2013-08-30,18.4400,20.1000,17.8600,19.2400,98911900
2013-07-31,17.2700,18.4500,16.8000,18.4400,80988300
2013-06-28,18.3600,18.4400,15.9800,17.6000,124878200
2013-05-31,17.0000,18.9000,16.9800,18.4700,235634100
