,open,high,low,close,volume
2019-12-19,34.0100,38.2000,34.0100,37.5900,16695100
2019-11-29,32.2000,35.0000,31.7500,34.2000,24581900
2019-10-31,31.5400,32.8600,29.0400,32.0100,32753500
2019-09-30,29.0000,31.8200,28.2900,31.5600,32120800
2019-08-30,31.4300,31.4300,26.7100,28.4300,50367600
2019-07-31,33.3000,33.9100,31.2300,31.6200,34989600
2019-06-28,30.9400,33.6600,30.0100,32.8500,28871100
2019-05-31,30.9900,31.5700,28.4200,30.7000,47628000
2019-04-30,32.5000,33.7600,31.0600,31.9000,32628800
2019-03-29,28.9900,32.5200,27.9000,31.9000,35025100
2019-02-28,28.4100,29.3300,25.4800,28.8200,52811800
2019-01-31,30.8500,35.2500,26.3700,28.1300,83927800
2018-12-28,33.0000,33.1300,29.5200,31.6900,48662400
2018-11-30,34.6000,35.9300,30.0100,31.7800,39960100
2018-10-31,37.2600,38.4100,31.6700,34.5600,58825200
2018-09-28,30.7500,39.8900,29.6100,37.0700,36956700
2018-08-31,32.1400,32.5500,27.6100,31.0700,49179000
2018-07-31,28.7100,32.5800,28.0100,32.5800,24313500
2018-06-29,31.1200,34.7000,26.9000,29.2300,41207600
2018-05-30,35.2600,36.7000,30.0800,31.1500,68988800
2018-04-30,31.4600,37.1900,30.8100,35.5600,44095300
2018-03-29,34.4000,34.4000,29.7500,31.4900,42765700
2018-02-28,31.2400,35.8300,30.1000,34.1700,28742800
2018-01-31,28.8400,32.6200,28.8400,31.2900,39139500
2017-12-29,25.2900,29.2200,24.7900,28.7200,32220800
2017-11-30,24.4000,26.3000,22.7500,25.3100,37020300
2017-10-31,24.3000,25.4600,23.1700,24.0000,39773400
2017-09-29,27.1000,28.1600,23.0000,24.1000,45199700
2017-08-31,23.0000,27.1600,22.4200,26.8800,50022700
2017-07-31,20.6700,23.1300,20.4700,23.0800,40838900
2017-06-30,19.1500,21.1700,17.2100,20.6000,62238400
2017-05-31,19.9100,20.3900,16.5800,19.1200,54192100
2017-04-28,21.8900,22.6600,18.3400,19.8500,47268800
2017-03-31,23.6100,24.4900,19.8100,21.8900,51993500
2017-02-24,21.2000,27.3500,19.2300,23.4500,73971800
2017-01-31,14.7000,22.8000,14.4100,20.8000,51624200
2016-12-29,14.7800,16.9800,13.9600,14.8500,61466300
2016-11-30,13.2000,16.4900,12.4100,14.9500,60531500
2016-10-31,9.7000,13.3900,9.7000,12.9800,53029600
