,open,high,low,close,volume
2019-12-19,28.4900,29.5600,26.5200,29.2500,92441400
2019-11-29,28.4400,28.7500,26.8200,28.4400,122835500
2019-10-31,27.5400,29.2000,26.3400,28.2800,112715000
2019-09-30,28.4300,28.9300,26.4200,27.5300,105544500
2019-08-30,26.1000,29.5400,25.8100,28.8000,228591900
2019-07-31,25.3100,27.6300,23.1400,26.6000,296613600
2019-06-28,25.5600,25.9800,23.9200,25.0000,58204300
2019-05-31,23.4800,25.6000,21.0000,25.5500,92545200
2019-04-30,23.3500,25.6000,21.6000,23.7000,107537800
2019-03-29,24.4100,25.9700,22.8100,23.1500,101206900
2019-02-28,26.8700,27.1500,23.7400,24.4500,90819500
2019-01-31,25.8700,27.7300,25.1500,26.6500,126885100
2018-12-28,25.0000,25.8500,22.3600,25.7000,87046500
2018-11-30,24.0600,24.8300,20.4300,24.4500,115418000
2018-10-31,19.5000,26.7200,18.9100,23.9800,88827400
2018-09-28,19.4300,21.3400,17.8500,19.5000,52642900
2018-08-31,19.3100,20.3500,17.6200,19.7800,42764000
2018-07-31,18.3000,21.6400,17.5200,19.4900,49009000
2018-06-29,18.6900,19.3300,16.0200,18.2900,78323600
2018-05-30,22.8800,23.4500,16.5000,18.2000,143353100
2018-04-30,23.0900,23.9900,21.5100,22.9600,66074700
2018-03-29,22.2000,24.5500,21.4300,23.0900,66069100
2018-02-28,21.3000,22.8400,19.3900,22.0900,43445000
2018-01-31,17.0000,21.1100,16.5700,21.0000,78685900
