,open,high,low,close,volume
2019-12-19,36.5500,37.3400,33.2100,34.3700,75276100
2019-11-29,35.5000,37.2200,32.5300,36.6000,122381100
2019-10-31,37.6500,38.7800,34.9100,35.5100,115718900
2019-09-30,38.1400,41.0600,36.2700,38.2000,126925300
2019-08-30,33.4700,40.2100,33.2100,38.1400,137091500
2019-07-31,30.0000,35.2600,29.9500,33.4100,131535400
2019-06-28,27.8800,29.8700,25.8700,29.5200,123327300
2019-05-31,30.7300,32.8200,27.3000,27.7000,203903300
2019-04-30,22.9000,31.0500,22.6000,31.0500,201378400
2019-03-29,20.7400,23.5000,19.3300,22.6500,149148000
2019-02-28,23.6900,25.3300,20.3100,20.5700,153757500
2019-01-31,21.9500,24.8600,20.9100,23.5400,148992200
2018-12-28,22.6000,23.5800,21.2800,21.9300,110694400
2018-11-30,22.1000,22.7500,19.1300,22.1700,113393500
2018-10-31,22.0000,23.5700,19.8400,21.9000,119321400
2018-09-28,19.9400,22.4800,19.8500,21.9700,87675900
2018-08-31,22.8200,23.8400,19.2000,20.1300,107931100
2018-07-31,19.3500,24.1500,19.1900,22.6500,121712800
2018-06-29,21.6400,25.5500,17.8300,18.0000,167518900
2018-05-30,24.8600,25.3400,20.7200,21.4200,146399700
2018-04-30,22.9400,26.5000,20.2000,24.8000,160340000
2018-03-29,30.4000,31.1700,22.1600,22.8300,209824000
2018-02-28,35.4200,36.5100,28.1000,29.9200,128925400
2018-01-31,36.9700,40.0800,35.3300,35.3500,77731900
2017-12-29,38.2000,39.2000,35.1600,36.6000,72269400
2017-11-30,44.6600,44.7500,38.3500,38.4800,55178800
2017-10-31,45.8500,48.8000,43.2800,44.2500,45766300
2017-09-29,43.8500,47.2500,43.2200,45.6700,60502900
2017-08-31,37.0800,43.0000,36.7500,42.5200,74974900
2017-07-31,39.5000,39.7900,36.3300,36.9200,45013400
2017-06-30,43.7200,44.5400,38.2500,39.2000,60090200
2017-05-31,39.8200,46.9200,37.5000,43.3200,103372200
2017-04-28,38.6000,41.3100,37.0600,39.7900,45265600
2017-03-31,41.0000,41.9500,32.7200,38.6100,107322700
2017-02-24,44.7900,45.3800,38.9100,40.6200,51084200
2017-01-31,48.0300,49.7000,43.8600,44.4600,42356700
2016-12-29,50.9300,51.3500,45.8300,48.2500,40581100
2016-11-30,53.5100,54.3800,48.3500,51.6500,43467500
2016-10-31,55.0500,58.2700,51.5300,53.4000,45689900
2016-09-30,53.4900,56.3600,51.3500,55.3200,45742000
2016-08-31,54.3000,55.4000,51.1800,53.8500,48557100
2016-07-29,45.4000,54.4200,45.2900,54.3000,47003000
2016-06-30,45.7900,48.9100,42.8100,45.1300,54762000
2016-05-31,48.9800,50.0000,44.7000,45.6700,63600600
2016-04-29,51.0000,51.8300,47.4100,49.2000,29017800
2016-03-31,51.5000,55.9100,50.7700,51.3100,53242400
2016-02-29,47.8900,56.2800,47.4500,51.4000,45395300
2016-01-29,54.4000,55.3500,45.3500,48.2300,47174800
2015-12-30,55.4100,60.2500,54.8600,55.4000,59232000
2015-11-30,58.5100,59.4400,53.1200,55.0400,67015500
2015-10-30,70.2100,71.7900,58.8000,60.1000,70566400
2015-09-30,68.4700,72.4700,67.9300,70.5900,60849800
2015-08-31,71.7300,72.3000,62.5000,69.5200,54527400
2015-07-31,65.2900,71.8700,63.2500,71.8700,56279900
2015-06-30,64.4400,69.0000,63.8800,65.6800,57110100
