,open,high,low,close,volume
2019-12-19,28.1400,29.8100,27.9200,27.9900,28402200
2019-11-29,27.8700,31.7000,27.5000,27.9900,57361500
2019-10-31,32.5900,32.6700,27.3400,27.7000,53433600
2019-09-30,28.4000,33.3300,27.3100,32.5200,56802100
2019-08-30,33.8600,34.2600,25.8000,28.2200,61988200
2019-07-31,35.5900,37.8500,33.4100,34.0400,44641900
2019-06-28,43.0000,43.5000,32.2000,35.0300,82374400
2019-05-31,47.7000,47.7700,36.0000,42.7800,63393800
2019-04-30,50.9000,52.4000,45.9100,47.7800,40042400
2019-03-29,54.4000,56.0600,49.3900,50.9000,26861400
2019-02-28,52.5200,57.2000,51.7100,54.4000,30890300
2019-01-31,47.3800,53.1800,45.6300,52.2600,43920700
2018-12-28,54.5000,54.8300,45.9800,47.3800,26018500
2018-11-30,52.6700,55.8300,48.2200,54.1800,38115500
2018-10-31,58.1300,58.4300,48.4300,52.1500,46530900
2018-09-28,59.0000,61.9700,57.3100,58.4400,26473700
2018-08-31,54.7200,60.7500,53.4500,59.2100,39782900
2018-07-31,50.2000,55.3000,48.5500,54.7100,26451700
2018-06-29,42.6500,52.1500,40.5600,50.7600,45563700
2018-05-30,43.7600,50.4500,42.0000,45.4000,34940200
2018-04-30,48.1200,48.5000,44.8400,45.6500,21223400
2018-03-29,46.0100,48.8000,44.6200,48.0000,22860500
2018-02-28,49.6000,50.1300,43.9000,46.4400,26614700
2018-01-31,42.8800,52.6400,42.8300,49.4100,34729200
2017-12-29,45.3800,46.3500,42.2400,42.8700,24701100
2017-11-30,52.1800,52.2000,44.4000,45.4000,32461000
2017-10-31,43.1100,54.3400,42.1900,52.3600,37948300
2017-09-29,38.2300,45.1500,37.9900,42.4300,28077700
2017-08-31,37.1500,40.1200,36.6600,38.1100,31180500
2017-07-31,34.2000,40.2200,33.0700,37.3100,29582600
2017-06-30,33.3300,35.1900,31.5600,34.2000,27657400
2017-05-31,34.0000,35.3900,28.0700,33.1300,37069000
2017-04-28,31.9000,34.3500,30.0400,34.1400,41925100
2017-03-31,32.7300,33.5100,30.0100,31.7500,36515600
2017-02-24,32.7400,34.9900,30.4500,32.3300,22354000
2017-01-31,34.0400,36.9900,32.2200,32.5400,22819200
2016-12-29,27.5000,34.7100,26.3700,34.2500,36886700
2016-11-30,28.5000,29.5500,25.9900,27.5000,30421300
2016-10-31,25.3000,28.8300,23.2500,28.2700,32115000
2016-09-30,23.9500,26.5500,22.3200,25.1100,30095300
2016-08-31,18.5300,24.1200,18.1100,24.1100,34265100
2016-07-29,19.3100,20.0800,18.0000,18.5400,26598100
2016-06-30,20.8100,21.7800,18.5700,19.0400,26840800
2016-05-31,24.8800,24.8800,19.3600,21.0000,32592000
2016-04-29,23.4100,25.7700,22.0200,24.5500,16084400
2016-03-31,25.6000,28.0600,22.6800,23.4100,53816000
2016-02-29,23.7600,26.3600,22.4700,25.5000,40341200
2016-01-29,27.0800,28.1700,22.8500,24.0000,40843500
2015-12-30,26.2500,29.8400,25.0100,27.6200,42410600
2015-11-30,21.7400,27.3000,21.2000,26.2200,51171900
2015-10-30,16.8700,22.1900,16.7000,21.7800,54454300
2015-09-30,13.6700,16.9500,13.6500,16.6700,53939000
2015-08-31,12.4100,14.4200,11.4300,14.0700,44336000
2015-07-31,13.6300,13.6800,10.7700,12.5400,36810800
2015-06-30,12.9400,14.3200,11.5800,13.6200,42107200
2015-05-29,12.6000,15.5300,12.5500,12.9700,37696800
2015-04-30,11.0700,12.6500,11.0100,12.6000,32391600
2015-03-31,12.7800,14.3500,10.0700,11.0000,71793900
2015-02-27,12.6900,13.4800,12.1100,12.8000,40260700
2015-01-30,17.3800,17.6600,11.4600,12.4500,42099000
2014-12-30,19.2100,19.5000,16.5500,17.5000,107337976
2014-11-28,18.1600,19.9600,17.8300,19.2900,29692400
2014-10-31,16.0000,18.2800,15.8600,18.1300,42514300
2014-09-30,15.4100,16.4900,14.6000,16.2000,25240100
2014-08-29,14.0000,15.6000,13.7300,15.3800,24226700
2014-07-31,14.1400,15.0400,13.6200,14.0300,27255600
2014-06-30,14.6300,15.4500,14.0600,14.0900,18625300
2014-05-30,15.1200,16.1900,14.3500,14.5900,27048300
2014-04-30,17.9100,17.9800,14.9500,15.2200,40843500
2014-03-31,16.0100,18.0400,14.8000,17.7900,48498200
2014-02-28,18.5500,19.4700,16.1500,16.1500,44557200
2014-01-31,21.0000,21.0800,18.0600,18.5800,27645200
2013-12-30,20.8000,21.4000,19.4100,21.0000,28947900
2013-11-29,19.8900,21.3000,19.0400,20.8000,32252200
2013-10-31,17.8700,20.3000,17.5600,19.8800,32906600
2013-09-30,17.7200,18.7800,17.3700,17.7500,33376800
2013-08-30,17.0600,18.5000,16.3200,17.6400,41718200
2013-07-31,16.8000,17.6000,15.4200,17.5800,36150600
2013-06-28,16.7800,16.9200,15.1100,16.4900,35606000
2013-05-31,17.2800,17.6700,15.9800,16.7100,36418200
2013-04-30,13.5400,17.4700,13.4200,17.4700,41168700
2013-03-27,14.4300,14.6600,13.2000,13.7500,27323000
2013-02-28,15.0000,15.3900,13.8300,14.5800,34091300
2013-01-31,13.4000,15.1300,13.1600,15.0100,37100300
2012-12-28,13.7800,14.0600,12.7000,12.8000,25792100
2012-11-30,13.3700,14.9800,12.7300,13.7800,24796300
2012-10-31,14.2400,14.8000,13.2600,13.4200,29218100
2012-09-28,12.9000,16.6500,12.6900,14.2700,43554500
2012-08-31,12.5000,15.7300,12.1300,12.8000,49370700
2012-07-31,13.3100,13.6400,10.9400,12.3900,31780300
2012-06-29,11.0700,13.4900,10.4800,13.3800,30415400
2012-05-31,13.1500,13.7500,10.6500,11.2500,34913100
2012-04-30,14.4500,15.3800,13.3200,13.4000,23263800
2012-03-30,15.7400,16.4900,13.9300,14.4500,28845400
2012-02-29,15.9000,16.7400,14.6300,15.5800,27568300
2012-01-31,12.6600,15.9400,12.6600,15.6400,35626900
2011-12-29,14.3900,14.8700,12.8000,12.8000,23331200
2011-11-30,14.6900,16.2500,12.7000,13.9900,24264600
2011-10-31,14.4600,15.7500,12.8800,15.3000,41113700
