,open,high,low,close,volume
2019-12-19,15.6200,18.0800,15.5900,17.9600,121540700
2019-11-29,15.5600,16.0400,14.7100,15.5700,133941600
2019-10-31,14.5500,15.4800,13.6200,15.3500,127768000
2019-09-30,13.5200,14.6800,13.0800,14.4100,146059600
2019-08-30,15.0900,15.4600,13.4800,13.4800,228907200
2019-07-31,14.4800,15.4900,13.8000,15.0100,188375500
2019-06-28,12.9000,14.8900,12.5600,14.3300,109783300
2019-05-31,12.2200,13.1100,11.3500,12.8100,144514200
2019-04-30,12.6000,12.7200,11.3500,12.3000,144762300
2019-03-29,13.3300,13.7300,12.0000,12.5700,126390000
2019-02-28,14.5100,14.6100,13.1600,13.3900,131048200
2019-01-31,13.0700,14.6000,12.9600,14.5500,179985700
2018-12-28,13.1300,13.4100,12.4500,13.0700,127776100
2018-11-30,12.7700,13.0500,11.4100,13.0100,128179700
2018-10-31,9.5700,12.8200,9.5000,12.7000,208821600
2018-09-28,9.0600,10.0400,8.9200,9.6200,100624300
2018-08-31,9.9200,10.6000,8.9100,9.1500,109352300
2018-07-31,9.6200,10.7800,9.6200,9.9500,77089700
2018-06-29,10.3000,10.7200,9.0000,9.7000,142267500
2018-05-30,10.8100,10.8900,9.8200,10.3000,181796600
2018-04-30,11.6400,11.7700,10.7200,10.9200,103055400
2018-03-29,11.9300,12.0300,11.0300,11.6500,100961800
2018-02-28,12.8000,13.3200,11.7200,11.9300,104543100
2018-01-31,12.6500,13.2700,12.0100,12.8500,107742800
2017-12-29,12.2300,12.9600,12.0900,12.7300,80493500
2017-11-30,12.8500,13.1200,11.6900,12.0900,141209600
2017-10-31,14.0200,14.6700,12.6800,12.6800,131716300
2017-09-29,13.7000,15.3900,13.2200,14.0700,100332100
2017-08-31,13.2000,13.8100,12.8700,13.6000,86219800
2017-07-31,11.9500,13.2900,11.7100,13.2000,82342300
2017-06-30,12.0100,12.7400,11.4600,11.9500,127044500
2017-05-31,12.3100,13.6600,10.8400,11.9800,171524900
2017-04-28,12.6174,12.8174,11.9304,12.2174,75156525
2017-03-31,12.9739,13.3391,11.8696,12.6000,119264085
2017-02-24,12.8348,13.7826,12.5826,12.9739,113063170
2017-01-31,10.2956,12.8000,10.1913,12.7565,139915440
2016-12-29,9.2000,10.5304,8.7391,10.3913,191505360
2016-11-30,11.1565,11.1652,8.7913,9.3913,160852915
2016-10-31,10.6435,11.9565,10.6435,11.1130,129528295
2016-09-30,10.7391,11.5217,10.3478,10.6957,93031090
2016-08-31,12.3478,12.6348,10.3913,10.7304,126034135
2016-07-29,11.1913,12.3913,10.6957,12.2261,112682750
2016-06-30,9.9478,11.3304,9.8696,11.1739,92013570
2016-05-31,11.3130,11.5130,9.9826,10.0435,142938445
2016-04-29,10.1271,11.5585,9.6388,11.3244,128800676
2016-03-31,9.0635,10.9097,8.7291,9.8662,170448834
2016-02-29,7.9064,9.0368,7.6990,9.0033,60787299
2016-01-29,7.3311,7.9933,6.8829,7.9398,84263281
2015-12-30,8.5752,9.2174,7.3913,7.4247,80468225
2015-11-30,7.4983,9.3378,7.4983,8.5752,100589579
2015-10-30,7.0234,8.2274,6.7157,7.4916,128892919
2015-09-30,7.2575,8.6087,6.6221,6.9967,135458508
2015-08-31,8.6756,8.7023,7.1572,7.4916,91871782
2015-07-31,9.7458,9.8930,8.0067,8.6154,96243910
2015-06-30,10.1472,10.4950,9.4850,9.7191,125537690
2015-05-29,10.9298,11.4381,10.1338,10.2207,76543399
2015-04-30,11.5385,12.8696,10.9030,10.9498,130493165
2015-03-31,11.2843,11.6388,9.8930,11.3043,78641928
2015-02-27,10.3880,11.4716,9.8060,11.2442,61987777
2015-01-30,10.9632,11.8127,9.8060,10.1873,88524034
2014-12-30,11.9532,11.9799,9.4783,10.8562,277846553
2014-11-28,13.0769,13.0769,10.6355,12.3411,84367631
2014-10-31,12.7425,14.2809,10.5752,13.3110,134695609
2014-09-30,15.5920,15.8261,12.5686,12.9298,74131664
2014-08-29,13.0435,15.5719,12.8629,15.5585,69554273
2014-07-31,12.6087,14.3813,12.1940,13.1104,68235236
2014-06-30,12.3813,13.0569,11.6656,12.5752,53112117
2014-05-30,12.5752,13.2040,12.1940,12.3813,55575425
2014-04-30,12.9097,13.6856,12.1806,12.7893,85264332
2014-03-31,12.0134,13.0970,11.5987,13.0970,87887760
2014-02-28,10.1940,12.2676,9.8194,12.0134,96511367
2014-01-31,11.3378,11.7324,9.9599,10.1672,99809787
2013-12-30,12.4883,12.7425,10.9967,11.4047,86114690
2013-11-29,14.4816,14.6221,12.4749,12.8094,89967903
2013-10-31,13.5518,15.3645,12.9833,14.5418,83145020
2013-09-30,12.2141,14.8963,12.1204,13.4448,92462609
2013-08-30,13.7993,13.8462,11.8528,12.1070,116340449
2013-07-31,13.2575,14.0268,12.1204,13.5251,101719501
2013-06-28,14.7826,14.8829,12.2475,13.3110,157536221
2013-05-31,15.6321,16.4147,14.4682,14.6488,165414719
2013-04-30,16.8629,17.0234,14.5485,15.8261,168445686
2013-03-28,16.8495,18.0201,16.0268,16.8294,86972072
2013-02-28,17.3110,18.1405,15.9532,17.1238,108600535
2013-01-31,18.3946,18.6622,16.8963,17.2442,86304103
2012-12-28,18.4615,19.2910,17.7324,18.0736,67760873
2012-11-30,17.8595,18.7692,17.2308,18.3612,62235804
2012-10-31,18.8294,19.9197,17.3579,17.8595,77986223
2012-09-28,17.0167,19.1238,16.6823,18.8294,81396172
2012-08-31,16.0870,17.1906,15.7926,17.0033,63071655
2012-07-31,15.2375,16.4950,14.1070,16.0000,73763298
2012-06-29,14.6488,16.4816,13.9197,15.3846,52492887
2012-05-31,15.7926,16.4214,13.4582,14.8495,91395626
2012-04-30,16.0134,16.6622,14.9498,15.8395,49686174
2012-03-30,14.7558,16.3278,14.6221,15.9130,56959498
2012-02-29,13.0769,15.3177,12.9097,14.7224,73771821
2012-01-31,12.0401,13.1371,11.9064,12.7558,68271714
2011-12-29,12.5017,13.0702,11.6187,12.1204,58176875
2011-11-30,11.9130,13.3378,11.8729,12.2475,48053632
2011-10-31,12.8227,13.0100,11.3043,12.3746,50941226
2011-09-30,12.0803,13.6990,11.8729,12.8495,85559448
2011-08-31,12.2141,12.3679,10.0334,11.8729,79898777
2011-07-29,11.9064,12.3344,11.2241,11.8595,50210172
2011-06-30,12.3746,13.1639,11.5050,11.9398,66746665
2011-05-31,11.0301,13.1706,11.0100,12.2141,81591000
2011-04-29,11.2709,12.5886,11.0033,11.0769,56515483
2011-03-31,10.5886,11.9599,10.2609,11.3712,32330379
2011-02-28,10.2341,10.8361,9.6990,10.6020,51486200
2011-01-31,11.5987,11.6321,9.7659,10.1672,56912254
2010-12-30,11.3712,11.5719,9.8997,11.4381,84433411
2010-11-30,10.9365,11.8595,10.4549,11.3043,57052334
2010-10-29,9.4114,11.0100,9.4114,10.8696,64679376
2010-09-30,9.2308,10.0334,8.9900,9.4582,41074398
2010-08-31,8.7124,9.3813,8.3612,9.1973,57860255
2010-07-30,7.8294,8.8629,7.4047,8.7592,112942466
2010-06-30,7.5886,8.5886,7.1037,7.8595,36457524
2010-05-31,7.2007,7.8294,6.8863,7.7592,49069506
2010-04-30,7.0569,7.4582,6.8829,7.4047,30314534
2010-03-31,7.7860,7.9097,6.8930,7.0234,58097494
2010-02-26,6.8328,7.9197,6.6221,7.8595,40962701
2010-01-29,7.2575,7.7425,6.7625,6.8562,126406137
2009-12-29,8.0769,8.1873,7.0234,7.2174,39890188
2009-11-30,6.5385,8.1940,6.2207,8.0268,54098668
2009-10-30,6.9900,7.6789,6.0502,6.5217,41276053
2009-09-30,6.5017,7.5251,6.1973,6.9900,32703723
2009-08-31,6.5217,7.1238,6.0870,6.4214,31082844
2009-07-31,5.0502,6.5217,4.9933,6.4883,66688362
2009-06-30,5.6522,6.2241,4.8896,4.9833,25691575
2009-05-29,5.5351,6.1037,5.1839,5.6656,16005171
2009-04-30,4.5117,5.4850,4.1472,5.4783,44273827
2009-03-31,4.0435,4.8829,3.7793,4.8161,13061516
2009-02-27,3.5117,4.2107,3.4615,4.0134,17599439
2009-01-30,3.0769,3.7458,3.0602,3.6120,25048127
2008-12-30,3.0100,3.3077,2.7291,3.0435,18964075
2008-11-28,2.6756,3.2107,1.9565,3.1605,17613492
2008-10-31,3.8461,3.9933,1.4415,2.6756,21289996
2008-09-30,4.7826,4.8662,3.3278,3.8461,13120718
2008-08-29,4.8495,5.1706,4.2174,4.8495,9806901
2008-07-31,5.1906,5.1906,3.7291,4.8629,23049312
2008-06-30,6.3478,6.4883,5.0067,5.1839,13024739
2008-05-30,6.1371,7.3579,6.1204,6.4883,21816236
2008-04-30,5.2676,6.1204,5.1839,6.1204,18358899
2008-03-31,6.5585,6.8729,5.1271,5.2308,17570137
2008-02-29,6.2308,7.0401,5.6957,6.5552,14018914
2008-01-31,7.9264,8.0602,5.3846,6.1204,26177151
2007-12-28,7.8595,8.1171,6.5585,8.0268,16191149
2007-11-30,8.2274,8.6622,6.7525,7.7492,21121659
2007-10-31,7.2910,8.9264,7.2508,8.2609,25571078
2007-09-28,7.4582,7.6923,6.0903,7.3579,22738950
2007-08-31,7.5251,8.3612,6.3579,7.4582,33898527
2007-07-31,8.6957,8.8963,7.3746,7.6923,29264326
2007-06-29,7.1572,8.7625,7.1572,8.6722,23284027
2007-05-31,5.0167,7.4247,4.9498,7.0234,32953089
