,open,high,low,close,volume
2019-12-19,56.6500,67.4900,56.5100,63.6300,34332400
2019-11-29,50.8600,56.7300,49.6500,56.3400,45398000
2019-10-31,48.0100,56.5400,46.8500,50.8000,67693600
2019-09-30,47.4000,49.4400,40.2200,48.3500,57749300
2019-08-30,37.6783,47.7600,34.7922,47.0000,89237052
2019-07-31,32.9142,39.4377,30.9472,37.5004,72541782
2019-06-28,31.3821,35.0788,29.1780,32.3409,53524040
2019-05-31,37.3917,38.5382,29.7710,31.0362,68118939
2019-04-30,42.3733,42.6995,35.1282,37.8068,53579787
2019-03-29,47.8985,50.2905,37.9353,41.7308,47853136
2019-02-28,49.3218,49.8655,42.5018,47.7898,46897967
2019-01-31,41.4442,49.4306,39.4970,49.4207,52175413
2018-12-28,38.1528,41.5331,34.8119,41.5331,41679103
2018-11-30,33.1119,39.2104,29.3658,37.8266,89239546
2018-10-31,27.5570,35.8695,26.8552,34.1003,75273939
2018-09-28,25.8964,29.0100,23.5341,27.3791,50820112
2018-08-31,27.8239,33.4479,24.6313,26.1139,57017616
2018-07-31,26.3906,30.9176,25.2540,27.8239,25898668
2018-06-29,25.5999,27.9227,22.1009,26.5883,48528663
2018-05-30,28.4663,31.4118,22.8324,25.0563,62688520
2018-04-30,25.9360,31.8764,23.4551,28.5652,38350944
2018-03-29,23.5243,28.0907,21.4683,25.3429,52797929
2018-02-28,21.1619,24.1766,19.8473,23.5144,30666204
2018-01-31,20.2328,21.5079,18.1374,21.0038,30148911
2017-12-29,16.7141,20.8555,15.5478,20.2625,34472910
2017-11-30,21.8440,22.4172,16.4274,16.9908,42450540
2017-10-31,21.7451,26.2325,18.8787,20.9840,69293143
2017-09-29,18.2362,21.7352,17.8705,20.8951,30807742
2017-08-31,13.2645,19.4619,12.3453,18.2758,50928567
2017-07-31,11.6139,13.3436,10.9813,13.1459,14178274
2017-06-30,12.5529,13.3337,11.0208,11.5644,18294363
2017-05-31,13.3633,15.3797,10.7836,12.4837,45522529
