,open,high,low,close,volume
2019-12-19,17.2100,18.8800,16.5600,18.8600,87367600
2019-11-29,16.5600,17.9400,16.4200,17.1900,102229100
2019-10-31,17.1800,18.1600,16.2300,16.4400,153323000
2019-09-30,16.2000,17.5500,16.0300,17.2500,124254700
2019-08-30,15.0000,16.6300,14.6300,16.2500,207775800
2019-07-31,13.8200,15.4200,13.5400,14.9500,159869000
2019-06-28,13.4500,14.8500,12.8800,13.6600,171009200
2019-05-31,11.6500,13.4300,11.6500,13.3700,187800700
2019-04-30,11.8600,12.8400,11.5200,11.6900,161587800
2019-03-29,14.2800,14.4200,11.1500,11.7400,201489500
2019-02-28,14.9000,14.9500,13.5100,14.2300,155267600
2019-01-31,11.2800,15.8000,11.2800,14.8800,270652300
2018-12-28,13.0500,13.1800,11.2000,11.2000,126143200
2018-11-30,11.0000,13.0000,10.0700,12.9900,174508500
2018-10-31,8.4100,11.1800,8.3300,10.9700,227920300
2018-09-28,9.2600,9.4600,7.8600,8.4600,153886400
2018-08-31,10.5000,10.9200,8.9000,9.3600,161546600
2018-07-31,9.9400,11.5000,9.7200,10.5300,122183200
2018-06-29,10.3100,10.9800,9.0000,10.1200,143800900
2018-05-30,11.9400,12.5400,9.9900,10.3000,157689200
2018-04-30,12.4900,12.7600,11.4500,11.9600,116621000
2018-03-29,12.8300,12.9900,11.7600,12.5000,200194600
2018-02-28,15.6700,15.9200,12.0700,12.7000,269045300
2018-01-31,16.3000,16.8200,15.5100,15.6700,104814300
2017-12-29,15.6000,16.7800,15.4200,16.1500,93181200
2017-11-30,18.2600,18.5900,15.4500,15.8300,176947500
2017-10-31,17.7300,19.0500,17.3000,18.2000,125128600
2017-09-29,17.5400,19.3200,17.1300,17.7100,93491700
2017-08-31,17.1500,17.9800,16.3000,17.4600,145882200
2017-07-31,16.8400,17.9900,16.5100,17.0800,84535400
2017-06-30,16.5800,16.9900,16.0300,16.9000,88222600
2017-05-31,17.6100,19.1900,15.7700,16.5800,120633300
2017-04-28,18.0100,18.2300,16.8400,17.7000,77748800
2017-03-31,18.6800,18.6800,16.9700,18.0500,152908300
2017-02-24,15.6400,19.1200,15.4100,18.0900,190183900
2017-01-31,15.9600,16.7000,15.0400,15.5100,114564900
2016-12-29,14.3500,16.1100,13.2200,15.9600,123934600
2016-11-30,17.3000,17.4000,14.0300,14.7100,100503200
2016-10-31,17.0000,17.9000,16.6900,17.3500,76057000
2016-09-30,17.1900,18.6900,16.2600,16.9400,99267000
2016-08-31,18.7500,19.2600,16.9900,17.0600,122527800
2016-07-29,16.9500,18.7600,15.6200,18.7300,106988300
2016-06-30,15.2000,17.1800,14.8000,16.8000,86635500
2016-05-31,16.1400,17.2100,15.0000,15.2500,82634200
2016-04-29,13.8800,16.1800,12.8700,16.1800,54322200
2016-03-31,12.8700,15.8700,12.7100,14.0300,130851000
2016-02-29,12.6000,13.2200,12.0600,12.6300,89600500
2016-01-29,12.4500,12.7800,10.8900,12.7800,77187700
2015-12-30,12.8700,14.1500,12.5500,12.5500,100824900
2015-11-30,12.0100,14.3300,11.7400,12.8100,111944500
2015-10-30,12.4400,13.3400,11.4500,12.1200,134277700
2015-09-30,14.3500,14.7300,10.5000,12.1700,179655800
2015-08-31,15.0100,15.5400,13.4800,14.8800,106741200
2015-07-31,15.0300,15.9600,14.0000,15.2200,89892100
2015-06-30,15.4200,16.3400,14.4000,14.9100,134790900
2015-05-29,16.4000,16.5200,14.9400,15.4400,86349300
2015-04-30,16.6000,17.1900,15.7600,16.6000,71198200
2015-03-31,16.5000,16.9300,14.0500,16.3000,154887200
2015-02-27,15.5100,16.9900,15.2600,16.6700,78270400
2015-01-30,15.2300,17.0200,14.2300,15.2800,127984200
2014-12-30,17.0100,17.0200,14.1300,15.4100,315388857
2014-11-28,18.1500,18.4000,15.9000,17.6000,83504200
2014-10-31,16.5700,18.9400,15.4300,18.4500,164902500
2014-09-30,20.3900,21.3600,16.2500,16.7800,102729300
2014-08-29,17.8400,20.3900,17.4800,20.3900,77778000
2014-07-31,18.1100,19.5000,17.6900,17.8400,68626900
2014-06-30,17.5500,19.0000,17.5000,18.0000,66515400
2014-05-30,17.4500,18.4300,17.4100,17.5800,74541800
2014-04-30,17.5200,18.1400,16.7200,17.4500,76324100
2014-03-31,16.0100,17.9500,15.8100,17.4200,93288100
2014-02-28,15.5500,16.8200,14.8800,16.0800,111315100
2014-01-31,17.7200,17.7900,15.3200,15.5400,92575200
2013-12-30,18.3400,18.4800,16.9200,17.7700,77155800
2013-11-29,18.7000,18.7500,17.3000,18.5000,96013600
2013-10-31,17.5900,18.9600,17.3500,18.6300,89969600
2013-09-30,17.4500,18.9300,17.1100,17.3500,95021700
2013-08-30,18.0800,18.2100,16.4200,17.3500,120005100
2013-07-31,17.7900,18.3000,16.3000,17.9000,88282400
2013-06-28,19.5500,20.0000,15.4500,17.6900,121918400
2013-05-31,19.6400,20.6500,18.8200,19.5400,73433200
2013-04-30,20.6000,21.0100,19.0700,19.7400,90733100
2013-03-28,19.7600,20.2800,18.9300,20.0600,90049100
2013-02-28,20.5600,21.9600,19.6700,19.8500,83120300
2013-01-31,19.6500,21.2000,18.9400,20.5500,93728900
2012-12-28,18.5700,19.6000,18.1900,19.4500,60256500
2012-11-30,17.9400,19.0100,17.5600,18.3600,73320400
2012-10-31,18.3500,18.4400,17.2200,17.8600,73802800
2012-09-28,18.3900,18.7300,16.1800,17.8100,158021100
2012-08-31,17.2000,19.3400,17.1000,18.2400,88343100
2012-07-31,16.2500,18.1500,15.9500,17.1000,64961800
2012-06-29,15.6400,17.0600,15.3000,16.3300,89460400
2012-05-31,14.9300,16.3200,14.7000,15.7000,93073800
2012-04-30,14.8000,15.8500,14.4600,14.8000,53312200
2012-03-30,13.7200,15.7000,13.3000,14.7800,100930400
2012-02-29,12.1600,14.1800,12.1300,13.7200,85032100
2012-01-31,12.1100,12.4600,11.2800,12.1600,68577500
2011-12-29,11.5500,12.3600,10.8400,12.2200,73773900
2011-11-30,11.6250,11.9725,11.1900,11.5500,74479600
2011-10-31,12.1750,12.3250,11.4400,11.8125,59919600
2011-09-30,12.0600,12.4975,11.0125,12.2375,73689600
2011-08-31,11.6000,11.9975,10.0600,11.9975,85770800
2011-07-29,11.7000,11.8775,11.0550,11.5750,50226824
2011-06-30,12.2500,12.2500,11.2575,11.6125,65437600
2011-05-31,12.2475,12.7025,11.8850,12.3475,49084656
2011-04-29,12.1775,12.3725,11.4800,12.2500,50609200
2011-03-31,11.6350,12.1325,11.3275,11.8500,59833212
2011-02-28,11.6500,11.9925,11.0825,11.6000,58485128
2011-01-31,11.8000,12.1500,11.3100,11.5075,63374400
2010-12-30,11.7200,11.8000,10.6725,11.7250,197486400
2010-11-30,11.4475,11.7700,10.9450,11.6875,59827200
2010-10-29,10.9225,12.6125,10.7650,11.5000,135163600
2010-09-30,10.0750,11.1500,9.9200,10.9125,51231220
2010-08-31,10.1200,10.4250,9.4550,10.0750,53362688
2010-07-30,9.3350,10.1100,9.2500,10.0150,44387200
2010-06-30,9.0675,9.5400,8.7300,9.3450,71894596
2010-05-31,10.1250,10.2475,8.6000,9.2875,100096936
2010-04-30,9.8075,10.1000,9.5500,10.0600,89708788
2010-03-31,9.4850,10.2200,9.2275,9.8725,98490000
2010-02-26,10.0375,10.3650,9.0900,9.5375,74338800
2010-01-29,9.9975,11.1575,9.7875,10.0550,64500800
2009-12-29,9.5250,10.2675,9.3175,9.8525,60629200
2009-11-30,8.5375,9.5725,8.5000,9.4625,73784000
2009-10-30,7.5775,9.2100,7.5000,8.7000,136670800
2009-09-30,7.7225,7.9125,7.1925,7.5775,60184400
2009-08-31,7.6850,8.0000,7.0050,7.7625,44510400
2009-07-31,7.9625,8.4325,7.4150,7.6250,68241600
2009-06-30,7.6275,8.3850,6.8775,7.8575,61082800
2009-05-29,6.6325,7.8075,6.4375,7.7225,62068800
2009-04-30,5.2150,7.0675,5.1675,6.5825,63010400
2009-03-31,5.6400,5.7400,5.2025,5.2125,52183200
2009-02-27,5.7150,6.2000,5.5500,5.7950,41471600
2009-01-30,5.8250,6.4800,5.6150,5.7125,44988400
2008-12-30,5.5750,6.2475,5.2150,5.9075,62053600
2008-11-28,5.3500,5.8675,4.6650,5.6575,64094400
2008-10-31,6.2500,6.3475,3.3250,5.3500,107395600
2008-09-30,7.4375,7.5875,5.6275,6.2500,87482800
2008-08-29,7.9050,7.9975,7.0250,7.4550,57361200
2008-07-31,7.8675,8.2500,6.9500,7.9650,83086400
2008-06-30,8.0200,8.9950,7.5325,7.9225,69037200
2008-05-30,7.9875,8.2500,7.3250,8.1775,63690000
2008-04-30,6.5750,8.0125,6.4550,8.0000,45014800
2008-03-31,7.1500,7.2575,6.0475,6.4725,61338800
2008-02-29,7.2250,7.7800,6.8875,7.2125,67315600
2008-01-31,6.9000,7.2475,5.4250,7.0875,86209600
2007-12-28,7.9500,8.1175,6.8375,6.8750,53362400
2007-11-30,7.8750,8.4275,7.0000,7.8250,63948800
2007-10-31,9.3450,9.9750,7.2500,7.9975,105926400
2007-09-28,8.5725,9.3700,8.2075,9.2250,50392800
2007-08-31,8.4025,9.3750,7.2125,8.5000,64755200
2007-07-31,8.8850,9.6250,8.1550,8.5150,63657600
2007-06-29,8.2425,9.3700,7.5625,8.8775,71833600
2007-05-31,7.9725,8.4500,7.5500,8.0625,66826800
2007-04-30,6.8450,7.9625,6.7725,7.9425,84076000
2007-03-30,6.6375,6.9825,6.3725,6.8675,68576000
2007-02-28,6.9500,7.1350,6.5000,6.8250,58178400
2007-01-31,7.2450,7.5500,6.1625,6.9750,148259600
2006-12-28,6.9500,7.4475,6.8550,7.2125,61902400
2006-11-30,5.7375,6.9750,5.6750,6.8875,78005200
2006-10-31,5.2775,5.9525,5.2775,5.7175,63888000
2006-09-29,5.2250,5.6125,5.0000,5.2500,277494412
2006-08-31,5.1175,5.2875,4.7875,5.2225,1095465212
2006-07-31,4.4250,5.1250,4.3125,5.1125,426046904
2006-06-30,4.3875,4.6250,4.0375,4.4250,859517156
2006-05-31,4.6000,5.0000,3.7900,4.3125,1114289860
2006-04-28,5.0775,5.2500,4.5650,4.5750,51729200
2006-03-31,5.0475,5.5425,4.5375,5.0650,98740400
2006-02-28,5.6500,6.0000,4.4300,5.0125,95740400
2006-01-31,4.6219,5.8125,4.5938,5.6250,266080000
2005-12-29,4.2500,4.7438,4.2188,4.6250,186739200
2005-11-30,3.7350,4.4094,3.6569,4.1813,178451200
2005-10-31,3.9375,4.0425,3.5006,3.7188,262566400
2005-09-30,3.5594,4.1250,3.3563,3.9656,242905600
2005-08-31,3.3563,3.5625,3.2313,3.5125,178150400
2005-07-29,3.4375,3.4994,3.1756,3.3500,219955200
2005-06-30,3.6862,3.8119,3.2813,3.4300,174777600
2005-05-31,3.3119,3.7213,3.1250,3.6875,178508800
2005-04-29,3.2813,3.5000,3.1250,3.3125,153132800
2005-03-31,3.3750,3.8131,3.2569,3.3244,261132800
2005-02-28,3.3125,3.4625,3.1250,3.3750,226828800
2005-01-31,3.6937,3.9375,3.2406,3.2844,159353600
2004-12-31,3.0819,3.6556,3.0819,3.6312,137977600
2004-11-30,2.5625,3.2281,2.4875,3.0819,176128000
2004-10-29,2.3125,2.6188,2.2656,2.5687,186112000
2004-09-30,2.2969,2.5619,2.1094,2.3031,178617600
2004-08-31,2.0625,2.3250,1.8469,2.2813,145760000
2004-07-30,2.1906,2.3438,1.8813,2.0687,212678400
2004-06-30,1.6563,2.2181,1.5812,2.2181,234720000
2004-05-31,1.5500,1.6875,1.4188,1.6500,257542400
2004-04-30,1.5313,1.6437,1.4438,1.5725,218188800
2004-03-31,1.5438,1.6000,1.4881,1.5281,82950400
2004-02-27,1.4688,1.6250,1.4125,1.5281,70118400
2004-01-30,1.6125,1.7375,1.4500,1.4994,102918400
2003-12-31,1.3750,1.6869,1.3188,1.6125,95948800
2003-11-28,1.0519,1.3781,1.0519,1.3719,117856000
2003-10-31,0.9438,1.0938,0.9006,1.0750,181075200
2003-09-30,0.8375,1.0319,0.8175,0.9438,182316800
2003-08-29,0.6000,0.8188,0.5813,0.8125,80947200
2003-07-31,0.5625,0.6244,0.5625,0.6125,51840000
2003-06-30,0.6563,0.6875,0.4694,0.5681,35584000
2003-05-30,0.5625,0.6875,0.5531,0.6563,16992000
2003-04-30,0.4812,0.5750,0.4781,0.5625,39168000
2003-03-31,0.4375,0.4931,0.3919,0.4625,24390400
2003-02-28,0.4406,0.5000,0.4063,0.4375,84441600
2003-01-31,0.4625,0.4969,0.4375,0.4688,12985600
2002-12-31,0.3750,0.4625,0.3750,0.4625,42924800
2002-11-29,0.3750,0.4594,0.3562,0.4219,95699200
2002-10-31,0.4125,0.4187,0.1875,0.3469,31564800
2002-09-30,0.5063,0.8125,0.4119,0.4119,50835200
2002-08-30,0.7188,0.7500,0.1250,0.5931,38073600
2002-07-31,0.9688,1.1250,0.6250,0.7500,22348800
2002-06-28,1.0000,1.1250,0.8750,0.8750,17548800
2002-05-31,1.0313,1.0938,0.9375,1.0000,35289600
2002-04-30,0.9375,1.1250,0.9375,1.0313,12921600
2002-03-29,1.0938,1.1250,0.9688,0.9688,75513600
