,open,high,low,close,volume
2019-12-19,7.8200,9.0700,7.6700,8.5300,201635100
2019-11-29,7.5900,8.1900,7.2500,7.8000,285193800
2019-10-31,8.0600,8.1500,7.4000,7.5600,353839400
2019-09-30,7.7300,8.9700,7.4100,8.0000,365884200
2019-08-30,7.2800,8.3500,7.1300,7.7500,390386400
2019-07-31,6.8100,7.9700,6.5400,7.2400,489199200
2019-06-28,6.7100,7.3000,6.2500,6.7200,295009300
2019-05-31,7.5900,7.9500,6.6300,6.7000,301987200
2019-04-30,9.5500,9.8400,7.5500,7.6800,371252500
2019-03-29,10.9800,11.3000,9.2800,9.4900,241854000
2019-02-28,11.9600,12.2500,10.2500,10.8700,312561900
2019-01-31,9.0000,12.1400,8.9600,11.9400,403111800
2018-12-28,9.6000,10.0400,8.7000,8.8900,190249300
2018-11-30,13.2500,13.7100,8.4700,9.5200,379483900
2018-10-31,12.2900,13.5100,11.8200,13.2000,225987400
2018-09-28,15.1100,15.2000,12.1400,12.2500,141321900
2018-08-31,14.2000,15.4600,13.0400,15.1000,178043300
2018-07-31,16.1700,17.9500,14.3500,14.3500,104533000
2018-06-29,16.9000,17.5800,14.3700,16.5200,144986100
2018-05-30,19.0200,19.5000,16.3300,16.9500,161528300
2018-04-30,20.6900,20.7500,18.5500,19.2000,164140200
2018-03-29,24.3400,24.3400,20.4500,20.6900,146875400
2018-02-28,27.0000,27.9000,23.4800,24.1900,89123300
2018-01-31,23.5400,28.2500,23.5400,26.8800,141643900
2017-12-29,22.7000,24.2500,22.6800,23.5200,79323300
2017-11-30,22.3800,24.2900,22.0700,22.9000,139537700
2017-10-31,22.0000,22.8300,20.1500,22.3800,121357600
2017-09-29,22.5800,23.5500,20.8500,21.9800,143312900
2017-08-31,26.2100,26.2600,21.9200,22.4300,191412200
2017-07-31,24.6100,26.2900,24.0100,26.1000,67742700
2017-06-30,22.8900,25.0000,22.0000,24.6000,119049400
2017-05-31,24.2400,24.5500,20.3600,22.8100,187609800
2017-04-28,23.7333,25.1800,23.4583,24.1000,120960360
2017-03-31,23.3333,23.8833,21.7583,23.5917,170550240
2017-02-24,22.3417,24.3250,21.5750,22.7333,142217400
2017-01-31,23.2083,23.6583,20.3583,22.0750,196229280
2016-12-29,24.0833,24.7333,20.4083,23.2417,187617360
2016-11-30,27.1583,27.5833,23.9083,24.7667,116624400
2016-10-31,27.0667,28.1917,26.3917,27.0000,118452240
2016-09-30,28.1083,28.2333,26.1833,27.0917,113770560
2016-08-31,30.8333,31.4833,27.1250,27.9917,110450400
2016-07-29,28.4167,30.8750,27.7083,30.6250,96199680
2016-06-30,26.4167,28.5667,25.9417,28.2167,117233160
2016-05-31,27.9750,29.7917,25.7000,26.4583,111897360
2016-04-29,25.1250,28.5000,24.8125,27.9167,68716680
2016-03-31,21.6319,25.8889,21.6319,24.2292,192180672
2016-02-29,23.4028,23.5903,19.4653,21.5347,213949872
2016-01-29,22.8472,24.5000,21.8750,23.5208,153899856
2015-12-30,24.6389,26.3889,23.0903,23.3264,135212544
2015-11-30,25.5972,27.0764,24.3819,24.3819,131245776
2015-10-30,25.5556,27.7083,25.0486,25.3819,121281552
2015-09-30,26.0417,26.7222,23.9792,25.4583,150552864
2015-08-31,30.1597,30.8750,25.7083,26.6319,140257872
2015-07-31,30.4028,32.1319,29.7222,30.2431,139117824
2015-06-30,27.8056,30.6181,27.5000,30.4653,117796032
2015-05-29,29.0972,30.0556,27.6736,27.6806,97477920
2015-04-30,26.4757,29.1319,26.2153,29.0972,129809579
2015-03-31,25.5961,27.4306,24.7685,26.4410,162702948
2015-02-27,23.1481,26.0069,22.9803,25.8738,113116781
2015-01-30,24.0162,24.0451,21.1632,23.1481,149212801
2014-12-30,24.9826,25.3067,22.3438,24.1146,97624635
2014-11-28,23.2060,25.7928,21.6435,25.2431,165369945
2014-10-31,22.9803,24.1782,20.2720,23.5474,216244167
2014-09-30,24.5197,24.6007,21.5104,23.1481,144879320
2014-08-29,23.8542,25.4630,23.4317,24.2824,125022181
2014-07-31,26.5278,27.2569,23.6169,24.0162,123651534
2014-06-30,23.4259,27.0081,23.2928,26.3310,88846328
2014-05-30,22.9109,23.7269,21.8981,23.1655,99432058
2014-04-30,20.9780,22.8704,20.5151,22.8704,114524063
2014-03-31,18.4028,20.9780,18.3738,20.9259,109899763
