,open,high,low,close,volume
2019-12-19,13.0500,13.7900,12.6300,13.7100,106473100
2019-11-29,13.6600,13.7000,12.2000,13.0500,132498600
2019-10-31,14.3200,14.5400,13.0700,13.6500,187262800
2019-09-30,14.7000,15.0500,13.6400,14.3300,199055600
2019-08-30,14.2000,15.4200,13.6500,14.7600,244043600
2019-07-31,14.9900,15.5900,13.8200,14.1400,164662500
2019-06-28,14.8000,15.7400,14.0700,14.8500,187786800
2019-05-31,14.5500,14.9500,12.4400,14.7600,234971000
2019-04-30,13.9000,14.7900,13.5000,14.7400,202051400
2019-03-29,14.4900,14.9800,13.0500,13.9000,171959600
2019-02-28,13.8000,14.9800,12.8600,14.4000,243483300
2019-01-31,13.8500,14.6000,13.0200,13.8500,297396500
2018-12-28,12.8100,13.8700,12.0400,13.8600,202229000
2018-11-30,11.1000,12.8800,10.8500,12.7100,275393400
2018-10-31,7.2000,12.2500,6.9700,11.0300,619842900
2018-09-28,7.4800,7.5900,6.6500,7.1600,191967900
2018-08-31,8.2400,8.5700,7.2700,7.4600,245599500
2018-07-31,7.2300,8.4700,7.1900,8.2300,137935800
2018-06-29,7.7000,7.8200,6.4600,7.3000,210866500
2018-05-30,8.0000,8.3600,7.2600,7.6700,258252600
2018-04-30,8.5600,8.6400,7.9300,8.4600,167998200
2018-03-29,8.2600,8.7700,7.9000,8.5600,220976700
2018-02-28,7.4800,8.5300,7.0300,8.2100,201294700
2018-01-31,6.8800,7.7700,6.4600,7.5000,250771400
2017-12-29,6.6500,7.0300,6.3200,6.8700,159376500
2017-11-30,7.7000,7.8200,6.4500,6.6000,226198000
2017-10-31,7.7065,8.3075,7.6580,7.7300,173059011
2017-09-29,8.1912,8.9764,7.4836,7.7356,191554193
2017-08-31,8.2591,8.8116,7.5611,8.1233,175182470
2017-07-31,7.8519,8.8601,7.8035,8.2591,117035383
2017-06-30,7.4157,8.1815,7.1152,7.8325,179883348
2017-05-31,8.6662,9.5871,4.9826,7.4060,201650415
2017-04-28,10.1590,10.1590,8.2397,8.6080,149342153
2017-03-31,10.1299,11.6713,8.7340,10.0039,200661114
2017-02-24,8.7631,11.3804,8.3657,10.3626,149292017
2017-01-31,7.4545,8.9958,7.1734,8.8601,138619751
2016-12-29,7.5611,7.6096,6.8438,7.4739,107901847
2016-11-30,9.4611,9.4999,7.1443,7.6580,133364706
2016-10-31,8.2494,9.5483,8.2397,9.4514,146682079
