,open,high,low,close,volume
2019-12-19,10.2200,12.4400,10.2200,11.2200,220736600
2019-11-29,9.7000,10.8600,9.3600,10.2500,237847400
2019-10-31,11.2300,11.2900,9.5100,9.6700,358030900
2019-09-30,10.1500,11.7600,9.9700,11.1800,289817100
2019-08-30,12.6300,13.6600,9.3700,10.0800,483489700
2019-07-31,11.0000,12.6900,10.7400,12.5600,251874000
2019-06-28,10.2800,11.1000,10.0100,10.9700,222066000
2019-05-31,9.7500,10.3400,8.7600,10.3400,297229400
2019-04-30,10.6500,10.8700,9.6000,9.7500,208333300
2019-03-29,11.0000,11.4800,10.1700,10.6000,204312800
2019-02-28,11.5100,11.8700,10.4200,10.9700,241387900
2019-01-31,8.9400,12.0900,8.8800,11.4300,316299500
2018-12-28,10.6100,10.6600,8.4900,8.8700,337339200
2018-11-30,11.5000,12.5000,10.1400,10.5000,206816000
2018-10-31,11.4400,12.6300,10.4400,11.4200,184730800
2018-09-28,10.2000,11.8400,9.3000,11.4000,146701100
2018-08-31,11.2000,11.8500,9.6400,10.2200,186229500
2018-07-31,9.4000,12.4200,9.3000,11.3000,164598800
2018-06-29,10.9900,11.3800,9.1200,9.3200,222351900
2018-05-30,13.8600,13.8900,10.3300,10.8100,215974700
2018-04-30,13.5600,14.8000,12.3500,14.0100,226768000
2018-03-29,15.4800,15.9300,12.9500,13.6000,187344800
2018-02-28,16.2500,16.6300,14.8100,15.5000,169654200
2018-01-31,18.4000,19.0600,15.8900,16.2500,256740800
2017-12-29,18.0000,18.5400,16.4700,18.4000,145681900
2017-11-30,18.2000,19.4600,17.0300,18.1200,142950600
2017-10-31,20.0500,21.5000,17.7400,17.9900,165346800
2017-09-29,18.0200,20.0700,17.6300,20.0500,169314300
2017-08-31,15.1600,18.4800,14.6000,17.9700,232282600
2017-07-31,15.0000,15.5900,14.6400,15.0800,228009400
2017-06-30,14.5000,14.8700,13.1500,14.8700,263605900
2017-05-31,14.8000,16.0200,13.5000,14.5000,213464800
2017-04-28,13.2400,15.0300,13.1700,14.9500,145094000
2017-03-31,13.6700,14.0900,12.6800,13.2800,195058500
2017-02-24,13.7000,14.2200,12.4300,13.6700,176450600
2017-01-31,13.2000,14.9600,12.9300,13.5100,171447100
2016-12-29,13.9700,14.5700,11.9200,13.3300,224254300
2016-11-30,16.0100,16.2000,13.6500,14.4500,163409700
2016-10-31,14.7900,17.0800,14.6800,15.9000,189672500
2016-09-30,13.8900,15.9000,13.6400,14.7900,149766100
2016-08-31,14.5000,15.5700,13.6000,13.8000,187264100
2016-07-29,14.1300,16.2000,13.2000,14.4400,181943700
2016-06-30,11.0100,14.1000,10.9700,13.6000,305389900
2016-05-31,12.7000,13.2000,10.4400,11.0800,179626500
2016-04-29,11.8200,13.0400,11.4500,12.8000,97282700
