,open,high,low,close,volume
2019-12-19,62.8300,70.1100,62.1700,68.2500,29781500
2019-11-29,57.4600,63.0900,57.0000,62.1000,25916400
2019-10-31,53.4000,59.0000,51.0500,57.7900,24107500
2019-09-30,49.9800,55.6800,48.8100,53.2000,27109100
2019-08-30,51.3700,53.3300,46.7400,49.9900,47500300
2019-07-31,46.6700,51.4900,46.0900,50.8800,30112400
2019-06-28,47.4900,49.1600,45.1700,46.1500,27035900
2019-05-31,46.8700,47.9000,42.0000,47.1400,38749900
2019-04-30,43.0600,48.4000,42.6000,46.8700,39516300
2019-03-29,43.4900,47.0000,41.0600,42.6500,29989900
2019-02-28,44.3900,45.5700,41.6100,43.7000,27391300
2019-01-31,33.3900,45.8000,33.2600,44.3900,39090200
2018-12-28,35.1900,35.6900,31.6600,33.4600,21766900
2018-11-30,32.3400,36.7700,31.8500,34.4600,29862800
2018-10-31,32.4200,38.0000,31.5200,32.2500,48868600
2018-09-28,34.8000,35.4300,32.0100,32.4100,20535800
2018-08-31,36.6000,40.0100,34.5300,34.8000,27154600
2018-07-31,35.5900,39.9400,34.4600,36.8700,26818700
2018-06-29,39.5000,40.4000,33.9100,35.1800,29980300
2018-05-30,39.5000,41.7500,36.4000,38.8000,62572800
2018-04-30,41.5200,41.5200,37.6000,39.7800,25103600
2018-03-29,43.1500,45.6300,40.4100,41.5100,22488500
2018-02-28,43.5600,48.3500,41.6400,43.3700,28589700
2018-01-31,41.9000,45.7800,40.3300,43.6400,21569400
2017-12-29,35.7800,41.7800,34.1100,41.5000,28277900
2017-11-30,37.5900,37.8500,34.9700,35.8300,25310300
2017-10-31,36.0000,39.6700,35.5500,37.4000,25992600
2017-09-29,38.6800,39.9800,35.6500,36.2000,24066400
2017-08-31,36.0400,39.0000,35.0100,38.5900,24718200
2017-07-31,34.5900,36.5000,32.7700,36.1000,19455700
2017-06-30,36.4000,37.4000,29.9100,34.5800,37513000
2017-05-31,36.3700,39.1700,33.0100,36.0300,34522900
2017-04-28,38.8300,39.8300,35.2800,37.1100,17276800
2017-03-31,39.9200,40.2600,35.9300,38.8600,29517200
2017-02-24,40.6100,43.5000,39.2500,39.9000,17920900
2017-01-31,37.6200,41.3900,36.8500,40.2700,17318600
2016-12-29,38.9900,39.7800,35.0100,38.1500,16950000
2016-11-30,43.1000,43.2900,35.1700,39.4800,24020600
2016-10-31,37.7500,44.3700,37.6100,42.9200,21575300
2016-09-30,37.6000,38.6500,35.3400,37.7100,18653400
2016-08-31,34.1800,38.5500,31.9500,37.6200,26111300
2016-07-29,33.7100,35.1700,33.1500,34.0500,17509500
2016-06-30,32.8500,34.5900,31.1000,33.3100,19974000
2016-05-31,32.1000,36.0600,30.1600,32.8300,21606000
2016-04-29,31.8500,33.3300,28.6300,31.8400,10308800
2016-03-31,26.8900,32.8600,26.8000,31.3900,26659500
2016-02-29,25.0000,26.9700,22.4400,26.7500,28554100
2016-01-29,24.9300,25.4900,21.6100,25.1400,27916200
2015-12-30,23.8500,26.2400,23.5600,25.2000,19052700
2015-11-30,24.5100,26.9400,24.1000,24.1000,24743500
2015-10-30,20.4800,24.7100,19.5100,24.7100,28130200
2015-09-30,17.7100,20.8900,17.3000,20.1300,36433500
2015-08-31,20.6000,21.1500,17.0500,18.1500,29032300
2015-07-31,25.2200,25.2700,20.0100,20.8000,28830200
2015-06-30,25.1000,26.9700,24.7800,25.1500,24339500
2015-05-29,29.4600,29.6500,24.7500,25.1600,29825400
2015-04-30,27.9600,30.4300,27.9600,29.5000,23063200
2015-03-31,28.2900,29.1100,25.2900,27.8900,30980400
2015-02-27,24.6100,28.6700,23.8000,28.2900,26789700
2015-01-30,28.5000,28.6400,23.3100,24.5300,39296800
2014-12-30,31.4100,32.3700,25.0100,28.8500,116953369
2014-11-28,34.5000,34.6400,28.9500,31.8000,24577700
2014-10-31,34.4032,38.9000,30.5100,34.5900,41115690
2014-09-30,42.3752,42.4641,33.7722,34.9631,36237065
2014-08-29,32.9190,41.5931,31.8792,41.4954,31482030
2014-07-31,35.6741,36.1096,32.2436,33.0345,20762381
2014-06-30,33.4611,37.1850,33.3278,35.6385,21247900
2014-05-30,33.6567,35.4963,32.4746,33.5500,22003348
2014-04-30,31.1060,35.1586,30.5105,33.8166,35342093
2014-03-31,30.6794,31.4348,28.9552,31.3370,28361886
2014-02-28,31.6925,33.2034,29.3729,30.8305,31820822
2014-01-31,35.1764,35.2475,30.4394,31.9414,38511629
2013-12-30,37.8960,37.8960,34.6609,35.1764,24350377
2013-11-29,39.5046,40.2067,37.0783,38.2159,26768399
2013-10-31,38.3670,40.0734,37.7804,39.9223,28598850
2013-09-30,37.3272,39.2468,35.9496,37.9671,29936361
2013-08-30,38.0737,39.3446,34.9453,36.9717,36179568
2013-07-31,38.5270,39.5490,36.6962,37.7804,21842223
2013-06-28,42.0642,42.0819,36.0918,38.4825,28582424
2013-05-31,41.8597,43.9039,40.6511,42.0375,23961400
2013-04-30,40.1089,42.3041,37.3272,42.3041,23870707
2013-03-28,41.5131,43.4417,39.1313,41.0421,24538957
2013-02-28,41.9486,43.0507,39.7623,41.4687,27756425
2013-01-31,37.3805,42.5352,36.9628,41.7709,23303841
2012-12-28,35.0786,38.1270,33.7811,37.1050,18494795
2012-11-30,34.9453,35.8518,34.1988,34.9187,18112909
2012-10-31,32.7857,35.0609,32.1369,34.6165,30737830
2012-09-28,29.8884,33.2923,29.2129,32.9101,26328903
2012-08-31,27.4177,30.3950,26.8222,30.0395,31791005
2012-07-31,27.2844,28.6619,26.3956,27.7288,19315056
2012-06-29,26.3956,28.4042,25.6846,27.5421,20854760
2012-05-31,29.3285,30.0395,25.2669,26.6267,29317283
2012-04-30,30.2083,30.9282,27.3377,29.4174,29018997
2012-03-30,27.2399,31.0526,27.2399,30.1817,28822763
2012-02-29,25.2403,27.8087,25.0003,27.3288,28500736
2012-01-31,23.9872,25.1247,23.4272,25.1247,22034629
2011-12-29,24.2538,25.1603,23.1517,23.9960,22507549
2011-11-30,23.0184,24.4049,22.2896,23.9072,24642474
2011-10-31,21.0632,24.2449,19.7390,23.8183,21713617
2011-09-30,21.2320,22.9562,20.3611,21.3031,28149903
2011-08-31,20.7344,21.4187,16.7439,21.2409,32273935
2011-07-29,21.8719,22.0408,20.0856,21.3298,17924082
2011-06-30,21.2320,22.2185,20.5388,21.8631,21932350
2011-05-31,21.5076,21.5520,18.7169,21.4631,24071942
2011-04-29,23.2050,23.8983,20.5299,21.5076,31655195
2011-03-31,23.3295,24.0760,21.8097,22.5741,26258774
2011-02-28,24.1738,24.1827,21.2232,23.0984,20797522
2011-01-31,24.9292,25.4625,22.6629,23.1339,25884679
2010-12-30,23.5694,24.9736,21.8542,24.5382,28207963
2010-11-30,24.1738,25.9513,22.0408,23.3295,29171460
2010-10-29,22.3074,24.8848,21.8186,23.8627,29963141
2010-09-30,20.1567,22.7518,19.9967,22.3430,19237741
2010-08-31,22.2896,22.7074,19.6856,20.3433,28826080
