,open,high,low,close,volume
2019-12-19,12.3800,14.6300,12.3500,13.7700,151806200
2019-11-29,11.9400,13.0400,11.2300,12.5600,185760300
2019-10-31,13.2200,13.8600,11.6500,11.8000,251077500
2019-09-30,14.6500,15.1500,13.0600,13.2300,166965100
2019-08-30,16.4900,16.6800,13.1900,14.3600,226725200
2019-07-31,17.1500,17.8000,16.1200,16.5300,182381500
2019-06-28,16.5300,18.2400,15.8900,16.7100,200641200
2019-05-31,14.2000,18.2700,13.4800,16.5400,294985700
2019-04-30,16.9000,17.4900,14.2500,14.5400,296254300
2019-03-29,13.2300,17.4200,13.1600,16.2500,360384100
2019-02-28,10.4400,13.3200,9.2600,13.0800,296646200
2019-01-31,8.7700,11.1100,8.7000,10.2000,230695500
2018-12-28,9.1900,9.6000,8.4000,8.8400,138440700
2018-11-30,9.6100,10.3200,8.3200,8.8700,135678300
2018-10-31,9.3400,10.3000,8.7800,9.5700,200409200
2018-09-28,8.7800,9.5600,8.1300,9.3400,123943000
2018-08-31,9.0000,10.0400,8.2400,8.7800,219550000
2018-07-31,7.8000,9.4900,7.5300,9.1800,192198700
2018-06-29,7.8100,9.4500,7.4200,7.8600,220068500
2018-05-30,8.8800,9.8000,7.3500,7.7000,206378100
2018-04-30,8.8200,9.4500,8.3900,8.7800,167154000
2018-03-29,10.2500,10.3400,8.1000,8.8000,204944100
2018-02-28,11.1200,11.2000,9.5600,10.1500,156579500
2018-01-31,8.4500,11.3300,8.4200,10.9900,258667800
2017-12-29,7.2800,8.5000,7.1600,8.3800,174391200
2017-11-30,8.6500,8.7000,7.2500,7.3600,210501600
2017-10-31,9.8100,11.1800,8.3600,8.4300,218539000
2017-09-29,8.8100,11.3500,8.7800,9.6100,201935900
2017-08-31,7.6200,8.8100,7.4300,8.6900,197611400
2017-07-31,7.3000,8.0200,6.9200,7.6200,132366400
2017-06-30,6.9700,7.3500,5.9700,7.1800,159701900
2017-05-31,7.7500,8.0500,6.3700,6.8600,151725800
2017-04-28,9.1400,9.5200,7.0500,7.7500,122180700
2017-03-31,12.1000,12.2300,9.0100,9.1100,116357800
2017-02-24,11.8400,12.9700,11.0200,11.9800,78320600
2017-01-31,10.7000,12.9200,10.6100,11.5500,87705000
2016-12-29,12.4500,12.5900,9.4100,10.8500,103512000
2016-11-30,10.9000,13.4200,9.4300,12.4300,144380900
2016-10-31,9.0900,11.1200,9.0900,10.7400,146204400
2016-09-30,8.6000,9.8000,7.8200,9.0900,151095600
2016-08-31,11.1500,11.4000,8.4900,8.6000,158613700
2016-07-29,7.8800,11.7500,7.7800,11.0700,206597200
2016-06-30,6.5000,8.1700,6.2500,7.8200,210397900
2016-05-31,13.2000,13.5900,6.3500,6.5400,189133000
2016-04-29,7.3500,14.1200,6.9500,13.1400,113555700
2016-03-31,5.3700,8.5900,5.3700,7.1300,208798100
2016-02-29,3.5300,5.4700,3.4600,5.2000,123746800
2016-01-29,3.9800,3.9800,3.0900,3.5500,94973300
2015-12-30,5.6000,5.6900,3.9500,4.0000,104293800
2015-11-30,4.5000,6.3700,4.4100,5.5000,149099300
2015-10-30,3.9400,5.4900,3.5600,4.3400,176602300
2015-09-30,3.3600,5.8500,3.3500,3.9200,193411500
2015-08-31,4.3200,4.5900,2.7400,3.5000,132525700
2015-07-31,5.1700,5.2500,3.8000,4.3500,115551900
2015-06-30,6.1800,6.8400,5.1200,5.1900,89846700
2015-05-29,8.2700,9.4000,6.1000,6.1400,120763000
2015-04-30,5.5800,8.3700,5.4300,8.0300,122368300
2015-03-31,5.1800,6.1800,4.8100,5.4200,126733400
2015-02-27,4.2400,5.4400,4.1500,5.1700,98122600
2015-01-30,5.4600,5.9900,4.1500,4.2000,150667700
2014-12-30,5.9000,6.4800,4.2200,5.6500,195993209
2014-11-28,8.1900,8.4400,5.9300,6.0500,111030100
2014-10-31,8.6900,9.4700,7.6400,8.2500,134145300
2014-09-30,9.8300,10.2800,8.6200,8.7000,118926100
2014-08-29,11.4000,12.0800,9.6200,9.8400,108162000
2014-07-31,9.4700,11.9000,9.2700,11.4500,144393600
2014-06-30,8.6300,9.8500,8.5700,9.4000,101839000
2014-05-30,8.5900,9.5700,8.5300,8.5900,119184700
2014-04-30,9.9000,10.1500,8.5600,8.5600,124792400
2014-03-31,9.7400,10.3100,8.5000,9.8400,122785900
2014-02-28,11.0700,11.9400,9.9300,9.9300,112181300
2014-01-31,14.5300,14.5600,10.9000,11.1900,160403700
2013-12-30,11.7000,14.7000,11.7000,14.3800,98946400
2013-11-29,12.1000,13.0900,11.7200,11.9100,108030300
2013-10-31,9.5000,12.4200,9.2400,12.2500,176426500
2013-09-30,8.6100,9.7900,8.6000,9.4600,162855800
2013-08-30,6.5200,9.0700,6.4100,8.5000,230667700
2013-07-31,6.1500,7.4300,5.2800,6.5700,142558400
2013-06-28,6.7100,6.8600,5.7600,5.9600,170178800
2013-05-31,7.9400,8.0000,6.5000,6.6100,163436500
2013-04-30,9.3500,9.7700,7.5700,7.9100,162538700
2013-03-28,9.9500,11.0000,8.9000,9.1300,129811500
2013-02-28,10.8400,11.3300,9.5500,10.0000,88784300
2013-01-31,12.1200,12.8900,10.6400,10.7500,114274000
2012-12-28,10.4200,12.4400,10.3000,11.8600,101863000
2012-11-30,11.1800,11.9500,9.8200,10.4900,102656600
2012-10-31,11.5000,11.9800,10.7800,11.2300,94535600
2012-09-28,10.0900,14.5500,9.5500,11.4200,158907000
2012-08-31,10.5600,11.9900,9.5500,9.9400,142616000
2012-07-31,11.3100,12.7100,9.0000,10.5300,97432800
2012-06-29,12.8000,13.1000,10.7600,11.3800,84661500
2012-05-31,16.2700,16.4700,12.8100,12.9900,85400100
2012-04-30,17.2200,17.7700,15.9000,16.3500,60085700
2012-03-30,17.6800,19.4600,16.9100,17.2200,87719000
2012-02-29,18.3800,18.8500,17.1300,17.5100,76017100
2012-01-31,15.2800,18.6000,14.8100,18.2500,74433700
2011-12-29,15.0500,15.8400,13.6900,14.9800,56585500
2011-11-30,15.2700,16.9900,13.9300,14.7500,70100600
2011-10-31,14.6000,16.6300,13.2300,16.4000,75529700
2011-09-30,16.0100,16.8000,14.4100,14.7600,74454000
2011-08-31,16.3000,16.4000,12.8000,15.8000,108340300
2011-07-29,19.1900,19.8000,15.9100,16.6000,55618109
2011-06-30,21.9600,22.1500,18.4000,19.1900,71320100
2011-05-31,23.5600,23.6800,21.5200,22.0400,55906950
2011-04-29,26.7800,27.4500,23.7300,24.4600,58639200
2011-03-31,26.8000,27.3000,25.3100,26.6800,60717400
2011-02-28,27.7700,28.8900,26.4400,26.6500,44484704
2011-01-31,27.0000,30.3400,27.0000,27.7000,65079400
2010-12-30,26.5800,28.6000,26.2900,26.6700,51225500
2010-11-30,28.1500,30.1000,26.1100,26.1100,50112900
2010-10-29,29.3300,29.6500,27.2100,28.2500,61278000
2010-09-30,27.3000,29.7600,27.1800,29.3300,55052400
2010-08-31,29.5500,30.6700,26.6600,26.9000,66584900
2010-07-30,26.3200,29.9400,25.7000,29.2400,79522400
2010-06-30,27.5000,28.3900,25.2800,26.3000,54900037
2010-05-31,31.3400,31.4900,24.7400,27.9000,0
2010-04-30,36.1100,36.9800,31.6000,32.2800,14815200
2010-03-31,29.9200,36.7500,29.4950,35.6700,116893400
2010-02-26,27.7750,29.7950,26.3700,29.5750,80866000
2010-01-29,28.0050,29.6950,26.0050,27.5000,86564200
2009-12-29,29.6750,30.6750,26.6250,27.6150,89534200
2009-11-30,28.5750,30.7800,28.3500,29.2500,75938200
2009-10-30,26.9500,32.8500,26.0000,29.1500,80708600
2009-09-30,24.5450,27.9000,24.0600,27.1900,82966000
2009-08-31,24.3050,26.1400,23.8000,24.5100,100940400
2009-07-31,21.7150,24.2000,19.5500,24.0300,108761000
2009-06-30,24.6800,25.7400,20.6550,21.8100,107357800
2009-05-29,20.5550,24.2500,19.8400,24.2500,96751400
2009-04-30,16.7600,20.5000,16.7500,20.1350,103291000
2009-03-31,15.4500,18.1250,14.5450,17.2000,129784800
2009-02-27,17.3450,20.8000,15.4500,15.6750,97677200
2009-01-30,14.9000,19.4750,14.6500,17.5900,136506800
2008-12-30,12.4900,16.3000,11.3500,14.5000,98691000
2008-11-28,14.5000,15.9000,9.8800,12.9450,117539400
2008-10-31,20.1000,20.2000,11.3000,14.3550,210743000
2008-09-30,28.2500,28.7100,18.0750,20.3750,175486200
2008-08-29,30.4500,30.9800,24.5700,28.2500,108020200
2008-07-31,34.6550,35.0250,27.4150,30.6500,127507400
2008-06-30,41.0650,41.0650,32.9300,35.7400,108907000
2008-05-30,36.7600,43.1500,35.2900,39.6500,92185400
2008-04-30,31.6350,36.7350,31.1500,36.4000,82239000
2008-03-31,31.8000,33.7450,29.4000,31.2800,92655800
2008-02-29,28.8500,35.7950,27.0500,31.5500,115024800
2008-01-31,26.0017,27.6250,21.7350,27.5000,102665800
