,open,high,low,close,volume
2019-12-19,40.3800,44.1800,40.3200,44.0400,29538200
2019-11-29,51.9500,54.0000,38.5500,40.1400,76908700
2019-10-31,55.8700,56.5600,50.6000,51.2300,31395800
2019-09-30,52.9100,56.1900,49.7200,55.8500,35191200
2019-08-30,51.0000,57.4800,50.1100,53.0700,42402300
2019-07-31,50.4500,54.4800,46.1300,50.8700,54396400
2019-06-28,51.7000,53.9000,47.6000,49.8000,22078000
2019-05-31,56.7000,59.1800,43.9600,51.6200,37836900
2019-04-30,55.2500,56.9300,48.8100,56.7900,29570700
2019-03-29,58.4000,58.9700,51.1200,54.7500,35595300
2019-02-28,64.0200,65.1300,57.6000,58.4000,23117000
2019-01-31,61.1900,65.3300,57.9900,64.0000,29262000
2018-12-28,62.2000,63.7500,57.2200,61.1800,19238900
2018-11-30,57.4600,62.1400,54.2400,61.8500,18934200
2018-10-31,43.3200,59.0000,41.7500,56.6000,33559100
2018-09-28,42.0200,43.4400,38.1800,43.3100,19928000
2018-08-31,43.9400,46.8800,40.1700,42.5500,25710100
2018-07-31,44.3000,47.5000,39.3000,44.1000,30342600
2018-06-29,51.0700,54.0800,40.1200,45.2000,38500600
2018-05-30,57.9100,57.9100,47.0700,51.0000,36835800
2018-04-30,60.6500,60.6500,55.6200,57.9900,19083900
2018-03-29,55.7500,60.9000,52.5000,60.6500,20430000
2018-02-28,54.7800,57.4000,52.3700,56.1400,15470000
2018-01-31,48.5000,55.4500,48.4900,55.1300,14593000
2017-12-29,44.9700,48.6400,43.6200,48.5000,15335900
2017-11-30,43.5700,46.7300,40.4000,44.9700,21198900
2017-10-31,41.2800,46.0600,40.3000,43.2000,19211400
2017-09-29,38.4000,42.8700,37.9100,40.9500,19761700
2017-08-31,35.6200,38.2000,33.5700,38.2000,20032900
2017-07-31,32.3700,35.9700,32.1400,35.6500,17700800
2017-06-30,30.2700,34.6400,29.5000,32.3900,15698300
2017-05-31,30.9600,32.7000,27.4300,30.0000,26019800
2017-04-28,29.0000,30.9600,27.9200,30.9600,17203600
2017-03-31,28.7100,30.4000,28.0100,28.9000,17889200
2017-02-24,26.1300,28.9400,25.6000,28.5300,12325400
2017-01-31,23.6500,26.6600,23.0100,26.0000,15625000
2016-12-29,23.9100,24.0900,21.7500,23.7000,15089200
2016-11-30,24.5600,26.1900,22.8100,23.7900,40341500
2016-10-31,24.0800,25.2300,22.7100,24.5000,13470100
2016-09-30,22.6500,24.5900,22.0600,24.0500,14715200
2016-08-31,21.7700,23.4700,20.5500,22.4500,27119200
2016-07-29,22.9000,26.3500,21.0000,21.6000,11997500
2016-06-30,21.2700,23.0400,20.0000,22.8900,5994200
2016-05-31,18.9100,21.4000,17.7500,21.4000,11377800
2016-04-29,16.7000,20.1500,16.3200,19.0000,9559300
2016-03-31,13.2900,17.4000,13.1800,16.7400,9258500
2016-02-29,12.6000,13.2700,10.7200,13.1900,8146200
2016-01-29,13.2400,13.4000,11.9200,12.5000,6466600
2015-12-30,13.8300,14.4800,12.2600,13.5000,5758000
2015-11-30,14.6100,15.5800,13.7500,13.8000,6933400
2015-10-30,13.6800,16.0900,13.0100,14.6000,10539800
2015-09-30,16.4400,17.0200,13.2400,13.8000,7999400
2015-08-31,18.6400,18.6800,15.8000,16.5900,7791500
2015-07-31,18.6100,20.1600,17.7600,18.7000,8611300
2015-06-30,19.4900,19.7900,17.5000,18.8000,6316300
2015-05-29,17.3800,19.7000,16.4000,19.5000,10478200
2015-04-30,14.1600,18.3900,13.9500,17.3400,7861600
2015-03-31,14.2800,14.4900,13.3400,14.1500,6635700
2015-02-27,12.4400,15.0700,12.3100,14.2900,4885400
2015-01-30,15.4000,15.4400,12.5300,12.6200,3952800
2014-12-30,15.3200,16.0000,14.1600,15.5000,9500420
2014-11-28,14.9300,15.7000,14.0800,15.5000,2358700
2014-10-31,15.4900,16.5900,14.0500,14.9100,4724200
2014-09-30,15.9900,16.8500,15.0700,15.6000,5217300
2014-08-29,14.4400,15.9900,13.1500,15.9900,7062000
2014-07-31,13.4200,14.7300,12.6400,14.4000,3274600
2014-06-30,14.1600,14.6800,12.9400,13.4300,6964200
2014-05-30,16.2700,16.4500,13.9500,14.3000,5214500
2014-04-30,15.1500,17.8900,14.8500,16.2700,10209400
2014-03-31,14.1900,15.3000,13.6800,15.1600,6461400
2014-02-28,14.0900,15.0000,11.9800,14.3100,8909600
2014-01-31,15.3500,16.0900,13.6000,14.2500,5620700
