,open,high,low,close,volume
2019-12-19,26.7100,30.2600,26.4800,29.4000,58529200
2019-11-29,27.4800,28.7600,25.6500,26.8400,66125000
2019-10-31,24.1500,27.2700,23.0400,26.9300,73989100
2019-09-30,24.9600,26.1500,21.2800,24.0500,116022900
2019-08-30,24.7300,26.9700,22.8300,25.1900,102705200
2019-07-31,20.9000,24.8900,20.5800,24.4000,77729700
2019-06-28,17.5800,20.8300,17.3000,20.8000,64670300
2019-05-31,17.5700,17.6700,15.2600,17.4400,66949000
2019-04-30,16.4000,17.7800,15.4200,17.7800,55862000
2019-03-29,17.2000,18.2800,15.1900,16.2700,57687100
2019-02-28,16.9500,17.5700,15.9500,17.1000,55458500
2019-01-31,15.7000,17.4700,15.3000,17.0100,71533800
2018-12-28,14.3500,15.7300,13.9100,15.4700,66095400
2018-11-30,14.6200,14.7600,12.7200,14.2400,64496600
2018-10-31,10.8000,14.8400,10.5000,14.6000,102413400
2018-09-28,10.7800,11.1500,10.0100,10.7400,46206000
2018-08-31,11.6900,12.4600,10.5500,10.9300,48212800
2018-07-31,10.9100,12.6700,10.6600,11.5900,41547700
2018-06-29,11.7600,12.2000,9.8000,11.0000,74495800
2018-05-30,13.9200,13.9800,11.4300,11.6900,55657800
2018-04-30,15.2000,15.7000,13.2000,13.9000,49731900
2018-03-29,15.3500,15.7100,14.6800,15.2900,42688200
2018-02-28,15.0200,15.9500,14.2800,15.3400,37743200
2018-01-31,13.2700,15.2100,13.2100,14.9800,57412300
2017-12-29,12.1700,13.4400,11.9600,13.2200,44698900
2017-11-30,13.0000,13.4000,11.7700,12.1800,45178300
2017-10-31,13.8600,14.6000,12.8000,12.8000,38443200
2017-09-29,13.2000,14.9400,12.8700,13.8000,47356500
2017-08-31,12.3500,13.3100,11.7500,13.1800,51546700
2017-07-31,10.9600,12.5700,10.5900,12.2400,35752200
2017-06-30,10.6900,11.1400,9.9300,10.9600,34651300
2017-05-31,13.0200,13.7400,10.0800,10.6900,47197200
2017-04-28,13.1800,13.5300,12.8500,13.2000,27466100
2017-03-31,12.9500,13.7000,12.2800,13.2400,43119200
2017-02-24,13.0000,14.5000,12.6800,12.9900,42263100
2017-01-31,10.1500,13.3900,10.0800,12.9500,56644200
2016-12-29,9.1800,10.4400,8.7700,10.2700,50571200
2016-11-30,10.7600,11.0300,8.5900,9.3300,74276300
2016-10-31,10.3500,11.1400,10.1600,10.7500,45498800
2016-09-30,10.5800,10.9000,9.6100,10.2300,53626800
2016-08-31,11.2000,11.7700,9.9100,10.5700,71010500
2016-07-29,10.3500,11.2700,9.7800,11.2100,50919500
2016-06-30,9.6100,10.9700,9.4500,10.2900,52963000
2016-05-31,10.3300,11.4000,9.5000,9.6000,43589400
2016-04-29,10.4000,11.1200,9.8000,10.2700,27071500
2016-03-31,8.2600,11.1800,8.0800,10.4300,104237700
2016-02-29,7.2000,8.4000,7.1000,8.2000,32325400
2016-01-29,7.4000,7.7400,6.8600,7.1500,38672700
2015-12-30,7.5000,8.2800,7.0900,7.5000,69955200
2015-11-30,8.8300,9.9100,7.3900,7.3900,98776200
2015-10-30,8.2700,9.7800,8.0400,8.9600,34105200
2015-09-30,8.2900,8.7100,7.5700,8.2700,52994500
2015-08-31,9.2900,9.4200,7.5000,8.4000,70989200
2015-07-31,9.8900,10.1600,8.8000,9.3000,31144300
2015-06-30,10.8500,11.1800,9.4800,9.9000,46482200
2015-05-29,11.5300,11.9100,10.3300,10.8700,43793700
2015-04-30,13.3200,14.4200,11.4500,11.7300,44140200
2015-03-31,11.5900,14.3000,10.8700,13.2500,63462300
2015-02-27,10.9700,11.7400,10.3100,11.5800,41484000
2015-01-30,10.9200,11.4900,10.2900,10.8100,47117500
2014-12-30,12.2300,12.2300,10.4100,11.0600,91426287
2014-11-28,12.3000,12.7400,11.0000,12.5500,45268700
2014-10-31,12.1800,13.6800,11.0600,12.3200,62517100
2014-09-30,14.1900,14.3200,12.0700,12.3500,44900000
2014-08-29,12.5500,14.1900,12.4200,14.1900,51522700
2014-07-31,13.8400,14.2400,12.5200,12.5700,49503000
2014-06-30,13.2100,13.9400,12.9700,13.8200,53737200
2014-05-30,13.6500,13.9100,13.0200,13.3800,61056800
2014-04-30,13.8000,14.0200,13.0500,13.5400,96252300
2014-03-31,13.0900,13.8100,12.1200,13.6600,55285400
2014-02-28,14.2600,14.7400,13.0500,13.0600,76185400
2014-01-31,14.4800,15.5700,13.9100,14.2800,92197600
2013-12-30,15.6700,15.7900,14.2500,14.4000,57043500
2013-11-29,16.8500,16.8500,15.1000,15.8000,70899000
2013-10-31,16.9700,17.4300,16.2500,16.7500,53654800
2013-09-30,15.9100,17.6700,15.5900,16.7500,57144200
2013-08-30,16.6300,17.3300,15.2400,15.8900,64652200
2013-07-31,15.4400,17.1700,14.9700,16.2900,61951900
2013-06-28,17.1900,17.3800,14.5800,15.4000,75592600
2013-05-31,17.7900,18.9700,16.9800,17.0000,66884600
2013-04-30,17.2000,18.6000,16.8300,18.1800,68227800
2013-03-28,17.2100,17.6900,15.9300,16.5500,63798900
2013-02-28,17.6500,17.8600,16.2700,17.4000,57808700
2013-01-31,18.1800,18.7000,17.2100,17.5500,81682400
2012-12-28,17.7400,19.0900,17.1800,17.8900,62250900
2012-11-30,17.2500,18.3000,16.3000,17.8200,43365500
2012-10-31,17.4800,18.4000,16.9500,17.2200,59569400
2012-09-28,16.5900,18.1900,16.4000,17.4000,65923900
2012-08-31,14.9000,17.4800,14.7400,16.5100,87308600
2012-07-31,14.6000,15.9300,13.1500,14.8000,67215000
2012-06-29,14.6100,15.9700,14.1400,14.8000,57311900
2012-05-31,15.3100,16.7600,13.3400,15.1200,100924900
2012-04-30,16.2500,17.9300,15.1900,15.4000,84508400
2012-03-30,17.4900,19.7300,16.1500,16.1500,87936500
2012-02-29,16.3200,18.8000,16.2100,17.3200,68079700
2012-01-31,14.6900,17.4000,14.6900,16.1800,82402900
2011-12-29,15.5700,16.3400,14.5000,14.8400,80362600
2011-11-30,14.3500,15.8000,13.3000,15.0300,82934600
2011-10-31,11.5300,16.0800,11.0500,15.0100,83498400
2011-09-30,16.0000,16.7200,11.5700,11.7100,109108500
2011-08-31,15.3500,15.5300,12.5100,15.0900,139324300
2011-07-29,14.9500,16.0100,13.8000,15.0600,102123882
2011-06-30,16.8000,17.0900,14.6000,14.8700,92622900
2011-05-31,16.3900,16.9600,14.7500,16.9000,97177515
2011-04-29,16.0900,17.3900,15.5000,16.5100,76261600
2011-03-31,16.6000,16.6400,14.6500,15.4800,148634973
2011-02-28,18.5500,19.4000,15.8900,16.5500,83311929
2011-01-31,21.9100,22.3800,18.1600,18.4100,53786900
2010-12-30,21.8700,22.4500,18.5000,21.8500,64860800
2010-11-30,22.6000,23.0000,19.9800,21.7000,71110300
2010-10-29,24.1900,26.1500,22.2600,23.5000,53536200
2010-09-30,21.9000,25.4500,21.9000,23.9500,41931050
2010-08-31,24.9300,26.0400,21.1500,21.8300,71028943
2010-07-30,19.6300,24.8900,19.0400,24.7900,71078200
2010-06-30,19.3000,21.6500,18.6500,19.5100,57276227
2010-05-31,21.3900,21.7000,16.5800,19.7500,88080793
2010-04-30,21.2500,22.1400,20.2500,21.0000,57422532
2010-03-31,22.9000,23.2900,20.2100,21.0600,86834500
2010-02-26,21.8100,24.2300,20.3100,22.5500,53183700
2010-01-29,24.5500,24.5500,20.4100,21.6400,62644600
2009-12-29,24.9800,25.7900,22.5200,23.8000,47620100
2009-11-30,21.8500,25.2000,21.5800,24.7000,57823300
2009-10-30,22.9500,28.5100,20.9000,22.5000,98718600
2009-09-30,23.5000,25.1800,20.6100,23.0500,58002800
2009-08-31,20.0000,25.3900,18.7500,23.6900,64993500
2009-07-31,15.0000,19.3700,14.0200,19.2500,59804000
2009-06-30,15.2100,15.4000,12.5100,14.8500,64674600
2009-05-29,14.0000,16.1900,12.6500,15.1000,60307600
2009-04-30,9.1000,14.9000,8.9600,13.6100,67974400
2009-03-31,6.8400,9.5100,6.5500,9.1800,73560800
2009-02-27,9.0200,11.5800,6.9200,7.0400,77708600
2009-01-30,9.2500,11.2800,7.5500,9.3000,49787300
2008-12-30,7.3100,10.0000,7.0000,9.2000,43834100
2008-11-28,10.7800,12.8000,5.6100,7.8400,72342800
2008-10-31,19.5000,20.2400,7.5000,10.6000,79869600
2008-09-30,20.3000,21.7400,16.0000,19.5000,63586700
2008-08-29,22.8000,23.3800,19.6600,20.4900,38473700
2008-07-31,21.5600,23.6900,18.5200,22.8000,54872000
2008-06-30,26.9500,26.9500,21.1700,22.1400,52501400
2008-05-30,29.1100,32.0000,24.8400,27.2800,47677800
2008-04-30,23.2100,28.0100,22.9000,27.7300,25908400
2008-03-31,26.8000,28.4400,22.3500,23.0000,32938100
