,open,high,low,close,volume
2019-12-19,14.4800,15.7900,13.7400,15.7800,49130400
2019-11-29,13.6300,15.1900,13.6300,14.4000,57811500
2019-10-31,14.0200,14.6300,13.1800,13.7500,64901700
2019-09-30,12.3000,14.3100,12.1700,14.1000,68141800
2019-08-30,11.7500,12.8200,11.1700,12.4000,73754200
2019-07-31,10.8200,11.8900,10.3400,11.7800,56449600
2019-06-28,9.4900,11.1400,9.2800,10.7600,56335600
2019-05-31,8.1300,9.4800,7.9500,9.4600,66819400
2019-04-30,9.7100,9.8200,7.9200,8.1100,91043300
2019-03-29,11.3200,11.3600,9.1300,9.5900,63878900
2019-02-28,11.4000,11.6600,10.6700,11.3200,62770000
2019-01-31,9.4700,12.1900,9.3600,11.3900,72301800
2018-12-28,9.4000,9.8200,9.0200,9.3800,59792000
2018-11-30,9.5000,9.6400,8.3100,9.3000,57660100
2018-10-31,7.1900,9.7300,7.0400,9.4500,80324100
2018-09-28,7.1100,7.9200,6.8500,7.1600,64856400
2018-08-31,7.7900,8.3100,7.0500,7.1000,68997900
2018-07-31,7.3800,8.6100,7.1700,7.8000,66842200
2018-06-29,7.9300,8.4000,6.9800,7.4000,78498700
2018-05-30,9.5800,9.6600,7.3200,7.9000,84695000
2018-04-30,8.7800,10.0200,8.3000,9.9500,75217700
2018-03-29,10.1500,10.1500,8.3100,8.7500,92275100
2018-02-28,11.4600,11.8400,9.6600,10.0500,63230500
2018-01-31,12.3000,13.0700,11.3900,11.3900,48058600
2017-12-29,11.8800,12.7700,11.6100,12.3000,41388700
2017-11-30,12.3300,12.8500,11.1000,12.0300,48428300
2017-10-31,11.4000,12.6600,11.1800,12.2000,55811800
2017-09-29,10.8000,11.5800,10.6100,11.4100,45735100
2017-08-31,10.6400,11.0600,10.1900,10.7000,49719200
2017-07-31,10.3400,11.6500,10.1800,10.6900,53760500
2017-06-30,9.2900,10.5000,9.2000,10.3500,62688800
2017-05-31,9.4400,11.0000,8.9000,9.2000,80141300
2017-04-28,9.0500,9.4500,8.9000,9.4400,41338000
2017-03-31,9.3300,9.7000,8.4600,9.0400,79339900
2017-02-24,8.6200,10.0000,8.2600,9.1900,59064000
2017-01-31,8.2400,9.0600,7.9700,8.5300,65704900
2016-12-29,7.8000,8.2500,7.0100,8.2400,59223500
2016-11-30,9.4500,9.5400,7.4800,7.9000,71580200
2016-10-31,8.9500,9.7000,8.7800,9.4700,78975700
2016-09-30,8.4300,9.0500,8.2600,8.8900,62798700
2016-08-31,8.2500,8.9200,7.9700,8.3200,66758300
2016-07-29,8.3800,8.3800,7.3600,8.2100,72858100
2016-06-30,7.8100,8.4900,7.4400,8.3800,67676900
2016-05-31,7.5900,8.2000,7.1100,7.8500,66435700
2016-04-29,6.1000,7.5500,5.6800,7.5000,46608300
2016-03-31,4.6000,6.2600,4.5400,5.9600,113096300
2016-02-29,3.9600,4.5500,3.7900,4.5200,58123700
2016-01-29,4.9000,5.0500,3.2900,3.9900,64027800
2015-12-30,5.2900,6.1600,4.8100,5.0900,50559200
2015-11-30,5.9600,6.4000,5.0600,5.2300,68648600
2015-10-30,6.1600,7.1100,5.8500,5.9500,44601000
2015-09-30,6.7800,6.8900,5.2500,6.1000,41303900
2015-08-31,6.9400,7.2300,5.7600,6.9900,32401500
2015-07-31,7.7100,7.8100,6.1000,6.9700,34503200
2015-06-30,7.3300,8.5800,7.2600,7.7400,42112200
2015-05-29,8.9300,9.2800,7.2500,7.2600,39314800
2015-04-30,9.0300,9.4500,8.7500,8.8800,28132500
2015-03-31,10.4800,10.6300,8.7700,8.9300,38293000
2015-02-27,10.4300,11.2400,9.8000,10.4700,29020200
2015-01-30,10.5700,11.7000,9.7600,10.5500,43254300
2014-12-30,10.7400,10.8400,8.9000,10.5100,53764268
2014-11-28,11.0800,11.3700,9.4100,10.9500,34084300
2014-10-31,11.9600,13.0600,9.7900,11.0800,41516800
2014-09-30,14.3500,14.7700,11.7100,12.0600,29270700
2014-08-29,13.7000,14.5000,13.3500,14.3500,27420000
2014-07-31,15.1500,15.7000,13.5100,13.7000,23588900
2014-06-30,14.6800,15.7000,14.4100,15.1400,30717700
2014-05-30,13.3100,14.7400,13.3000,14.5200,43121800
2014-04-30,13.6500,14.3900,13.1400,13.3000,43458800
2014-03-31,12.2600,13.9800,12.2000,13.6000,31876500
2014-02-28,12.3000,13.0400,11.4400,12.3500,24879600
2014-01-31,14.7900,15.1800,12.0600,12.3000,30081700
