,open,high,low,close,volume
2019-12-19,47.0500,50.4700,45.1800,49.3400,18812800
2019-11-29,45.5200,47.5000,44.0200,46.7700,26760800
2019-10-31,44.5100,45.4700,42.1700,45.2600,26435200
2019-09-30,45.3000,45.8500,43.3000,44.3900,21468900
2019-08-30,48.8700,49.4400,42.3700,44.9800,30641500
2019-07-31,43.9500,49.5000,43.0700,48.2700,25036000
2019-06-28,46.3100,47.5400,41.6000,43.4700,38978800
2019-05-31,44.4900,46.3200,40.1300,46.3200,32309300
2019-04-30,43.3200,45.5500,41.3600,44.4900,23763300
2019-03-29,41.1600,43.6000,39.4100,42.7100,26209800
2019-02-28,41.8900,44.6600,40.9200,41.1600,29468400
2019-01-31,33.3500,44.0800,33.2800,41.8500,32530400
2018-12-28,34.8880,37.0160,32.5100,33.0200,27672850
2018-11-30,32.1680,35.2800,31.5840,34.4080,29553250
2018-10-31,28.4560,32.0080,28.2160,31.8400,33792000
2018-09-28,29.2400,30.0640,28.2000,28.3840,19175500
2018-08-31,29.9920,31.6080,28.0160,29.5200,28312125
2018-07-31,27.3600,30.3360,27.1360,29.9120,17689750
2018-06-29,29.6720,30.3760,26.5200,27.3840,26484875
2018-05-30,29.4720,31.2560,28.5280,29.5920,29597500
2018-04-30,31.3680,31.4320,29.0080,29.5920,26096000
2018-03-29,31.3120,32.1520,30.3040,31.3280,24127125
2018-02-28,29.3600,32.1120,27.7600,31.3200,25644750
2018-01-31,28.6320,29.8000,27.8000,28.7520,21139250
2017-12-29,28.3440,28.9200,27.4800,28.4080,17605750
2017-11-30,28.8720,30.3920,28.0320,28.3440,20007875
2017-10-31,29.0800,30.6800,28.4080,28.6400,24796875
2017-09-29,28.8080,30.4160,28.5120,29.0000,28475625
2017-08-31,28.1360,29.3280,26.8800,28.8800,23534875
2017-07-31,27.3280,28.4720,27.0080,28.0000,18497750
2017-06-30,26.5360,28.2880,26.3040,27.1360,28095125
2017-05-31,27.3360,28.0720,24.2400,26.5360,28698500
2017-04-28,28.2880,28.7680,27.2000,27.2000,15551125
2017-03-31,29.8320,30.0880,28.0800,28.2960,23861250
2017-02-24,28.8800,30.5120,28.1040,29.5840,20470250
2017-01-31,28.0160,29.3360,27.5280,28.6400,18659625
2016-12-29,28.5280,28.7360,26.6080,28.0000,19782750
2016-11-30,32.4640,32.9200,27.8160,28.6800,22284250
2016-10-31,30.8000,32.9680,30.5120,32.4400,23509000
2016-09-30,31.2800,32.7520,30.8000,30.8000,18249000
2016-08-31,33.7600,35.1200,30.6080,31.2000,20162000
2016-07-29,30.7760,34.2880,30.2800,33.7680,25287250
2016-06-30,28.2400,31.0000,27.9840,30.6480,21982250
2016-05-31,30.4080,30.6320,28.2000,28.3840,21878875
2016-04-29,28.9760,31.2640,28.1040,30.5200,14444000
2016-03-31,28.4720,30.7920,27.9520,29.3440,36737250
2016-02-29,26.4000,28.6240,26.1760,28.2400,23738625
2016-01-29,26.6160,27.0720,23.5440,27.0720,22779625
2015-12-30,26.5840,28.3040,25.8720,26.7920,22488125
2015-11-30,26.9040,29.9840,26.5280,26.7680,24764250
2015-10-30,27.0560,28.0800,25.8320,27.0960,22011375
2015-09-30,26.1200,28.2880,24.9920,27.0080,25681875
2015-08-31,28.8400,29.4480,24.8240,26.8320,22363375
2015-07-31,27.4400,29.9280,26.9760,29.0000,24290750
2015-06-30,27.1280,28.4480,26.4960,27.3520,19584750
2015-05-29,28.7040,30.3760,27.0560,27.0800,21412875
2015-04-30,28.6320,29.8160,27.6160,28.5600,16426375
2015-03-31,26.8160,29.0400,25.2000,28.2400,18181875
2015-02-27,24.9120,26.9840,23.5280,26.7200,15972000
2015-01-30,26.8800,27.6880,24.2080,24.9120,21175500
2014-12-30,27.8240,27.9360,25.0640,27.0640,82883471
2014-11-28,27.2720,28.1600,25.7440,27.5280,18339750
2014-10-31,27.2320,29.4320,24.1200,27.0000,34493000
2014-09-30,30.3120,30.6400,27.3040,27.5280,19235375
2014-08-29,27.2000,31.5040,26.6400,30.4400,19040625
2014-07-31,26.3840,28.6400,26.1280,27.1920,17259875
2014-06-30,26.6240,28.6480,26.2560,26.4000,16814125
2014-05-30,26.5200,27.8960,26.0800,26.6560,19224125
2014-04-30,28.3680,29.0720,25.2000,26.5280,21041750
2014-03-31,26.5200,28.9760,24.7040,28.0800,22360750
2014-02-28,27.5520,28.4640,25.6800,26.5600,24441500
2014-01-31,28.7680,30.8000,26.8320,27.6000,21916375
2013-12-30,30.5680,31.3120,28.6640,28.7520,13438250
2013-11-29,30.7600,32.9200,29.9920,30.5920,13726125
2013-10-31,29.4800,30.8560,28.8400,30.4800,11776000
2013-09-30,27.3600,30.5040,27.1840,29.3040,15095250
2013-08-30,29.1120,29.9280,26.8240,27.3120,15326500
2013-07-31,26.8080,29.3120,26.7360,29.1200,14268000
2013-06-28,29.5760,29.8400,25.2800,27.7360,22611625
2013-05-31,28.8000,30.7040,28.0560,29.5600,19177625
2013-04-30,27.9120,29.6640,27.0960,28.5200,16514625
2013-03-28,27.8480,28.5840,26.2320,27.6480,18253125
2013-02-28,28.3040,28.6320,26.8080,28.0000,15931875
2013-01-31,26.8160,29.6480,25.2000,28.3120,22596750
2012-12-28,27.8720,27.8720,26.0000,26.6800,13966625
2012-11-30,28.1360,29.3920,25.9920,27.8800,14081625
2012-10-31,25.7680,28.8000,25.2080,28.0000,19193375
2012-09-28,27.1600,28.1200,23.3760,25.6000,19655125
2012-08-31,29.3680,29.5760,26.7520,27.0080,13153000
2012-07-31,29.8000,30.1280,27.8080,29.2400,18329375
2012-06-29,26.7520,30.4080,26.4000,29.7200,16888500
2012-05-31,26.2800,28.4880,25.6560,26.7600,23166250
2012-04-30,26.3120,27.0880,25.1200,26.2800,14684750
2012-03-30,24.3040,26.7040,24.2400,26.1760,19987125
2012-02-29,24.3680,24.7040,23.2000,24.3040,20159625
2012-01-31,24.0000,25.5040,23.4800,24.2720,14781250
2011-12-29,22.6720,24.9200,22.0400,23.9680,13784500
2011-11-30,21.6160,22.9600,21.4880,22.5760,11896375
2011-10-31,20.8640,22.4080,20.0720,22.0000,12332750
2011-09-30,20.3440,22.3120,20.2400,20.8800,14856875
2011-08-31,21.1680,21.5120,19.2000,20.2400,21244875
2011-07-29,22.0400,22.1200,20.4000,20.6640,12735185
2011-06-30,21.3920,22.0240,20.3600,22.0000,13752125
2011-05-31,22.1680,22.5840,21.3200,21.4000,9841826
2011-04-29,22.0880,22.9440,21.8800,22.0480,11310250
2011-03-31,20.9120,22.7840,19.7680,22.0800,11748342
2011-02-28,20.8960,22.3760,19.6080,20.8000,13542613
2011-01-31,22.0400,22.3120,20.4800,20.6400,12863125
2010-12-30,21.9360,22.6800,21.0320,21.9600,14243500
2010-11-30,20.7280,22.1280,19.8240,21.6640,17630625
2010-10-29,19.9040,21.8320,19.4640,20.7200,18979000
2010-09-30,19.1200,20.7200,18.1440,20.2560,13332931
2010-08-31,18.5200,19.7360,17.9680,18.5840,10121974
2010-07-30,16.9600,18.7600,16.5920,18.2800,12718125
2010-06-30,16.2400,17.1920,15.6720,16.9520,11877555
2010-05-31,17.6000,17.8400,15.7840,16.5120,11808029
2010-04-30,16.0640,18.0800,15.8480,17.7200,16430934
2010-03-31,16.4480,16.6320,15.7440,15.9920,18835375
2010-02-26,16.2640,16.8400,15.3360,16.5680,20387625
2010-01-29,17.2000,17.4880,16.0400,16.1840,18034500
2009-12-29,17.2000,20.9000,16.6000,17.1200,22172000
2009-11-30,16.7200,18.0320,16.4880,16.8000,15617750
2009-10-30,16.7280,18.3680,16.7200,16.7200,13225500
2009-09-30,15.8400,17.6400,15.3920,16.7040,13447125
2009-08-31,15.4480,16.0000,14.8800,15.9600,15825000
2009-07-31,15.1200,19.3700,15.0400,15.4000,16161875
2009-06-30,14.7920,15.2000,14.1040,15.1600,24590875
2009-05-29,14.5600,15.8240,14.2080,14.6800,23624875
2009-04-30,13.7200,15.0880,13.6640,14.4720,19109500
2009-03-31,14.1120,14.4000,13.6160,13.7600,21286125
2009-02-27,14.4800,14.6400,13.7600,14.2320,14134125
2009-01-30,14.7680,15.5920,14.2400,14.3520,18057500
2008-12-30,15.2720,16.6800,14.3200,14.8400,24420375
2008-11-28,13.6800,16.1040,13.3280,15.4640,14992750
2008-10-31,16.3200,16.4000,11.5200,13.6800,20967625
2008-09-30,16.1120,16.5600,13.6320,16.5600,25561375
2008-08-29,18.8000,19.6000,15.7680,16.1200,17313500
2008-07-31,18.5600,19.2800,17.6080,19.2240,17312500
2008-06-30,18.9920,19.8800,18.1120,19.1200,17450625
2008-05-30,18.8000,20.2400,17.6000,19.1200,23082625
2008-04-30,17.6880,19.0000,16.8480,18.6560,10903125
2008-03-31,16.9200,17.9920,15.4000,17.9920,13089625
2008-02-29,16.1280,18.1600,15.6720,16.6800,11558375
2008-01-31,17.0400,18.2400,14.8800,16.0000,21474125
2007-12-28,18.3200,19.3840,16.2000,17.0400,15806000
2007-11-30,19.4480,20.0400,16.1040,17.8000,18371125
2007-10-31,17.9280,20.8000,17.8400,19.8320,17174625
2007-09-28,17.9200,18.8000,16.8000,18.0400,11629875
2007-08-31,17.8080,18.3600,14.0160,17.9200,18559750
2007-07-31,17.3200,20.0000,17.0800,17.9200,12823625
2007-06-29,16.4800,18.0000,16.1600,17.1920,11987500
2007-05-31,14.5200,16.7920,14.3920,16.4000,14592000
2007-04-30,14.4080,15.4400,14.0480,14.2800,7377000
2007-03-30,13.4800,14.8000,13.2800,14.4000,8961000
2007-02-28,14.7120,15.0000,13.5920,13.8000,13932875
2007-01-31,14.1600,15.1200,13.4480,14.6000,12762500
2006-12-28,13.1200,14.4000,12.9600,14.4000,20179875
2006-11-30,13.8400,17.1900,12.8400,13.0640,19134875
2006-10-31,14.4000,18.3000,13.3520,13.6000,11151250
2006-09-29,15.4400,18.9000,13.2160,14.0800,24579236
2006-08-31,13.6000,16.0000,13.6000,15.4400,108950026
2006-07-31,14.0960,14.5600,12.8800,13.6800,83361214
2006-06-30,13.6800,15.5100,12.0080,13.7600,143127840
2006-05-31,13.7600,15.0560,12.5600,13.6800,149891797
2006-04-28,14.7280,18.1600,13.7600,13.7680,7962125
2006-03-31,13.9600,15.8960,13.9600,14.7200,11290125
2006-02-28,12.4800,17.4500,11.3600,17.4500,14280875
2006-01-31,12.0560,15.2000,11.6000,12.4880,20588375
2005-12-29,11.1520,12.1600,10.4160,12.0400,39359250
2005-11-30,12.8080,12.8080,10.4400,11.0400,2767625
2005-10-31,10.6000,13.0320,10.1600,12.8000,3343375
2005-09-30,8.5360,11.6000,8.3120,10.6400,2903125
2005-08-31,9.0640,9.5840,7.7840,8.5280,3181500
2005-07-29,8.8000,9.0800,7.2640,9.0320,1209625
2005-06-30,9.4400,9.8480,8.3600,8.8400,1297250
2005-05-31,9.2240,10.3520,8.6400,9.4320,153492
2005-04-29,9.5920,10.5600,8.2640,9.6000,1650
2005-03-31,7.1040,9.5840,7.0480,9.5840,1084
2005-02-28,6.4560,7.4400,6.1680,7.2160,1169
2005-01-31,7.8400,7.8560,5.8080,6.3600,1171
2004-12-31,7.4640,9.9120,7.1440,9.8000,1728
2004-11-30,7.2960,9.3400,7.0800,7.4800,891
2004-10-29,7.3120,8.9400,6.8080,7.2960,900
2004-09-30,7.1920,9.0000,6.9360,7.2640,1183
2004-08-31,7.2080,7.6720,6.4800,7.1120,1270
2004-07-30,7.8480,8.8300,7.0000,7.2800,1343
2004-06-30,6.9520,8.9500,6.4880,8.1760,1374
2004-05-31,7.2080,7.3600,6.2400,6.8640,1027
2004-04-30,7.3600,9.3500,6.4960,7.2400,2552
2004-03-31,7.2000,8.0000,6.8160,7.6000,1532
2004-02-27,10.0400,10.1600,6.6400,7.0400,1771
2004-01-30,8.0100,14.4000,6.2400,10.0080,1768
2003-12-31,5.5440,8.0100,5.4400,8.0100,1550
2003-11-28,5.6000,5.7200,5.3200,5.5360,1723
2003-10-31,5.7600,5.9520,5.4480,5.6000,8063
2003-09-30,6.1200,6.3040,5.6160,5.6400,1011
2003-08-29,5.1200,6.4000,4.7600,6.1600,1769
2003-07-31,5.6800,7.6000,4.9120,5.2560,3886
2003-06-30,4.0560,6.8500,4.0560,5.7600,6797
2003-05-30,5.5000,5.5000,3.6400,4.2000,10443
2003-04-30,3.4400,6.1000,3.2400,4.4000,7528
2003-03-31,3.1000,3.6000,2.3600,3.4400,6862
2003-02-28,2.8560,2.8640,2.2800,2.4800,3014
2003-01-31,3.5000,3.5000,2.5200,2.8720,1920
2002-12-31,2.6720,3.5400,2.5200,3.5000,4116
2002-11-29,2.8080,3.2400,2.4880,2.6720,2159
2002-10-31,3.0800,3.2320,2.5200,2.7600,4062
