,open,high,low,close,volume
2019-12-19,36.0800,38.1100,35.6500,37.1800,28688600
2019-11-29,41.0100,43.4800,34.6600,35.9300,45160000
2019-10-31,41.9800,42.0000,35.5800,40.9900,60462800
2019-09-30,46.8500,47.7000,40.3100,42.0200,49298700
2019-08-30,40.3500,47.9900,38.9300,46.9500,68672800
2019-07-31,36.2900,40.8900,35.0500,39.6000,35523000
2019-06-28,35.9900,37.8000,33.9000,36.0000,40084600
2019-05-31,34.4900,36.0000,31.5500,35.6700,43451800
2019-04-30,38.2000,39.1700,32.7400,34.6500,43834500
2019-03-29,39.7500,39.9800,34.3000,37.8600,52208000
2019-02-28,40.7000,42.4700,36.5700,38.9700,52304400
2019-01-31,28.1900,41.0000,28.0000,40.7000,76872300
2018-12-28,28.9900,30.0400,25.5100,28.1700,46110900
2018-11-30,26.6100,29.5700,24.7600,28.3200,54276200
2018-10-31,18.4700,27.2900,17.5700,26.6000,89156000
2018-09-28,18.1600,19.4000,16.9900,18.6200,35184600
2018-08-31,19.2600,19.9900,16.4800,18.1000,38704400
2018-07-31,13.5500,20.5500,13.3400,19.2800,49689500
2018-06-29,17.4200,18.9700,13.3100,13.5500,60779500
2018-05-30,23.1000,24.1900,16.0500,16.7500,43037900
2018-04-30,24.1000,25.7100,20.9400,22.8000,48973600
2018-03-29,28.0000,29.3000,23.9200,24.1000,34587600
2018-02-28,23.7100,30.0700,22.3800,27.9000,57990400
2018-01-31,22.8000,24.4000,19.3300,23.6900,34344600
2017-12-29,21.3000,22.9300,19.6200,22.7000,23542100
2017-11-30,25.1500,25.5500,21.1800,21.3600,43280100
2017-10-31,22.4800,28.3500,22.3000,25.3400,28414100
2017-09-29,20.8000,25.9000,20.4600,22.6900,31511600
2017-08-31,16.6100,24.0800,16.4600,20.5300,62308800
2017-07-31,16.5400,19.9600,16.1900,16.6700,41706200
2017-06-30,17.3200,17.9800,15.4100,16.4100,27891400
2017-05-31,21.5000,22.1900,15.5700,17.2600,44670000
