,open,high,low,close,volume
2019-12-19,18.1200,19.4200,18.0400,19.3300,28291300
2019-11-29,17.5900,18.4000,16.6100,18.0000,53621300
2019-10-31,17.9000,18.1900,16.9000,17.5300,54651000
2019-09-30,18.0000,19.6500,17.6500,17.9100,51187800
2019-08-30,19.3100,19.7000,17.3600,17.9500,64258500
2019-07-31,19.4800,19.7500,18.9500,19.3100,40534300
2019-06-28,18.9500,19.6800,18.3400,19.4100,50945400
2019-05-31,19.6000,19.8200,16.9500,18.9500,61881700
2019-04-30,18.6400,19.7900,18.0900,19.6400,46514300
2019-03-29,19.2100,19.9200,18.2400,18.4500,55788600
2019-02-28,19.5000,20.2900,18.2700,19.0800,61695400
2019-01-31,21.6700,23.0900,19.1600,19.3400,112716900
2018-12-28,22.0500,22.4700,20.2200,21.6800,68368000
2018-11-30,21.1400,22.4000,19.7800,21.8000,57382500
2018-10-31,19.9500,21.2000,17.9500,20.9300,80902000
2018-09-28,19.5900,20.4000,18.8800,19.8300,39712500
2018-08-31,19.1300,20.2000,17.9000,19.6000,70194400
2018-07-31,24.0000,28.0000,18.5500,19.2500,137194400
2018-06-29,22.6700,25.2300,21.8100,24.2600,73449000
2018-05-30,22.1700,23.7200,21.3900,22.4900,66569900
2018-04-30,21.7000,24.4000,20.9100,22.1400,58845600
2018-03-29,21.9000,22.5500,20.0000,21.5500,55236800
2018-02-28,20.2000,23.4000,20.0500,21.7600,79074300
2018-01-31,20.6300,22.2000,19.2200,20.0200,89131500
2017-12-29,15.6200,23.0000,15.3200,20.0000,101814100
2017-11-30,15.7800,16.5800,15.1700,15.6500,51151400
2017-10-31,18.0000,18.2100,15.0500,15.6700,82209500
2017-09-29,17.9200,18.8700,17.5700,17.8900,56763800
2017-08-31,15.8200,18.0000,15.5300,17.9300,55088300
2017-07-31,15.1300,16.3700,15.0900,15.7700,51565100
2017-06-30,16.0800,16.5100,14.8300,15.1300,65710600
2017-05-31,15.0100,16.8700,14.7500,16.0100,83005800
2017-04-28,17.3400,17.4500,14.9200,15.3600,47471600
2017-03-31,18.1200,19.9300,17.2300,17.3900,57804500
2017-02-24,18.0100,18.9400,17.2300,17.9300,37210000
2017-01-31,15.9000,18.8800,15.8400,18.0000,40535900
2016-12-29,16.6200,17.2300,14.8100,16.0000,61235900
2016-11-30,17.3000,18.6000,16.0600,16.5700,90098200
2016-10-31,14.0300,17.1700,13.9000,17.1500,103043600
2016-09-30,14.3900,16.2500,13.9600,14.0100,71009800
2016-08-31,14.9600,15.2000,13.8300,14.3300,67657700
2016-07-29,17.6400,18.6200,14.8000,14.8300,45756100
2016-06-30,18.7200,19.1800,17.1500,17.5000,41096600
2016-05-31,20.5000,20.5400,18.1500,18.8000,47168300
2016-04-29,23.6000,23.8300,19.4200,20.5700,28916900
2016-03-31,30.1900,30.5800,21.4000,23.8500,72663300
2016-02-29,28.3000,30.5800,26.4100,30.2000,28365800
2016-01-29,29.6000,29.9200,26.3900,28.7600,30268100
2015-12-30,30.2600,30.8100,28.2500,30.1900,40470900
2015-11-30,28.3000,30.7600,27.1800,30.4000,36987300
2015-10-30,25.4000,28.9800,24.9300,28.2800,39988400
2015-09-30,22.4100,26.5500,22.3000,25.5000,51735200
2015-08-31,23.6600,25.1500,20.6700,22.9800,41393600
2015-07-31,23.5500,24.6200,21.6800,23.9000,47343000
2015-06-30,23.6900,24.9300,22.9000,23.6600,46666700
2015-05-29,23.5000,25.4300,22.8000,23.8600,50141400
2015-04-30,24.8000,24.8000,22.0600,23.5000,45596900
2015-03-31,24.6600,26.1000,22.1800,24.5500,84375900
2015-02-27,23.5600,26.5400,23.5600,24.9000,43980200
2015-01-30,24.4600,25.5300,21.0500,23.7400,50325300
2014-12-30,22.9600,25.5600,22.1500,24.4400,134581256
2014-11-28,23.7000,24.8200,22.7600,23.6400,43634500
2014-10-31,24.0700,24.4300,20.5500,23.9900,81490300
2014-09-30,21.9400,24.1500,21.3400,24.1500,47530600
2014-08-29,21.5600,22.9500,20.9600,21.7700,36587400
2014-07-31,20.3900,22.4500,20.0500,21.5500,36802800
