,open,high,low,close,volume
2019-12-19,19.8900,20.9400,19.7200,20.8700,43120300
2019-11-29,18.9800,20.0000,18.4900,19.8900,48141700
2019-10-31,19.7000,19.7000,18.0100,18.9700,57300700
2019-09-30,20.0000,20.3600,18.7600,19.6000,34684600
2019-08-30,19.4000,20.7900,19.0100,20.1000,70357200
2019-07-31,19.1800,20.1400,18.5300,19.2900,52381500
2019-06-28,19.8900,21.0800,18.1800,18.9000,57686100
2019-05-31,17.4800,19.8600,16.8500,19.8400,51236200
2019-04-30,17.1800,18.0000,16.3800,17.5100,55608500
2019-03-29,17.5000,18.2000,16.5200,16.9800,55045900
2019-02-28,17.0300,19.3200,16.8300,17.3000,73100000
2019-01-31,14.0000,17.1200,13.9800,16.7900,72886900
2018-12-28,13.9800,14.8500,13.6300,14.7500,51189900
2018-11-30,14.3000,14.3100,13.1400,13.6900,118839000
2018-10-31,12.7100,14.6000,12.5300,14.0000,76905300
2018-09-28,13.3100,13.4700,12.4800,12.7900,50043600
2018-08-31,13.5800,14.2200,13.2000,13.4100,51664400
2018-07-31,13.7400,14.4800,13.2600,13.6500,41656400
2018-06-29,13.3900,14.5500,12.2900,13.8700,69478000
2018-05-30,13.7900,15.6000,12.8300,13.2200,88833800
2018-04-30,13.2200,14.3500,12.9700,13.8900,42127700
2018-03-29,13.4100,14.0000,13.0400,13.3100,33394700
2018-02-28,13.8500,14.0600,12.8200,13.3000,33087900
2018-01-31,14.0000,14.2000,13.3400,13.7100,30748100
2017-12-29,13.7900,14.1200,13.2300,14.0000,34433600
2017-11-30,14.4900,14.9400,13.8000,13.8000,45571200
2017-10-31,15.1000,15.8500,14.3600,14.4000,36973600
2017-09-29,15.2500,16.1500,14.9400,15.1400,30473500
2017-08-31,14.3900,15.2400,14.1500,15.2400,32808400
2017-07-31,14.1600,14.7800,13.9800,14.3700,30824700
2017-06-30,13.4000,14.1900,13.2000,14.1900,37871500
2017-05-31,13.4300,13.8700,12.0700,13.3400,42314200
2017-04-28,14.0200,14.1900,12.9000,13.4200,31776200
2017-03-31,13.8700,14.1400,13.0700,13.9500,41252700
2017-02-24,14.1100,14.3600,13.4000,13.7300,28042000
2017-01-31,13.3700,14.1800,13.0300,14.0500,29130000
2016-12-29,13.9700,14.1500,12.9800,13.4000,34852300
2016-11-30,15.7600,15.8000,13.4700,14.1800,45944600
2016-10-31,14.3500,15.8200,14.2000,15.3500,40311600
2016-09-30,14.2600,14.9800,13.6100,14.3800,38402900
2016-08-31,14.3900,14.7600,13.3800,14.3000,42831000
2016-07-29,13.7600,15.1000,13.4400,14.3800,50606000
