,open,high,low,close,volume
2019-12-19,20.7300,22.7900,20.4800,22.3800,85802400
2019-11-29,20.3300,20.9520,19.8100,20.6400,112685400
2019-10-31,20.1040,20.7860,19.2100,20.3760,138150000
2019-09-30,19.1180,20.9860,18.8280,20.0580,115199500
2019-08-30,19.0140,19.6600,18.2000,19.1540,160173500
2019-07-31,18.3600,19.9280,17.8340,18.9000,126055000
2019-06-28,17.2500,18.5800,17.1060,18.3600,108208000
2019-05-31,16.2500,17.4980,15.6700,17.2300,126131000
2019-04-30,16.1800,16.6600,15.3740,16.4200,141774000
2019-03-29,16.4300,16.6840,15.4200,16.0000,112143000
2019-02-28,17.6420,17.8200,16.2040,16.4260,118435000
2019-01-31,14.9080,17.8000,14.7860,17.6300,160021000
2018-12-28,14.7280,14.9400,13.8140,14.9120,96744500
2018-11-30,13.6280,14.9480,13.4220,14.5280,108182500
2018-10-31,11.4320,13.6340,11.3400,13.5980,147327500
2018-09-28,11.3780,12.3000,11.1280,11.4920,98094500
2018-08-31,12.3000,12.4580,11.2240,11.4000,115359500
2018-07-31,11.3640,12.4460,11.2520,12.2500,103200500
2018-06-29,12.0900,12.5600,11.2500,11.3560,135782500
2018-05-30,14.1440,14.2540,11.8040,12.1580,159954000
2018-04-30,14.3140,14.6600,13.5980,14.2300,86146500
2018-03-29,14.2000,14.7980,13.6000,14.3000,107353500
2018-02-28,14.1180,14.5020,13.4080,14.3200,81267500
2018-01-31,13.1300,14.1500,12.8920,14.0000,93871500
2017-12-29,12.7980,13.4260,12.5100,13.1300,75009000
2017-11-30,12.2600,13.1920,11.8000,12.7900,90127500
2017-10-31,12.2200,12.7540,11.8360,12.2000,146801500
2017-09-29,12.2760,12.9760,12.1000,12.2500,98082500
2017-08-31,11.3540,12.5320,11.2700,12.2240,120428500
2017-07-31,10.8420,11.4520,10.7600,11.3400,107086500
2017-06-30,10.6620,10.8880,10.1980,10.8360,116793000
2017-05-31,11.5040,11.5600,9.8000,10.6800,186878000
2017-04-28,11.7520,11.9700,11.2840,11.4980,95570500
2017-03-31,11.9780,12.3940,10.8000,11.7580,134705000
2017-02-24,11.7340,12.1660,11.2360,11.9040,89155000
2017-01-31,10.8800,11.8300,10.5780,11.6200,101132500
2016-12-29,10.2700,10.9920,9.8060,10.8800,123987000
2016-11-30,11.4020,11.4440,10.1360,10.4980,129100000
2016-10-31,10.0640,11.4480,10.0100,11.3880,126129500
2016-09-30,10.1540,10.6440,9.8780,10.0640,90840500
2016-08-31,11.1120,11.1380,9.9240,10.1140,108014500
2016-07-29,9.7780,11.1800,9.6300,11.1060,147710500
2016-06-30,9.1480,9.9260,9.0860,9.7300,122293500
2016-05-31,8.4680,9.3300,8.3660,9.1200,128469500
2016-04-29,8.0940,8.5580,7.7660,8.5080,61064500
2016-03-31,7.7100,8.3080,7.4640,8.2120,142401500
2016-02-29,7.1920,7.7420,7.0320,7.6580,105201500
2016-01-29,6.7780,7.3260,6.5240,7.2340,128136000
2015-12-30,7.0020,7.3900,6.7600,6.8480,150853500
2015-11-30,6.8820,7.5960,6.8820,7.0200,156621500
2015-10-30,6.8340,7.1500,6.6220,6.8780,136908000
2015-09-30,7.0620,7.2200,6.3120,6.7720,288629500
2015-08-31,6.9860,7.2420,6.4340,7.0700,292595000
2015-07-31,7.0540,7.5240,6.8360,7.0000,121999000
2015-06-30,6.7300,7.1920,6.7140,7.0200,120825000
2015-05-29,6.3800,7.0060,6.3380,6.7580,252166500
2015-04-30,6.2600,6.5600,6.1440,6.3980,109614000
2015-03-31,5.5800,6.3000,5.3480,6.2500,116662000
2015-02-27,5.0280,5.7620,4.9480,5.5440,219658500
2015-01-30,5.5320,5.6560,4.8580,5.0000,124839000
2014-12-30,5.5840,5.6280,5.1300,5.5400,309307960
2014-11-28,5.0720,5.6340,4.9880,5.6300,70803000
2014-10-31,4.9600,5.1200,4.2800,5.0560,115076500
