,open,high,low,close,volume
2019-12-19,28.5000,30.8400,28.1800,30.1500,28470400
2019-11-29,25.4300,28.6500,25.1900,28.5000,33466900
2019-10-31,26.4200,26.4200,23.9100,25.4500,30989100
2019-09-30,23.9900,26.4500,23.1700,26.4200,31363400
2019-08-30,23.3300,24.5900,22.1800,24.0000,45924600
2019-07-31,21.6900,24.1300,21.2800,23.3300,40330600
2019-06-28,19.9000,21.6900,19.6900,21.3500,31606300
2019-05-31,20.7900,20.9800,18.7100,19.8000,45825400
2019-04-30,20.4400,23.2100,20.4400,20.7500,50441900
2019-03-29,20.1400,21.0000,19.1200,20.4000,31837800
2019-02-28,22.3100,22.5300,19.9200,20.0000,49791900
2019-01-31,19.6900,22.8900,19.6500,22.2800,46651300
2018-12-28,22.0000,22.0900,19.2200,19.7800,32845300
2018-11-30,21.0700,22.5800,19.9000,21.6000,35312800
2018-10-31,21.4300,23.6400,20.4800,20.8500,46190100
2018-09-28,25.4500,25.8900,21.3000,21.3000,32540000
2018-08-31,26.9800,28.4800,25.1000,25.7000,29788700
2018-07-31,26.4600,29.1200,25.2800,27.3800,31402800
2018-06-29,24.6500,26.6000,22.4900,26.4500,39708000
2018-05-30,26.0000,27.7700,23.5700,24.5800,46984900
2018-04-30,27.1000,27.7000,25.5200,26.1100,37258500
2018-03-29,27.1300,29.3000,26.2700,27.1400,39430400
2018-02-28,29.9800,30.3500,27.0000,27.1300,32154900
2018-01-31,29.7100,30.1500,26.6700,30.0000,37764600
2017-12-29,26.2900,29.7400,24.7500,29.6100,42367500
2017-11-30,29.0200,29.5000,25.7700,26.2300,39288700
2017-10-31,29.4400,31.4800,27.8100,28.8800,39295600
2017-09-29,31.7000,32.2700,27.9500,29.4700,85624000
2017-08-31,29.9900,32.2000,27.9200,31.7000,18361900
2017-07-31,26.8900,30.2900,25.5500,30.0300,15962000
2017-06-30,28.6450,29.5500,26.3000,26.8000,19757800
2017-05-31,26.0050,29.6800,26.0000,28.3850,28073800
2017-04-28,21.2550,26.6050,20.8600,26.2600,16664600
2017-03-31,21.6600,22.3850,19.6800,21.1500,23503800
2017-02-24,19.1650,22.0000,18.1250,21.6600,27246600
2017-01-31,17.8500,19.7600,17.1400,18.9900,28786800
2016-12-29,19.4950,20.7950,17.2000,17.8250,23250400
2016-11-30,21.0000,21.2000,18.6750,19.5300,20963000
2016-10-31,19.2200,21.4400,19.1050,21.1250,23557200
2016-09-30,19.0800,20.1800,18.3450,19.1750,23151200
2016-08-31,15.7000,19.3300,15.4800,19.1150,27962400
2016-07-29,13.6750,16.0900,12.9150,15.6100,34381800
2016-06-30,12.8750,13.8200,12.8550,13.7500,18420200
2016-05-31,12.3650,13.5250,11.7500,12.9750,25856000
2016-04-29,10.6500,12.4900,10.3050,12.4900,18473800
2016-03-31,8.1700,11.2800,8.0050,10.7750,18540800
2016-02-29,7.2950,8.1500,7.1000,8.1500,6239200
2016-01-29,7.8500,7.8950,7.0000,7.3000,7042200
2015-12-30,8.0900,8.1300,7.3200,8.0000,6178600
2015-11-30,8.1750,8.5350,7.7850,8.1050,6057600
2015-10-30,8.1450,8.4250,7.8350,8.1950,11589600
2015-09-30,8.2950,8.8150,7.7700,8.1250,11033600
2015-08-31,9.0050,9.2400,8.1600,8.3000,10964600
2015-07-31,9.1250,9.3850,8.7300,8.9800,5727400
2015-06-30,8.5700,9.5000,8.5700,9.1550,6318600
2015-05-29,8.3000,9.0300,8.1850,8.6500,4964000
2015-04-30,7.9000,8.5000,7.6700,8.1850,8768800
2015-03-31,6.9750,8.0000,6.5950,8.0000,7170800
2015-02-27,6.9250,7.6900,6.6600,6.9050,4573000
2015-01-30,8.0300,8.0850,6.5000,6.9250,5480800
2014-12-30,7.9900,8.1400,7.6500,8.1400,23179530
2014-11-28,8.0700,8.3000,7.3100,7.9750,6036200
2014-10-31,7.0000,8.2150,6.6750,8.2150,17518800
2014-09-30,7.9300,8.0000,6.8750,7.0750,12918800
2014-08-29,7.4900,8.0000,7.0600,7.9950,16733600
2014-07-31,8.3750,8.5100,7.4350,7.4600,14026000
2014-06-30,8.5750,8.6000,8.1750,8.4000,7965800
2014-05-30,7.4950,8.5600,7.4650,8.5600,19647800
2014-04-30,9.6250,9.6400,7.4350,7.4800,17011600
