,open,high,low,close,volume
2019-12-19,16.7600,18.6800,16.6300,18.3500,173019400
2019-11-29,13.5700,17.5800,13.5200,17.0000,330943900
2019-10-31,13.1100,13.6900,12.3100,13.4300,255780200
2019-09-30,13.0100,13.8200,12.3600,13.1600,272215600
2019-08-30,13.9000,14.0000,11.5400,12.8700,330547300
2019-07-31,15.4000,15.5400,13.6100,13.7500,255531200
2019-06-28,13.9500,15.2700,13.5500,15.2000,163807000
2019-05-31,14.0700,14.8800,13.5800,13.8700,249072800
2019-04-30,15.4000,16.4400,14.1500,14.1500,243251500
2019-03-29,15.2300,16.0900,14.4000,15.1400,237258700
2019-02-28,15.8000,16.1500,15.0000,15.1400,199907900
2019-01-31,14.8000,16.3000,14.5700,15.6500,266693600
2018-12-28,15.9900,16.3800,14.1600,14.8200,215143500
2018-11-30,16.2800,17.4000,14.5600,15.4800,292609900
2018-10-31,17.1300,17.5600,14.8300,16.2600,384719400
2018-09-28,15.9000,17.6500,15.0400,17.1900,167280400
2018-08-31,16.6000,17.5300,15.2000,16.0400,241248700
2018-07-31,13.8300,17.2300,13.6500,16.6800,215391400
2018-06-29,15.1900,16.5500,13.0900,13.9100,259571400
2018-05-30,16.4500,18.5300,14.6300,14.8000,226684800
2018-04-30,15.6400,17.5000,15.1800,16.6500,163512100
2018-03-29,16.9700,17.5900,14.4300,15.5000,263479900
2018-02-28,14.5100,17.3500,13.5200,16.6200,228516900
2018-01-31,12.5500,15.3800,12.5500,14.4000,346242200
2017-12-29,11.0300,12.6000,10.7800,12.3800,152172000
2017-11-30,11.0200,11.2100,9.9500,11.0800,198517100
2017-10-31,11.1100,12.2000,10.4300,10.9500,221599200
2017-09-29,12.1100,13.5400,10.6500,11.0400,248343100
2017-08-31,10.6800,12.1200,10.4800,11.8500,179515300
2017-07-31,10.3000,11.2000,10.2500,10.6600,156612000
2017-06-30,9.6100,10.4700,8.8900,10.2800,197247000
2017-05-31,9.8600,10.4700,8.2500,9.5400,250576800
2017-04-28,10.9700,11.2800,9.1900,9.8000,173675100
2017-03-31,13.3000,13.5500,10.6000,10.8900,252978700
2017-02-24,12.3200,13.7500,11.9700,12.9500,176691500
2017-01-31,10.7000,13.3800,10.5400,12.2000,225849900
2016-12-29,13.9200,13.9800,10.2500,10.8000,248391400
2016-11-30,11.1500,14.6400,10.0300,13.5500,315033100
2016-10-31,8.9600,11.1900,8.8100,11.0200,248276000
2016-09-30,9.1800,9.8600,8.1800,8.8600,282219900
2016-08-31,7.7900,10.4900,7.4000,9.0800,404136800
2016-07-29,5.9300,8.0500,5.8300,7.7500,282816900
2016-06-30,5.5600,6.6000,5.5100,5.8900,267141600
2016-05-31,7.9600,7.9700,5.5300,5.5700,330162800
2016-04-29,7.0400,8.6500,6.1400,7.8100,187106200
2016-03-31,3.6200,6.9700,3.5700,6.5400,438016200
2016-02-29,3.6500,4.5000,3.4100,3.5300,261322200
2016-01-29,4.6000,4.6700,3.2300,3.6000,160795600
2015-12-30,6.1600,6.2400,4.6000,4.6500,159057300
2015-11-30,5.5200,6.4500,4.8000,6.1000,232326700
2015-10-30,5.5400,6.8800,5.3000,5.4300,173440900
2015-09-30,5.0400,6.9300,5.0200,5.4700,219746700
2015-08-31,5.8500,6.4400,4.4400,5.2500,179017000
2015-07-31,7.5300,7.5600,5.5600,5.8900,221769500
2015-06-30,8.7100,9.1400,7.4100,7.4900,153213000
2015-05-29,10.1800,10.8500,8.6000,8.6100,144421200
2015-04-30,10.1800,10.8400,9.1600,10.0200,138474200
2015-03-31,10.0900,11.4400,9.7700,10.1000,210885100
2015-02-27,9.2000,10.5300,9.1400,10.1400,110941200
