,open,high,low,close,volume
2019-12-19,56.7000,67.3800,55.6500,66.5800,74657400
2019-11-29,60.5900,63.1200,55.8900,56.6900,57282600
2019-10-31,54.2500,62.9800,52.5200,60.0000,66458400
2019-09-30,55.4100,58.4600,51.7600,54.2500,68634400
2019-08-30,43.7000,56.0800,42.4200,56.0800,93358400
2019-07-31,40.3800,44.3300,38.6300,43.7000,59687700
2019-06-28,41.6900,43.0000,39.2500,40.3200,72229000
2019-05-31,35.1200,43.0200,32.7000,41.0000,100309800
2019-04-30,33.0500,36.5800,31.6100,35.1200,40561200
2019-03-29,33.0200,35.8300,31.5000,32.8000,55309500
2019-02-28,33.5800,34.9500,31.6100,33.2200,18189900
2019-01-31,29.0800,35.6500,28.3000,33.5800,66824800
2018-12-28,27.9400,30.4400,26.1500,29.0800,52772300
2018-11-30,24.4155,28.2748,24.0956,27.9000,18212800
2018-10-31,26.5351,27.0550,22.6558,24.1256,20577666
2018-09-28,25.1054,27.9949,24.0056,26.3652,15538443
2018-08-31,24.5555,25.9153,22.8958,25.4953,19389448
2018-07-31,21.3461,25.7553,21.0562,24.4955,15745082
2018-06-29,21.6560,25.5753,20.5462,21.5961,30887853
2018-05-30,20.1063,22.9858,19.8564,21.4961,27382811
