,open,high,low,close,volume
2019-12-19,7.6000,8.6600,7.5600,8.6200,176467400
2019-11-29,6.3400,8.1000,6.3200,7.8000,241738800
2019-10-31,6.2300,6.4400,5.8200,6.2900,274326800
2019-09-30,6.2800,6.6200,6.0600,6.2500,210868100
2019-08-30,6.6800,6.7800,5.6900,6.2500,254232400
2019-07-31,7.3200,7.4000,6.5600,6.6500,228136900
2019-06-28,6.5300,7.2400,6.2900,7.2400,154370900
2019-05-31,6.7800,7.0000,6.3400,6.4800,175223600
2019-04-30,7.2200,7.7000,6.8000,6.8000,194222000
2019-03-29,7.2400,7.7300,6.7600,7.1100,174793100
2019-02-28,7.4900,7.5500,7.0200,7.1800,184253800
2019-01-31,6.9300,7.7800,6.8500,7.4500,247363400
2018-12-28,7.5400,7.7000,6.6800,6.9400,221289600
2018-11-30,7.9100,8.6600,6.7700,7.3200,290650166
2018-10-31,8.0000,8.2700,7.2600,7.9400,271888200
2018-09-28,7.8000,8.1900,7.2800,7.9800,179743600
2018-08-31,7.6200,8.3600,7.2200,7.8600,268785100
2018-07-31,6.1800,8.0900,6.1200,7.6900,242375100
2018-06-29,6.9300,7.4600,5.8800,6.1800,299876200
2018-05-30,7.8400,8.2800,6.5800,6.8100,251166400
2018-04-30,7.1800,8.3100,6.9300,7.8200,214562700
2018-03-29,7.9900,8.1700,6.6200,7.1400,363151900
2018-02-28,6.9400,8.4300,6.4200,7.8800,333523800
2018-01-31,5.8300,7.1700,5.8300,6.8800,457431500
2017-12-29,5.0200,5.9000,4.9700,5.7900,278873800
2017-11-30,5.2000,5.2400,4.5600,5.0700,293450400
2017-10-31,5.3400,5.9300,5.0600,5.1100,346446900
2017-09-29,5.8100,6.5000,5.0500,5.2900,383846000
2017-08-31,5.2600,5.8500,5.1300,5.6600,296271100
2017-07-31,5.0300,5.5800,5.0100,5.2600,247555100
2017-06-30,4.5000,5.1100,4.2500,4.9700,231073000
2017-05-31,4.6600,4.9300,3.8500,4.4600,424461000
2017-04-28,4.9800,5.0200,4.0400,4.6000,263951500
2017-03-31,6.0000,6.7200,4.8400,4.9500,405958300
2017-02-24,5.7300,6.1400,5.3800,5.8600,288691700
2017-01-31,4.7700,6.0800,4.6800,5.6200,384715400
2016-12-29,5.9700,6.0000,4.4300,4.8000,403018900
2016-11-30,4.8300,6.3300,4.2800,5.8400,592369000
2016-10-31,3.4600,4.9100,3.4100,4.7500,487969300
2016-09-30,3.7400,4.2700,3.3800,3.4300,613506900
2016-08-31,2.7600,4.0800,2.6300,3.7100,820645100
2016-07-29,2.0100,2.8100,1.9800,2.7200,435720700
2016-06-30,1.9100,2.3300,1.9000,2.0000,311902500
2016-05-31,2.9300,2.9500,1.8600,1.9300,412827100
2016-04-29,2.5100,3.1400,2.2200,2.9100,264074100
2016-03-31,1.2400,2.4900,1.2200,2.4400,604049900
2016-02-29,1.0400,1.5400,1.0100,1.2100,360199800
2016-01-29,1.6000,1.6300,0.9400,1.0300,255702300
2015-12-30,1.9900,2.0400,1.3600,1.6600,231259200
2015-11-30,2.6600,2.9800,1.8200,1.9800,347285000
2015-10-30,2.8800,3.6100,2.4700,2.6000,103709400
2015-09-30,2.9200,4.0500,2.8700,2.9200,123974200
2015-08-31,3.4900,4.3600,2.4100,3.0100,127810600
2015-07-31,6.3800,6.3900,3.3300,3.5400,139791200
2015-06-30,7.9000,8.4000,6.2700,6.3300,66304800
2015-05-29,9.9800,10.5900,7.7500,7.8000,98511000
2015-04-30,10.8600,11.0600,9.4600,9.8000,31917300
2015-03-31,11.0400,12.4000,10.4500,10.7500,34834200
2015-02-27,9.9100,11.3900,9.7900,11.1500,23612300
2015-01-30,11.2200,12.3800,9.0800,9.8600,35675800
2014-12-30,12.5100,12.5100,9.3200,11.1500,64666167
2014-11-28,13.4300,14.1400,12.1700,12.9000,22289200
2014-10-31,13.9800,15.2400,12.7800,13.4000,39974700
2014-09-30,15.9700,16.8200,13.9600,14.1500,27248500
2014-08-29,16.0800,16.4900,14.9600,15.9200,21688300
2014-07-31,15.6600,17.5800,15.5200,16.1400,19732700
2014-06-30,16.3200,17.2500,15.3400,15.6300,19606500
2014-05-30,16.1600,17.8900,16.1600,16.3100,21477000
2014-04-30,17.4800,17.6500,15.7400,16.1700,24578700
2014-03-31,17.9300,18.0900,16.3200,17.4100,28928800
2014-02-28,21.3400,21.4000,17.8000,17.9100,23648200
2014-01-31,23.5800,23.5800,20.6500,21.4200,20232500
2013-12-30,22.4500,24.1500,22.0500,23.4000,20091900
2013-11-29,22.7300,24.0000,21.9100,22.7000,23940800
2013-10-31,21.2000,23.0600,20.7700,22.9200,20103800
2013-09-30,21.4900,22.2200,20.6600,21.1600,28674000
2013-08-30,18.4700,21.7200,18.2800,21.1700,40856900
2013-07-31,15.9800,18.6800,15.7000,18.2300,23196900
2013-06-28,16.6800,17.1500,14.8200,15.9900,24736200
2013-05-31,19.8700,20.0900,16.3300,16.4400,18107300
2013-04-30,19.3200,20.1700,17.7800,20.1700,17594200
2013-03-27,20.5400,20.9000,18.4000,19.3700,20584200
2013-02-28,22.4700,22.4700,19.7000,20.9500,21059700
