,open,high,low,close,volume
2019-12-19,34.0000,38.2000,33.5000,36.1800,107745400
2019-11-29,37.2200,37.4400,32.2000,34.0600,63226100
2019-10-31,32.3300,38.8900,30.6200,36.6000,104100400
2019-09-30,33.0000,36.8300,31.5600,32.3000,118800600
2019-08-30,41.2500,44.6200,32.0100,33.2000,88739100
2019-07-31,32.9100,42.5300,31.5200,40.9700,110161700
2019-06-28,27.1100,33.0400,27.1100,32.6000,73064700
2019-05-31,22.4600,27.5100,20.0900,26.9800,103797200
2019-04-30,26.4300,26.7100,21.8100,22.7800,66577800
2019-03-29,26.9600,31.7000,24.4400,25.9000,69907500
2019-02-28,24.5900,28.9800,24.4300,26.6600,62159300
2019-01-31,25.0800,25.8600,22.5100,24.7200,68561100
2018-12-28,21.9000,26.1300,18.3000,25.1000,107251400
2018-11-30,18.0100,22.6500,18.0100,21.6000,117300300
2018-10-31,11.1600,18.8900,10.5700,18.4000,211342900
2018-09-28,11.0400,11.6000,9.1800,11.0500,119799500
2018-08-31,13.7500,14.8800,10.2700,11.2100,113551500
2018-07-31,10.3000,15.0000,10.0000,13.8100,82014700
2018-06-29,13.6700,14.3600,9.9000,10.4200,64982100
2018-05-30,19.2000,19.2900,13.1800,13.4900,71376400
2018-04-30,21.4700,24.8000,19.0000,19.4200,51693500
2018-03-29,19.1700,22.2200,18.1300,21.6500,34843600
2018-02-28,18.1000,20.0500,15.9000,19.2000,29090400
2018-01-31,14.6600,18.6800,14.3000,18.1100,38124500
2017-12-29,13.8900,14.8400,13.3600,14.6000,28433200
2017-11-30,14.0300,15.1600,12.1700,14.0400,42867000
2017-10-31,13.4900,15.8600,13.2700,13.8500,46284900
2017-09-29,11.3400,14.8000,11.1100,13.3500,48898100
2017-08-31,9.0600,11.3300,8.9300,11.3300,79079200
2017-07-31,7.5600,9.8600,7.2700,8.9500,70387500
2017-06-30,7.8400,8.3900,7.3400,7.5500,41920600
2017-05-31,10.0900,11.4200,6.9400,7.8000,78010300
2017-04-28,8.3600,10.4700,8.3400,10.0400,43688300
2017-03-31,8.8500,9.5600,7.4800,8.3400,65975600
2017-02-24,6.3300,10.2400,5.9200,8.4800,100600700
2017-01-31,4.5500,6.4700,4.4600,6.2600,60455700
2016-12-29,5.4100,5.4100,3.8200,4.6200,44208600
2016-11-30,8.0000,8.0700,5.0500,5.4200,77342200
2016-10-31,6.2700,8.4500,6.2600,7.8600,67164300
2016-09-30,6.3400,7.7400,5.8300,6.2400,58579700
2016-08-31,5.2000,7.0700,4.9100,6.3300,72954100
2016-07-29,3.4400,6.0000,3.1300,5.1300,116621300
2016-06-30,2.2600,3.8700,2.2600,3.4500,139999500
2016-05-31,2.4300,3.3300,2.2400,2.2700,98227600
2016-04-29,2.7700,2.8300,2.1900,2.4400,22289100
2016-03-31,2.3700,4.4300,2.1800,2.7700,102992300
2016-02-29,1.8000,2.9500,1.7800,2.3100,98093800
2016-01-29,2.4200,2.5600,1.1300,1.5300,45289200
2015-12-30,3.4200,3.7000,2.3300,2.5200,24998500
2015-11-30,3.6600,3.8500,3.3400,3.4100,18406800
2015-10-30,3.7000,4.4600,3.4500,3.5500,31220800
2015-09-30,4.1000,4.8900,3.4200,3.6700,39329200
2015-08-31,5.6500,5.9400,3.8100,4.1600,30179500
2015-07-31,7.4300,7.4900,5.5200,5.6800,40696700
2015-06-30,7.8200,8.0400,7.3300,7.3700,21680500
2015-05-29,7.6800,8.4000,7.5500,7.7900,25224900
2015-04-30,7.9000,8.6200,7.3300,7.6000,27006900
2015-03-31,9.9600,10.2500,7.8200,7.8200,35668700
2015-02-27,12.2000,12.2000,9.9800,10.0500,31276500
2015-01-30,14.9700,15.3300,12.0800,12.2200,37589200
2014-12-30,14.9000,15.4200,12.1500,15.1800,82466479
2014-11-28,12.8000,15.1700,11.8500,14.9900,22734700
2014-10-31,11.4000,13.4700,10.5900,12.8200,39393400
2014-09-30,13.9000,15.6700,11.2100,11.7000,25256600
2014-08-29,13.8700,14.3800,12.8700,13.8800,18493800
2014-07-31,12.0700,15.1700,11.6200,13.7300,26181000
2014-06-30,13.2200,13.3600,11.9200,12.0200,16919000
