,open,high,low,close,volume
2019-12-19,33.2000,35.8900,31.9300,35.7900,31380600
2019-11-29,34.9500,36.0800,32.8600,33.3000,33367900
2019-10-31,33.6900,35.2400,31.8800,34.3200,32385600
2019-09-30,32.2900,34.1000,32.0400,33.5300,26548400
2019-08-30,30.2700,32.7800,29.8300,32.1700,38954800
2019-07-31,30.1100,32.2700,28.2000,30.1800,38648700
2019-06-28,30.1600,30.7900,27.3500,29.9900,37661500
2019-05-31,27.8100,31.1500,27.6500,30.2200,59772900
2019-04-30,26.2000,28.4800,24.5600,28.0800,58599700
2019-03-29,27.0500,28.5000,24.7500,25.9000,54182700
2019-02-28,31.7200,32.3400,26.5700,26.9000,54366900
2019-01-31,30.2900,33.9300,30.2000,31.8500,37264400
2018-12-28,32.1000,32.7700,29.6100,30.2000,36872500
2018-11-30,29.7900,32.9000,28.9800,32.1000,31832900
2018-10-31,28.5500,32.0000,27.9500,29.7800,42703100
2018-09-28,27.2000,29.3700,26.4200,28.5200,31661100
2018-08-31,27.6000,29.7800,26.7300,27.4000,33843800
2018-07-31,27.3600,29.8500,26.9000,27.7500,35143200
2018-06-29,28.0300,29.4300,25.3100,27.6100,47994200
2018-05-30,31.3100,31.5600,26.5300,28.2000,60404400
2018-04-30,35.8800,37.0200,31.0200,31.5000,65208000
2018-03-29,34.3300,38.0700,34.2100,36.1600,36764800
2018-02-28,36.5000,37.6500,34.4500,34.5200,27282200
2018-01-31,35.5000,37.0700,35.3300,36.3400,34715100
2017-12-29,32.8100,36.8400,32.3900,36.0000,26982200
2017-11-30,34.2900,35.1400,31.6800,32.8500,44720900
2017-10-31,32.3400,35.2100,32.0700,34.2000,46910500
2017-09-29,29.6800,33.9500,29.3200,32.2000,51033400
2017-08-31,27.9600,30.1800,27.8900,29.5100,47016800
2017-07-31,27.9800,29.5400,27.0000,27.9900,38448500
2017-06-30,29.5300,29.9700,27.5600,27.8000,38839200
2017-05-31,30.3000,31.6400,25.9500,29.5000,65471100
2017-04-28,29.0500,31.3800,28.5400,30.0600,64456000
2017-03-31,27.0900,29.4700,26.3800,29.0000,77270600
2017-02-24,28.3400,29.2500,26.4500,27.0900,47985600
2017-01-31,26.0500,28.5500,25.6700,27.9500,58442400
2016-12-29,25.3300,26.3000,23.9700,26.1300,54026800
2016-11-30,27.0000,27.1100,23.7100,25.9700,70382700
2016-10-31,28.1500,29.2600,26.1000,26.7600,60129800
2016-09-30,26.0700,28.5200,25.7300,27.8700,46179300
2016-08-31,27.2400,28.2100,25.6900,26.1000,45212200
2016-07-29,23.7000,27.7300,23.4200,27.4500,84969900
2016-06-30,28.3700,29.6000,22.2500,23.3400,95587300
2016-05-31,30.3500,32.1100,28.1200,28.5000,38937500
2016-04-29,28.3100,30.6700,27.7300,30.3400,25603400
2016-03-31,25.4800,28.9100,25.2400,28.2300,69209700
2016-02-29,23.0000,25.6200,22.8000,25.2000,49470800
