,open,high,low,close,volume
2019-12-19,47.8000,51.2000,47.8000,50.9600,16683500
2019-11-29,48.8000,49.2000,45.0700,47.4600,22412100
2019-10-31,47.5300,48.0800,45.4000,47.9000,27284600
2019-09-30,46.3300,48.5500,43.3600,47.5300,25672800
2019-08-30,48.1400,49.5900,43.9600,46.0000,37079400
2019-07-31,46.2000,50.2500,45.0000,48.0900,38353900
2019-06-28,40.4800,46.2900,39.9400,45.9500,29915500
2019-05-31,38.1400,40.7600,35.2500,40.0000,23991700
2019-04-30,38.8800,39.6600,36.0700,38.1800,21053700
2019-03-29,41.9300,42.4600,37.1600,38.9200,23696100
2019-02-28,44.4000,45.3000,41.7400,42.0000,26232400
2019-01-31,41.5500,44.7300,39.2000,44.5500,41868400
2018-12-28,39.3600,41.8200,37.2900,41.6000,27835300
2018-11-30,38.8600,40.0000,35.7900,39.1300,25100500
2018-10-31,31.1500,40.0200,30.0600,38.8600,30968400
2018-09-28,30.5900,31.1900,28.5700,31.0500,19733000
2018-08-31,33.4100,35.0500,30.1500,30.6400,20854300
2018-07-31,30.9200,34.3600,30.1400,33.6600,19215200
2018-06-29,31.4300,33.5500,28.7200,30.8400,29447500
2018-05-30,35.4000,35.4800,30.5300,31.4200,27137600
2018-04-30,39.0600,39.5700,34.2200,35.7000,31460100
2018-03-29,39.3100,40.5600,38.3800,39.2600,20692400
2018-02-28,42.9900,43.3000,38.4900,39.4900,28231200
2018-01-31,39.4900,43.7700,39.4700,43.0000,28507300
2017-12-29,38.3600,39.3900,36.8600,39.3900,18306900
2017-11-30,38.4700,39.1600,36.5500,38.3700,17541900
2017-10-31,39.2800,42.4400,38.3000,38.4800,18070900
2017-09-29,37.8200,40.7300,36.4500,39.2600,20429400
2017-08-31,36.9700,37.9500,35.8000,37.4000,22549200
2017-07-31,33.2400,37.0000,32.2400,36.7000,24618700
2017-06-30,32.0500,33.3200,31.3500,32.9200,17619100
2017-05-31,33.1700,36.1600,29.5700,31.8000,26234700
2017-04-28,32.9500,34.1000,32.1800,33.1700,18056200
2017-03-31,31.1700,33.6700,30.3200,32.8000,44099800
2017-02-24,30.1200,32.6900,29.5900,31.1000,14907300
2017-01-31,26.4300,30.4200,26.2500,29.8000,19822800
2016-12-29,27.3000,27.5800,25.3600,26.6700,10571300
2016-11-30,30.0900,30.1000,25.8100,27.3000,14209300
2016-10-31,29.7000,31.1900,29.2500,30.1500,13271500
2016-09-30,28.7000,30.5000,28.4000,29.7000,9747300
2016-08-31,30.5900,31.1800,28.5300,28.7000,13079500
2016-07-29,28.0100,30.6500,27.5200,30.5400,11413900
2016-06-30,25.8000,28.4600,25.5000,28.1700,9488700
2016-05-31,26.6100,28.4300,25.3200,25.9000,10627000
2016-04-29,24.2100,26.7600,23.5000,26.7000,9557300
2016-03-31,21.8800,26.1600,21.8100,25.2200,18544700
2016-02-29,20.3200,22.1400,19.9300,21.9000,11216000
2016-01-29,18.7900,20.7700,18.1500,20.1800,7396600
2015-12-30,21.8400,22.9100,18.9000,18.9100,9286900
2015-11-30,21.3300,23.2900,21.0000,21.6500,9354000
2015-10-30,20.6900,22.3900,20.1000,21.3200,8567600
