,open,high,low,close,volume
2019-12-19,37.2300,38.4500,36.3600,38.1900,49886100
2019-11-29,38.0000,39.3100,34.6000,37.1300,107363600
2019-10-31,38.0000,39.5700,34.8500,37.7900,97513300
2019-09-30,35.6667,38.1267,33.7233,37.6600,109873600
2019-08-30,32.0000,36.1667,29.7200,36.1667,186291600
2019-07-31,33.2333,33.9633,29.2633,31.6667,227127900
2019-06-28,34.0000,34.0167,31.0367,32.8333,84800400
2019-05-31,31.2233,35.2933,31.2233,33.9600,100382100
2019-04-30,30.4333,32.9000,30.0833,31.3000,71622900
2019-03-29,29.6967,30.6000,27.9367,30.4167,87575400
2019-02-28,28.6333,31.8233,28.0033,29.6667,89707200
2019-01-31,27.8133,30.2367,26.1000,28.4200,77283000
2018-12-28,25.0400,27.9200,24.3367,27.8200,52280400
2018-11-30,23.0000,25.6133,21.4667,24.9500,51413400
2018-10-31,22.3333,24.3500,19.9600,24.1533,73738500
2018-09-28,19.8000,22.2300,19.5733,22.1500,32436000
2018-08-31,17.7333,20.2300,17.6033,19.8133,44412000
2018-07-31,16.0000,18.5200,15.5300,17.8000,43942800
2018-06-29,16.3000,17.5333,15.5700,16.1167,86652000
2018-05-30,15.7667,17.3333,15.3833,16.0733,142560000
2018-04-30,14.0367,16.2667,13.6700,15.7667,61358100
2018-03-29,12.9000,14.5333,12.7800,13.9533,72478500
2018-02-28,12.6667,13.2567,12.4933,12.9000,53214900
2018-01-31,11.1500,13.0633,11.1500,12.5167,68223900
2017-12-29,11.4300,11.5833,10.6933,11.3333,46376100
2017-11-30,11.1667,11.4633,11.0200,11.4500,52931700
2017-10-31,10.1200,11.2033,9.9333,10.9367,52468500
2017-09-29,10.0033,10.7000,9.8733,10.0833,48018000
2017-08-31,9.8600,10.2567,9.1033,10.0000,95926500
