,open,high,low,close,volume
2019-12-19,13.3100,13.9700,13.2600,13.8700,258619200
2019-11-29,13.7500,14.2500,13.0000,13.2700,334994100
2019-10-31,13.2000,13.9900,12.1100,13.7100,391134100
2019-09-30,12.2700,13.4400,11.9000,13.1800,422719300
2019-08-30,12.5600,13.1600,11.6700,12.2900,533774500
2019-07-31,13.0000,13.4900,12.4300,12.4700,358912200
2019-06-28,12.4200,13.0700,11.8300,12.8900,498662200
2019-05-31,11.8600,12.4500,11.0200,12.3900,479823200
2019-04-30,12.1000,12.1500,11.3100,11.9100,371836700
2019-03-29,12.4000,13.0400,11.3600,11.9800,438679000
2019-02-28,13.5000,13.8000,12.3300,12.3700,717154000
2019-01-31,12.1100,13.7100,12.0800,13.5000,601458600
2018-12-28,12.5300,12.6000,11.4700,12.0800,397231300
2018-11-30,11.2800,12.6300,11.2000,12.3400,372201200
2018-10-31,10.1100,11.4800,9.9200,11.2400,653388100
2018-09-28,9.4900,10.1000,9.2300,10.1000,395626300
2018-08-31,10.4500,11.0500,9.3400,9.5900,476037400
2018-07-31,9.1600,11.0500,9.1300,10.4200,347545200
2018-06-29,10.5000,10.6800,8.5100,9.1800,578588000
2018-05-30,12.2909,12.2909,10.0636,10.2091,525804620
2018-04-30,12.5455,12.6909,11.7182,12.3727,257677200
2018-03-29,11.9727,12.7182,11.9000,12.5364,302971900
2018-02-28,12.0455,13.1182,11.3000,11.9273,427770310
2018-01-31,9.8818,12.2909,9.8636,12.0455,374224180
2017-12-29,9.3546,9.9727,9.3182,9.8364,313385710
2017-11-30,9.6727,9.9273,9.3273,9.4364,334476560
2017-10-31,10.0091,10.5182,9.5273,9.5273,346172420
2017-09-29,9.3455,10.3000,9.3091,10.0273,423465020
2017-08-31,8.5091,9.4727,8.5091,9.2727,438870850
2017-07-31,8.2182,8.4818,8.1091,8.4091,336133600
2017-06-30,8.1727,8.2636,7.8727,8.2000,292418940
