,open,high,low,close,volume
2019-12-19,34.9200,37.0700,34.8400,36.5400,350079700
2019-11-29,36.6600,37.9900,34.0200,34.8000,361495700
2019-10-31,35.2200,37.5300,32.5600,36.2300,453727600
2019-09-30,33.9000,36.4100,32.7700,35.0300,403975600
2019-08-30,35.2100,37.3500,32.6900,33.9400,464318400
2019-07-31,36.7700,37.7500,34.7000,34.8200,448214500
2019-06-28,35.2000,36.5900,33.4800,36.2600,399986900
2019-05-31,33.6700,35.4000,31.1100,35.0000,432598100
2019-04-30,34.7000,34.8000,32.0000,33.8300,357085500
2019-03-29,35.4900,37.6700,32.6500,34.4300,390750500
2019-02-28,38.6000,39.7900,35.1700,35.2300,495250000
2019-01-31,35.4400,39.3900,35.3500,38.7800,443651900
2018-12-28,36.8000,36.8000,33.2600,35.5000,338314600
2018-11-30,33.0000,36.8300,32.5533,36.0200,377879550
2018-10-31,29.5000,34.7333,28.8267,32.8333,593383950
2018-09-28,27.8933,29.6733,27.2067,29.4200,327012450
2018-08-31,29.9867,31.4400,27.4600,28.1800,417759900
2018-07-31,26.6000,31.5333,26.4733,30.0000,375274200
2018-06-29,29.0067,29.9933,24.8400,26.8933,514942500
2018-05-30,33.4467,33.5333,28.3133,28.6533,511728000
2018-04-30,34.1600,34.8467,33.0067,34.0067,285999600
2018-03-29,33.7333,35.2933,32.9733,34.2067,346197600
2018-02-28,34.5600,35.5600,33.0333,33.5867,500325000
2018-01-31,28.5333,35.4133,28.5333,34.8400,405789300
2017-12-29,27.3867,28.7333,27.1133,28.3867,364500600
2017-11-30,28.3000,29.2000,27.2600,27.5133,273333900
2017-10-31,28.7667,30.5267,27.8800,28.0333,269097000
2017-09-29,27.1000,29.3933,27.0000,28.9000,290554050
2017-08-31,25.3467,27.5800,25.2667,26.9000,319268850
2017-07-31,24.6200,25.1533,23.9667,24.8800,280353600
2017-06-30,23.7867,24.6467,23.3067,24.5000,317157000
2017-05-31,26.4000,26.9600,21.1333,23.7000,552679350
2017-04-28,25.3267,26.3400,24.7467,26.1733,300802050
