,open,high,low,close,volume
2019-12-19,28.8900,28.8900,24.5900,26.3200,181074900
2019-11-29,28.2900,29.4000,24.7300,28.4800,273914200
2019-10-31,33.0000,33.4400,28.2000,28.2900,267365500
2019-09-30,29.9900,34.2500,27.9800,32.7900,251164400
2019-08-30,25.1000,30.6400,25.0100,29.6400,268861600
2019-07-31,22.0000,26.4900,21.8500,24.9000,189592000
2019-06-28,21.9200,22.8100,20.4000,21.2200,224387300
2019-05-31,19.5000,24.7800,19.2100,21.8600,339591300
2019-04-30,16.1100,20.4900,15.4000,19.7700,271870500
2019-03-29,13.4700,16.2100,12.8000,15.9200,180366900
2019-02-28,15.0600,15.4200,13.4300,13.4300,172064000
2019-01-31,11.5800,15.7800,11.3800,15.0900,128200000
2018-12-28,12.0000,12.3900,11.1700,11.5900,114474000
2018-11-30,10.2900,12.0800,9.6600,11.7700,143100900
2018-10-31,9.3500,10.4800,8.1700,10.2500,374444800
2018-09-28,9.2800,9.7700,9.0200,9.3800,108332700
2018-08-31,9.0500,9.6500,8.2400,9.4000,223660600
2018-07-31,9.1500,10.0900,8.7900,9.0200,141637000
2018-06-29,8.9000,9.5800,7.9100,9.3000,217787600
2018-05-30,8.7000,9.8000,8.0500,8.9300,182652200
2018-04-30,9.3500,9.5500,8.6200,8.7500,149309400
2018-03-29,9.9000,10.5400,8.7600,9.3500,130453300
2018-02-28,10.1300,10.7200,9.1500,9.9100,134217100
2018-01-31,9.8400,10.4200,9.4300,10.0500,189717500
2017-12-29,7.8400,9.9000,7.8000,9.8100,202021200
2017-11-30,7.6300,8.4900,6.9100,7.9100,218304300
2017-10-31,8.5000,9.0000,7.3800,7.5400,151550500
2017-09-29,8.7500,8.9500,7.5300,8.5000,261990600
2017-08-31,7.9500,9.3800,7.6000,8.6700,250986800
2017-07-31,6.5700,7.9700,6.2500,7.7000,273002100
2017-06-30,8.1300,8.6400,5.8800,6.5300,465477600
2017-05-31,10.3100,11.4800,5.2500,8.0700,545866800
2017-04-28,10.2000,10.6100,9.3600,10.2700,205540300
2017-03-31,11.7300,12.1400,9.6400,10.2100,193642300
2017-02-24,11.9600,12.5700,11.2900,11.7000,118412800
2017-01-31,11.3500,12.2900,11.1800,11.9000,174164800
2016-12-29,9.7000,11.7000,8.6500,11.4000,196095600
2016-11-30,9.8100,10.4300,8.9000,9.7600,245737300
2016-10-31,11.8300,12.9500,9.3100,9.7100,243858500
2016-09-30,12.4500,12.6400,10.2700,11.8200,187491300
2016-08-31,11.0400,12.8000,10.6100,12.5000,178399700
2016-07-29,9.2500,10.9200,9.2100,10.9000,140134100
2016-06-30,9.9600,10.7900,9.0500,10.0000,172078800
2016-05-31,8.8800,12.9000,8.2000,10.0000,243221700
2016-04-29,10.7700,10.7700,8.7500,9.0400,77383600
2016-03-31,11.6500,12.8500,10.4100,10.8900,153480800
2016-02-29,10.6700,12.2000,9.6100,11.4000,176627500
2016-01-29,12.0600,12.2200,8.1600,10.8000,254547200
2015-12-30,12.7000,12.9800,11.5300,12.3500,156871200
2015-11-30,14.1700,14.6000,12.3500,12.4200,191820800
2015-10-30,16.8600,17.2600,13.9500,14.2500,269732600
2015-09-30,13.8000,17.5600,13.6600,16.8000,231697200
2015-08-31,15.2700,15.9000,13.1900,14.1500,124638800
2015-07-31,16.4000,16.4000,14.0600,15.4100,144872500
2015-06-30,15.5500,16.9400,15.3000,16.3600,158885500
2015-05-29,15.6400,17.2300,15.2600,15.6500,115815200
2015-04-30,14.2200,16.6500,14.1000,15.5000,110735900
2015-03-31,12.3200,14.3600,12.1800,14.1900,170945200
2015-02-27,11.3900,12.7500,10.9200,12.4000,78309900
2015-01-30,11.0900,11.8000,9.9900,11.3400,126376600
2014-12-30,11.4600,12.3900,10.0300,11.1500,274073942
2014-11-28,11.0200,12.4200,10.4000,11.9100,133988500
2014-10-31,9.0400,11.1800,8.7600,11.0500,183880900
2014-09-30,10.2400,10.3600,9.0000,9.1500,117438000
2014-08-29,8.5000,10.5700,8.3400,10.1100,150013100
2014-07-31,7.6500,8.9000,7.4300,8.3500,118949500
2014-06-30,7.5200,8.1000,7.3400,7.6000,87806700
2014-05-30,7.7000,8.1100,7.4100,7.5000,79063700
2014-04-30,7.8400,8.2900,7.5100,7.7100,85561100
2014-03-31,7.5500,8.0500,7.1100,7.7600,85944600
2014-02-28,8.4100,8.4600,7.1000,7.5000,74804200
2014-01-31,8.7100,9.0800,8.0300,8.4500,96972100
2013-12-30,8.3500,8.9900,7.6500,8.7700,82761900
2013-11-29,8.1000,8.4900,8.0000,8.4000,77581000
2013-10-31,7.8100,8.6500,7.4200,8.0300,89252600
2013-09-30,7.4500,8.0500,7.1800,7.7500,108700600
2013-08-30,6.5000,7.7700,6.5000,7.3600,118994500
2013-07-31,6.1700,6.9700,6.0200,6.3700,78420400
2013-06-28,7.0500,7.2400,5.6600,6.4800,116132200
2013-05-31,6.2200,7.2700,6.0500,7.1000,141997100
2013-04-30,6.7400,6.8500,5.8400,6.3800,97606700
2013-03-28,6.8000,7.4300,6.4900,6.8000,95396100
2013-02-28,7.6000,7.7000,6.6500,6.8600,104582900
2013-01-31,6.0900,7.8500,6.0300,7.6300,82476000
2012-12-28,5.4800,6.0800,5.1600,6.0000,80653300
2012-11-30,6.5700,6.9200,5.3900,5.4100,54426100
2012-10-31,6.7600,6.9900,6.3400,6.5700,64770900
2012-09-28,5.8400,6.8400,5.5600,6.7200,78750300
2012-08-31,5.4000,6.3200,5.1000,5.8400,90280700
2012-07-31,6.0000,6.4500,4.9100,5.3600,55685200
2012-06-29,5.5000,6.4800,5.3700,6.0300,65260700
2012-05-31,7.5300,7.6400,5.4500,5.4500,107683300
2012-04-30,7.5400,8.2900,6.8100,7.5000,66706100
2012-03-30,7.3700,8.5000,7.2100,7.5000,105788800
2012-02-29,6.4200,7.6500,6.3200,7.3000,69487800
2012-01-31,5.9600,6.4400,5.3600,6.3900,78892400
2011-12-29,6.1000,7.1000,5.4900,6.0800,88062400
2011-11-30,4.8000,6.2400,4.7300,5.9500,80705800
2011-10-31,3.6100,5.5000,3.4200,5.4900,63359800
2011-09-30,4.3500,4.4500,3.6300,3.6300,72688400
2011-08-31,4.7600,4.7700,3.8200,4.2700,129926200
2011-07-29,5.4000,5.6600,4.5600,4.5800,73139468
2011-06-30,5.5900,5.8000,4.9600,5.3800,68143100
2011-05-31,5.3200,5.9300,4.9400,5.6600,93302580
2011-04-29,5.8700,5.9200,5.2600,5.3700,61891600
2011-03-31,6.2400,6.5200,5.7800,5.8900,77162277
2011-02-28,6.3300,6.5300,5.7400,6.2400,72028620
2011-01-31,7.2200,7.3100,6.1800,6.3000,67513600
2010-12-30,6.6000,7.5900,6.4300,7.1700,104513300
2010-11-30,6.5600,6.8500,5.9800,6.5500,106157700
2010-10-29,7.3300,7.5100,6.2400,6.5400,101342200
2010-09-30,7.4500,7.9000,7.0700,7.3100,66339775
2010-08-31,8.7000,8.8800,6.9100,7.4500,116508571
2010-07-30,7.7000,8.8300,7.5500,8.6000,66888800
2010-06-30,7.1100,8.3300,7.0500,7.6400,66207516
2010-05-31,8.2000,8.3100,6.2200,7.2500,155881980
2010-04-30,8.0200,8.7000,7.7000,8.1700,155560078
2010-03-31,9.2500,9.7300,7.3400,7.9500,156644700
2010-02-26,9.4000,9.7400,8.5700,9.0800,36149300
2010-01-29,9.4400,10.7100,9.1100,9.3400,65985400
2009-12-29,9.7500,10.5900,9.1000,9.4900,55942500
2009-11-30,9.5000,11.0400,9.0700,9.6000,64308400
2009-10-30,9.2200,10.3900,9.0200,9.7700,51237700
2009-09-30,7.6800,9.3400,7.4900,9.2200,47384800
2009-08-31,7.4200,7.9700,7.0600,7.8200,38657700
2009-07-31,7.0700,7.6100,6.4500,7.4100,38507800
2009-06-30,6.7400,8.1900,6.5700,7.0300,58278500
2009-05-29,6.3400,6.8500,5.9000,6.7300,68608700
2009-04-30,5.1100,6.9700,5.1000,6.1600,54926400
2009-03-31,4.5200,5.4900,4.0800,5.2500,59943000
2009-02-27,4.6700,4.9500,4.3800,4.6100,43889800
2009-01-30,4.8300,5.3800,4.4600,4.8000,52942600
2008-12-30,4.7200,6.0500,4.3200,4.9300,55125100
2008-11-28,3.9900,5.1800,3.3200,5.0500,53437700
2008-10-31,4.8100,5.1900,2.5600,3.9500,84573900
2008-09-30,6.7300,6.7400,4.3100,4.7400,100981300
2008-08-29,8.3400,8.3400,6.3100,6.6300,50621100
2008-07-31,8.0500,9.3400,7.4000,8.4000,57305200
2008-06-30,9.6400,10.3000,7.5800,8.1000,58096200
2008-05-30,9.0000,10.3000,7.2000,9.9000,72684000
2008-04-30,6.9002,8.9800,6.7946,8.6500,53682682
2008-03-31,6.3243,6.8906,5.8061,6.8618,54013683
2008-02-29,4.7888,6.4299,4.3762,6.3052,53148821
2008-01-31,5.6622,6.6698,4.0883,4.6929,56850646
2007-12-28,7.2840,7.4664,5.1631,5.7581,50257047
2007-11-30,7.0153,7.6679,6.3627,7.2264,49244428
2007-10-31,7.8694,7.9654,6.9385,7.0441,40985704
2007-09-28,9.0211,9.0211,7.8023,8.0230,19457569
2007-08-31,7.9654,9.2898,7.0057,9.0211,47242212
2007-07-31,7.8215,9.2610,7.7255,8.0134,44161212
2007-06-29,7.9174,8.5796,6.6219,7.6583,80726836
2007-05-31,7.4952,7.8502,6.6506,7.7735,52686690
2007-04-30,7.1977,7.6775,6.9961,7.4856,35986476
