,open,high,low,close,volume
2019-12-19,22.1940,27.0900,22.0047,25.6400,88349255
2019-11-29,19.8520,22.2438,19.0448,22.2040,89997198
2019-10-31,19.9118,21.5163,18.7757,19.9218,85360575
2019-09-30,18.6661,20.1012,17.6695,19.8919,82196280
2019-08-30,18.2376,19.3936,16.3540,18.6661,136378066
2019-07-31,16.5434,18.1877,15.5667,18.0881,97348784
2019-06-28,16.1447,16.7427,15.2578,16.4138,64484741
2019-05-31,15.6365,16.4736,14.5302,16.0849,123380713
2019-04-30,16.8324,17.1313,14.6199,15.6664,150275186
2019-03-29,19.8321,20.3603,15.2677,16.7128,139775657
2019-02-28,20.8785,21.2472,18.9053,19.8421,99958489
2019-01-31,19.6328,20.9981,19.0448,20.9981,100104990
2018-12-28,19.9218,20.0613,18.7558,19.6328,83994817
2018-11-30,18.7159,19.9317,16.8423,19.6427,102042403
2018-10-31,15.8159,18.7358,15.1681,18.7358,114263103
2018-09-28,15.3574,16.0251,14.1814,15.8159,79948309
2018-08-31,18.0781,19.1744,15.0784,15.5468,98658455
2018-07-31,16.5732,18.8156,16.1746,18.0781,68255310
2018-06-29,17.6994,18.3571,14.0120,16.6131,99649337
2018-05-30,19.6926,20.5895,16.8722,17.7094,95877964
2018-04-30,18.6661,19.9118,17.5100,19.8819,103550046
2018-03-29,16.9818,18.8156,16.1846,18.7757,130498804
2018-02-28,16.9420,17.1911,15.1083,16.8224,104862024
2018-01-31,16.8623,17.2210,15.2478,16.8423,144434958
2017-12-29,14.6498,17.2011,14.5003,16.9918,81471005
2017-11-30,17.5599,17.7094,14.7395,14.7794,133372209
2017-10-31,19.3338,20.7191,16.9818,17.5200,113235694
2017-09-29,17.7592,20.2905,17.6197,19.1843,101857169
2017-08-31,15.6265,17.9884,14.8691,17.7094,105272622
2017-07-31,14.0021,15.6464,13.6532,15.6165,99677132
2017-06-30,14.5502,14.7495,13.1550,13.9522,90208821
2017-05-31,16.8523,18.2376,13.4141,14.5502,193792278
2017-04-28,16.3440,16.7925,15.4870,16.7825,69602104
2017-03-31,16.4437,17.2310,15.1481,16.3042,140327241
2017-02-24,16.8224,17.4403,16.0750,16.3440,117821244
2017-01-31,16.7925,18.3372,16.2444,16.6729,58736729
2016-12-29,16.3440,17.4104,14.9588,16.9420,55363015
2016-11-30,20.7988,20.7988,15.5368,16.3241,47644680
2016-10-31,20.0314,21.5662,19.9019,20.6294,33265712
2016-09-30,19.2042,20.8885,18.4867,20.1211,40543648
2016-08-31,19.4335,20.5098,18.1180,19.1644,55032488
2016-07-29,16.1447,19.2840,16.0451,19.0847,45275495
2016-06-30,15.4471,16.1447,13.7529,16.0251,47613373
2016-05-31,15.9753,16.3241,13.0752,15.3175,52697721
2016-04-29,16.7327,16.7327,14.3110,15.9753,28407234
2016-03-31,16.6098,19.2258,15.9869,16.5832,56532406
2016-02-29,15.2976,16.8423,13.8858,16.5184,39519452
2016-01-29,15.7793,15.9786,14.2595,15.4803,45256550
2015-12-30,14.5253,17.1413,14.1599,16.1115,52310823
2015-11-30,13.8858,15.9371,13.8443,14.3176,54125051
2015-10-30,13.5453,15.5717,13.2546,13.8775,67822994
2015-09-30,13.1633,14.4007,12.2248,13.4539,64177191
2015-08-31,14.1765,14.3093,11.8262,13.5370,65957107
2015-07-31,14.4505,15.4139,13.9688,14.2346,45987443
2015-06-30,13.3792,14.5585,13.2961,14.3675,55911590
2015-05-29,14.0270,15.1980,13.3792,13.5204,65634284
2015-04-30,13.8360,14.8492,13.6449,13.9605,49015656
2015-03-31,13.8526,14.2595,12.6234,13.6616,58040694
2015-02-27,12.9889,14.2678,12.3162,13.7114,38802768
2015-01-30,14.0685,14.3509,12.5155,13.0387,56534956
2014-12-30,13.8360,14.4837,12.2414,14.3176,123465646
2014-11-28,12.1251,14.5751,11.5936,14.1017,59735599
2014-10-31,11.3694,12.3743,10.1901,12.1418,91743821
2014-09-30,13.2463,13.3294,11.4691,11.5355,55682204
2014-08-29,11.9591,13.2131,11.8179,13.2131,40296462
2014-07-31,11.7929,12.6650,11.2947,12.0006,42729850
2014-06-30,10.8877,12.2829,10.8877,11.7099,43814389
2014-05-30,11.2864,11.6933,10.9625,11.0372,45114827
2014-04-30,11.0953,11.8594,10.9226,11.2747,55137196
2014-03-31,9.5872,11.1684,9.2948,11.1153,57186437
2014-02-28,9.7400,9.8396,9.0623,9.6138,43807585
2014-01-31,10.5572,10.5572,9.5340,9.7666,66542364
2013-12-30,10.4841,10.6901,10.0124,10.4509,51508913
2013-11-29,11.0488,11.1286,9.9459,10.5638,66446038
2013-10-31,10.9292,11.8129,10.7100,11.0156,54051390
2013-09-30,10.0988,11.8993,10.0522,10.8163,65366701
2013-08-30,10.6236,10.9625,9.5872,10.0589,84510678
2013-07-31,10.2582,10.7897,9.6204,10.5705,61391789
2013-06-28,11.4342,11.5338,9.4809,10.3246,87239940
2013-05-31,11.6468,12.0720,11.1153,11.4940,59184807
2013-04-30,11.5405,12.0786,10.9890,11.7797,65390632
2013-03-27,11.8328,12.7563,11.2016,11.5272,55324284
2012-10-29,10.4775,12.1052,10.4376,11.3080,45514110
2012-09-28,9.7333,10.9027,9.5207,10.5439,65670286
2012-08-31,9.6735,10.3313,9.2683,9.7599,75981522
2012-07-31,8.6836,10.1120,8.4577,9.6735,48950334
2012-06-29,7.9328,8.8032,7.6804,8.8032,53771734
2012-05-31,9.2092,9.9526,7.4545,8.0724,94322750
2012-04-30,8.9338,9.3132,8.5388,9.3132,56502416
2012-03-30,9.5367,9.6666,8.7103,8.9390,100642332
2012-02-29,8.8350,9.5626,8.6064,9.5107,74510387
2012-01-31,7.5410,8.8818,7.4318,8.7779,76758186
2011-12-29,7.9879,8.2582,7.0836,7.4318,87609455
2011-11-30,7.6553,8.0295,7.0836,7.8476,71033246
2011-10-31,7.2344,8.4245,6.9953,8.0971,96093629
2011-09-30,8.4193,8.6791,6.9641,7.3799,114366365
2011-08-31,7.4110,8.1179,6.5068,8.1179,164736115
2011-07-29,7.8112,7.9723,6.7406,7.2863,73036678
2011-06-30,8.0815,8.5024,7.5877,7.8736,79288641
2011-05-31,7.1898,8.1750,7.0836,8.1334,82201075
2011-04-29,7.2000,7.3020,6.6340,7.1388,67166170
2011-03-31,6.8329,7.5468,6.5830,6.9604,86468591
2011-02-28,6.8278,7.1796,6.2618,6.8329,78945945
2011-01-31,7.8986,8.0669,6.7105,6.8278,87094555
2010-12-30,8.3626,8.4952,7.4499,7.8068,112890571
2010-11-30,9.2754,9.8159,8.2555,8.2861,122342914
2010-10-29,7.8935,9.3264,7.8374,9.3264,110389964
2010-09-30,7.4856,8.1740,7.1388,7.8935,73260806
2010-08-31,7.6538,7.6997,6.9858,7.5417,90552801
2010-07-30,6.6289,7.6487,6.2567,7.6487,107836992
2010-06-30,6.1547,7.0980,6.1241,6.6697,89783484
2010-05-31,6.5167,6.8329,5.6856,6.3230,108713439
2010-04-30,6.7921,6.9298,6.1343,6.5932,70866622
2010-03-31,6.6748,7.1388,6.4861,6.7564,113576959
2010-02-26,6.7870,7.2408,6.2465,6.6289,98946701
2010-01-29,8.0006,8.1026,6.5320,6.7462,86836668
2009-12-30,7.4703,8.2148,7.4244,7.9190,99703689
2009-11-30,5.7977,7.4805,5.6856,7.3938,125406163
2009-10-30,6.1343,6.5830,5.4408,5.9150,112802125
2009-09-30,5.7213,6.1037,5.4357,6.0986,86281478
2009-08-31,5.4102,6.0425,5.4102,5.7365,110906713
2009-07-31,4.7167,5.3541,4.5077,5.3541,110209934
2009-06-30,4.8442,4.9411,4.4159,4.6810,91659816
2009-05-29,4.6810,5.2215,4.3343,4.8034,127728703
2009-04-30,3.2176,4.6555,3.1921,4.5892,127634375
2009-03-31,2.8300,3.6969,2.6975,3.3094,131043759
2009-02-27,3.2278,3.2278,2.7485,2.8810,79620968
2009-01-30,3.1870,3.4419,2.9218,3.2584,91625694
2008-12-30,3.1870,3.7224,2.8555,3.1972,109321746
2008-11-28,3.1309,3.5082,2.8198,3.2635,129585090
2008-10-31,4.2578,4.5128,2.2436,3.0391,201817977
2008-09-30,5.2776,5.2929,3.3654,4.2578,158683023
2008-08-29,6.0170,6.1394,5.0125,5.2674,105309126
2008-07-31,5.2215,6.1190,4.8187,6.0680,133338651
2008-06-30,6.6697,6.7309,5.0992,5.3541,131505993
2008-05-30,6.6289,8.1077,6.2924,6.6544,187849401
2008-04-30,6.7666,7.3275,5.7213,6.0680,151129424
2008-03-31,7.7558,8.3524,6.5779,6.6544,84081899
2008-02-29,6.9604,8.1230,6.2720,7.8527,108060951
2008-01-31,8.0363,8.4136,6.1445,6.8074,113486160
2007-12-28,8.9541,9.5099,7.6640,7.9292,72968106
2007-11-30,10.2748,10.3870,7.6793,8.8470,87868408
2007-10-31,9.3825,10.1932,8.8266,10.0912,69003730
2007-09-28,8.2861,9.5354,7.6538,9.3722,77969717
2007-08-31,10192.9004,10806.2998,7.8782,8.1587,89835322
2007-07-31,9394.7305,11543.0996,9394.7305,10259.7998,65974558
2007-06-29,8896.1602,9481.2998,8228.7500,9455.5098,59832807
2007-05-31,8104.1099,9177.9902,7927.2798,8896.7803,55003771
2007-04-30,7950.6099,8834.7598,7767.0298,7919.9102,48480910
2007-03-30,7090.4102,8129.2798,6815.3398,7981.9302,56423982
2007-02-28,7674.9302,7975.7900,6876.7402,7275.8301,41127418
2007-01-31,7184.9600,7980.0801,7122.3301,7552.7402,39699071
2006-12-28,6446.9399,7361.7900,6435.2700,7337.2300,35404243
2006-11-30,6070.5601,7122.9502,5833.5601,6422.3799,68246566
2006-10-31,5476.8301,6123.9800,5342.9800,5955.7402,39871710
2006-09-29,5832.9502,5875.9199,5034.7500,5420.9600,52492347
2006-08-31,4820.4702,5851.3701,4700.1299,5832.9502,53749689
2006-07-31,4819.2402,5212.8101,4428.7402,4782.3999,38430325
2006-06-30,4881.8701,5047.0298,4047.4500,4789.1602,35710433
2006-05-31,5298.7700,5538.2300,4609.2500,4951.8599,48808275
2006-04-28,5648.7500,5832.9502,5126.8501,5335.6099,27589833
2006-03-31,5611.9102,6207.4800,4911.9502,5618.6602,37904264
2006-02-24,5218.9502,6011.0000,4820.4702,5618.0498,31913980
2006-01-31,4285.6802,5710.1499,4205.8599,5218.3398,39194178
2005-12-29,3782.2000,4389.4399,3653.2700,4389.4399,47717058
2005-11-30,2916.4700,3928.9500,2916.4700,3757.6399,45795217
2005-10-31,3100.6699,3303.2900,2597.2000,2885.7700,50648683
2005-09-30,2669.6499,3162.0701,2526.5901,3162.0701,80684792
2005-08-31,2947.1699,3008.5701,2456.5901,2658.6001,60976142
2005-07-29,2824.3701,3008.5701,2475.6201,2910.3301,42510170
