,open,high,low,close,volume
2019-12-19,45.4500,49.8800,44.0000,48.5500,143000700
2019-11-29,44.9500,48.7900,41.7000,45.0300,305335000
2019-10-31,37.1500,44.6400,36.0500,44.6400,249181100
2019-09-30,36.5000,37.7900,31.6300,37.0400,199462500
2019-08-30,33.6875,38.6600,32.9800,36.2900,266225400
2019-07-31,26.5000,33.9300,26.1250,32.9650,220578400
2019-06-28,24.6250,26.9988,23.5037,26.3900,173594400
2019-05-31,23.5963,25.2887,20.6338,24.5000,206838400
2019-04-30,21.7463,23.9075,19.8150,23.9075,167612000
2019-03-29,21.8612,22.9800,20.6462,21.6063,146694400
2019-02-28,22.3750,22.6450,19.7763,21.6825,171246400
2019-01-31,22.5525,23.2488,20.0812,22.3838,173102400
2018-12-28,21.0000,22.8450,20.0500,22.6338,128631200
2018-11-30,21.2500,21.6688,17.8875,20.5788,264027200
2018-10-31,15.4312,21.7500,15.1250,21.1000,289928000
2018-09-28,16.1238,16.1250,14.3013,15.3112,204239200
2018-08-31,16.5063,18.5613,15.8250,16.2812,270870400
2018-07-31,15.9000,16.9338,14.1862,16.5325,225476800
2018-06-29,13.8600,16.1863,11.9150,15.9987,387781600
2018-05-30,13.3750,14.3125,11.9625,13.5525,427018400
2018-04-30,12.3125,13.4712,11.5025,13.3387,215848800
2018-03-29,11.3813,12.7100,10.7750,12.2388,253009600
2018-02-28,10.5375,11.8500,9.0400,11.3813,236670400
2018-01-31,10.1125,10.8100,9.3263,10.5700,178580000
2017-12-29,7.1250,10.0275,6.9050,10.0275,309419200
2017-11-30,8.6250,8.6875,5.9375,7.1025,441181600
2017-10-31,9.4812,10.0875,7.5400,7.9688,405841600
2017-09-29,9.0469,10.9125,7.9525,9.2762,446530400
2017-08-31,6.0155,8.9063,5.6580,8.8750,313472000
2017-07-31,3.9922,5.9606,3.9922,5.7325,197632000
2017-06-30,3.9602,4.0914,3.5313,4.0000,132441600
2017-05-31,3.5623,4.4133,3.4525,3.9219,153043200
2017-04-28,2.7892,3.6994,2.6406,3.4811,98150400
2017-03-31,3.3178,3.4063,2.5787,2.7672,150828800
2017-02-24,2.0156,3.4063,1.8822,3.2517,133651200
2017-01-31,1.6411,2.0578,1.4714,1.9998,125843200
2016-12-29,1.6094,1.6875,1.5089,1.6589,100364800
2016-11-30,1.4453,1.6250,1.3750,1.6250,133427200
2016-10-31,1.2033,1.5656,1.0488,1.4447,239590400
2016-09-30,0.9448,1.1953,0.9250,1.1953,203328000
2016-08-31,0.7211,0.9936,0.6719,0.9453,314252800
2016-07-29,0.6036,0.7188,0.5984,0.7188,165075200
2016-06-30,0.5386,0.6047,0.5244,0.6016,271148800
2016-05-31,0.5063,0.5734,0.4453,0.5431,165817600
2016-04-29,0.4636,0.5469,0.4180,0.5005,160966400
2016-03-31,0.3117,0.5047,0.3036,0.4570,288448000
2016-02-29,0.2211,0.3342,0.1978,0.3078,173824000
2016-01-29,0.2648,0.2903,0.1969,0.2211,261222400
2015-12-30,0.1420,0.2813,0.1216,0.2758,699456000
2015-11-30,0.1861,0.1937,0.1380,0.1380,324902400
2015-10-30,0.2158,0.2541,0.1803,0.1844,357638400
2015-09-30,0.3200,0.3350,0.2200,0.2250,120786400
2015-08-31,0.4363,0.4487,0.3137,0.3187,138943200
2015-07-31,0.4412,0.4913,0.2975,0.4487,283860000
2015-06-30,0.5325,0.5512,0.4363,0.4412,85042400
2015-05-29,0.6338,0.7125,0.5225,0.5350,122902400
2015-04-30,0.6363,0.7113,0.6162,0.6288,107650400
2015-03-31,0.7563,0.7738,0.6062,0.6363,137610400
2015-02-27,0.8350,0.8650,0.7150,0.7563,92653600
2015-01-30,0.9750,0.9750,0.8037,0.8500,60082400
2014-12-30,0.9987,1.0237,0.8825,0.9638,105111064
2014-11-28,1.0500,1.0987,0.9563,0.9937,93589600
2014-10-31,0.9438,1.0812,0.8000,1.0313,137629600
2014-09-30,1.1237,1.1712,0.8963,0.9475,151593600
2014-08-29,1.1187,1.1437,1.0488,1.1250,109794400
2014-07-31,1.1500,1.2250,1.0612,1.1187,145014400
2014-06-30,1.0200,1.1912,0.9500,1.1487,184330400
2014-05-30,0.9538,1.1275,0.9538,1.0175,195108000
2014-04-30,0.8125,0.9550,0.7937,0.9500,118448000
2014-03-31,0.8825,0.8975,0.7375,0.8100,184706400
2014-02-28,0.9775,1.0362,0.8763,0.8800,175345600
2014-01-31,0.9513,1.1063,0.8687,0.9937,133624800
2013-12-30,1.0500,1.0612,0.8900,0.9438,135455200
2013-11-29,1.1938,1.2862,1.0175,1.0500,123684000
2013-10-31,0.9513,1.2287,0.9100,1.1875,143140800
