,open,high,low,close,volume
2019-12-19,10.7300,11.4500,9.7500,9.8600,97731400
2019-11-29,10.7300,11.6800,10.2900,10.7000,120365900
2019-10-31,11.0700,12.1400,10.7100,10.7500,111890000
2019-09-30,8.4500,12.1000,8.2700,11.0200,128430600
2019-08-30,6.6700,8.4900,6.4800,8.3500,162091300
2019-07-31,6.3700,6.9400,6.3100,6.6300,94352700
2019-06-28,6.9600,6.9900,6.2600,6.2900,104640000
2019-05-31,7.2300,7.3400,6.1300,6.8300,138848800
2019-04-30,6.0300,7.5900,5.8600,7.3200,93344800
2019-03-29,5.5600,6.3400,5.4900,5.9800,76617900
2019-02-28,6.1500,6.7000,5.3600,5.5000,88277100
2019-01-31,5.4800,6.3000,5.4400,6.0800,77368700
2018-12-28,6.3300,6.5400,5.2400,5.4600,47141900
2018-11-30,6.4500,6.7700,6.0100,6.2000,57405400
2018-10-31,5.2500,6.4800,5.0900,6.4100,92985900
2018-09-28,5.7400,5.8200,5.0200,5.3000,55829000
2018-08-31,8.2100,8.4100,5.7200,5.7200,142608400
2018-07-31,8.1500,8.7600,7.8100,8.2000,60337700
2018-06-29,7.9300,8.6700,7.5500,8.1400,71076700
2018-05-30,7.8400,8.8700,7.3900,7.9100,67745100
2018-04-30,5.9100,9.4300,5.7800,7.9200,110084400
2018-03-29,6.0000,6.3200,5.5100,5.9400,32399200
2018-02-28,6.8000,6.9700,5.9700,5.9700,24088900
2018-01-31,7.3300,7.4200,6.3900,6.8100,24746000
2017-12-29,6.7700,7.3200,6.6100,7.3200,44069900
2017-11-30,6.4200,7.1300,5.8700,6.8500,30236100
2017-10-31,6.4900,6.8500,6.1600,6.4300,33889900
2017-09-29,7.1200,7.4000,6.3800,6.4700,36879900
2017-08-31,6.4200,7.4100,6.3800,7.1300,42297800
2017-07-31,6.8100,6.9700,6.2500,6.4200,30022400
2017-06-30,6.3100,6.8300,6.0900,6.7600,39022800
2017-05-31,7.2400,7.9800,5.7500,6.3000,60392600
2017-04-28,5.7800,7.2200,5.5500,7.2200,36804800
2017-03-31,6.3100,6.4200,5.2700,5.7100,49562700
2017-02-24,6.4700,7.4800,5.9100,6.2500,52400900
2017-01-31,6.5200,6.7600,5.9400,6.4600,61243000
2016-12-29,6.3800,6.7500,6.0700,6.6100,49626600
2016-11-30,5.6800,6.5800,5.0800,6.5100,56371700
2016-10-31,5.2200,6.1000,5.2000,5.6900,56873300
2016-09-30,5.1100,5.3200,4.8900,5.2200,54434600
2016-08-31,5.7300,5.7400,5.0300,5.1100,61790900
2016-07-29,5.6000,5.8600,5.3100,5.6800,42078900
2016-06-30,6.2800,6.3700,5.4800,5.6200,42899400
2016-05-31,6.4800,6.6400,6.0100,6.2900,69811400
2016-04-29,6.7000,6.8400,6.0900,6.4900,32794900
2016-03-31,6.2900,7.1500,5.9300,6.5800,83174700
2016-02-29,6.1000,6.6500,5.6800,6.2500,55586600
2016-01-29,6.3100,6.3500,5.3200,6.1000,60443800
2015-12-30,5.9100,6.5200,5.4800,6.3500,40755200
2015-11-30,6.3700,6.7800,5.8800,5.8800,43551700
2015-10-30,6.8000,7.1200,6.1600,6.3700,58657300
2015-09-30,6.3000,7.2500,6.1700,7.1700,62086000
2015-08-31,5.3400,6.7000,5.0200,6.3900,70121500
2015-07-31,5.7000,5.7600,4.8600,5.3000,47501000
2015-06-30,4.0700,5.9000,3.7900,5.7000,115638800
2015-05-29,4.2100,5.0900,4.0100,4.0600,62846800
2015-04-30,4.0500,4.6800,3.9700,4.2300,40276100
2015-03-31,4.8000,4.9100,3.9600,4.0100,61344600
2015-02-27,5.0400,5.1300,4.3200,4.8400,34135600
2015-01-30,6.1500,6.2000,4.5900,4.9700,57482200
2014-12-30,6.3100,6.3200,5.1100,6.1100,60448011
2014-11-28,6.0600,6.8100,5.4300,6.5200,42492800
2014-10-31,6.6000,7.3000,4.9500,6.0500,59160100
2014-09-30,7.6200,7.7500,6.4100,6.6600,53830500
2014-08-29,6.6400,7.7500,5.9800,7.5900,58454500
