,open,high,low,close,volume
2019-12-19,17.7000,22.7400,17.3700,21.8900,75362500
2019-11-29,17.6200,19.1700,16.3600,17.5700,93447900
2019-10-31,17.8000,18.5100,16.9300,17.5900,121509500
2019-09-30,19.8100,20.2700,16.3400,17.6400,177004700
2019-08-30,20.5000,22.6500,17.6200,19.7000,139411200
2019-07-31,19.7900,20.3800,18.4000,20.2800,102128100
2019-06-28,17.1500,19.9000,16.4600,19.5700,88777100
2019-05-31,14.5400,17.3200,14.1600,17.2000,85608300
2019-04-30,14.0000,14.8300,13.2500,14.5100,80361100
2019-03-29,13.6900,14.8100,13.1000,13.9900,76334700
2019-02-28,15.0400,15.0900,13.2200,13.5900,96963500
2019-01-31,12.3900,15.6200,11.5100,15.0000,102232100
2018-12-28,11.1456,12.4100,10.5001,12.3600,86211787
2018-11-30,11.5820,11.7001,10.2729,11.0274,97655748
2018-10-31,11.0910,13.1911,10.7729,11.4910,129506201
2018-09-28,11.7365,11.8911,10.6456,11.1729,61553294
2018-08-31,12.0183,12.8001,11.5729,11.8183,56483013
2018-07-31,10.8638,12.6274,10.8274,12.0092,52226391
2018-06-29,12.2729,12.6274,10.2365,10.9456,79659740
2018-05-30,13.6274,14.0183,12.0547,12.2456,54774732
2018-04-30,14.7729,14.7729,12.9092,13.6365,56886817
2018-03-29,13.8456,15.1547,13.4638,14.7729,75577028
2018-02-28,13.7820,14.2729,13.2456,13.8002,52704557
2018-01-31,13.6547,14.6365,13.5002,13.7729,63184133
2017-12-29,12.1274,13.6729,11.7729,13.6729,52690147
2017-11-30,11.6365,12.7456,11.3910,12.1365,81992703
2017-10-31,12.5638,13.3092,11.4274,11.5001,78916811
2017-09-29,12.3183,13.5092,12.1092,12.5092,60058081
2017-08-31,12.8547,13.0911,11.7910,12.2638,90929436
2017-07-31,12.2820,13.2456,11.8183,13.0274,88454354
2017-06-30,11.7274,12.3001,11.1729,12.2910,89295845
2017-05-31,14.5183,14.6820,11.2910,11.7729,91554558
2017-04-28,13.0729,14.5274,12.9365,14.4911,54609953
2017-03-31,12.9365,14.2547,12.6456,13.0547,63657786
2017-02-24,11.6820,13.6183,11.6456,12.9820,57672098
2017-01-31,9.8456,11.6547,9.8456,11.6001,88967058
2016-12-29,10.3638,10.4456,9.4910,9.9456,57497420
2016-11-30,11.2819,11.4729,10.0183,10.5092,56966127
2016-10-31,10.9456,11.6547,10.6638,11.2365,43933920
2016-09-30,11.2001,11.2274,10.2729,10.8547,37419138
2016-08-31,12.2365,12.5456,10.7365,11.1819,53506887
2016-07-29,9.9728,12.3183,9.8365,12.3183,57554621
2016-06-30,9.0910,9.9456,8.7819,9.8274,56621499
2016-05-31,10.8729,11.6910,8.7547,8.9637,77085441
2016-04-29,10.9092,11.4638,10.2001,10.9274,42937663
2016-03-31,9.7365,11.3274,9.4456,10.7001,110103417
2016-02-29,8.3092,9.7456,7.9546,9.6365,78727610
2016-01-29,7.7910,8.4274,7.3001,8.3183,67635012
2015-12-30,7.5455,8.2728,7.3365,7.8910,55441872
2015-11-30,6.7274,8.3183,6.7092,7.5092,56755040
2015-10-30,5.5546,6.9365,5.5546,6.7455,66619722
