,open,high,low,close,volume
2019-12-19,29.0700,31.7500,28.9100,31.6400,39317400
2019-11-29,29.3600,29.9200,28.0700,28.9200,58520200
2019-10-31,28.7400,29.6300,27.0000,29.2100,56396900
2019-09-30,26.2000,28.8600,25.2600,28.8500,65572700
2019-08-30,28.4700,29.0400,25.4600,25.9900,74470400
2019-07-31,27.9600,29.5400,26.8700,28.3900,66772500
2019-06-28,24.9500,28.1300,24.4400,27.7600,64379600
2019-05-31,23.7100,25.0700,21.5100,24.8400,72176000
2019-04-30,23.4500,24.3800,21.7200,23.9600,67392500
2019-03-29,25.1200,25.3300,22.6000,23.3900,52934800
2019-02-28,26.0000,26.6700,24.6200,25.1700,55586500
2019-01-31,24.3600,26.1400,23.3800,26.0300,57572100
2018-12-28,23.5500,24.3700,22.3200,24.3100,42793500
2018-11-30,23.2700,23.7000,21.7900,23.2100,50102000
2018-10-31,18.7600,23.8200,18.1600,23.0000,75058300
2018-09-28,18.4500,19.1000,17.6500,18.7100,37991300
2018-08-31,20.0800,20.6400,18.0700,18.6300,38921900
2018-07-31,18.6633,20.7000,18.3067,20.0800,47971300
2018-06-29,19.7667,20.1200,17.0533,19.0000,72546000
2018-05-30,21.8833,21.9700,18.9867,19.5567,64195800
2018-04-30,22.8867,23.1467,21.0667,22.1733,58470600
2018-03-29,23.4033,23.6833,21.8200,22.8933,51882600
2018-02-28,24.4100,24.8500,22.2833,23.4000,47754300
2018-01-31,24.2000,24.8833,23.3200,24.1800,51306300
2017-12-29,23.1533,23.8733,22.5600,23.6333,34954800
2017-11-30,24.1400,24.4233,22.7167,23.1800,45587700
2017-10-31,24.6000,25.5433,23.8333,23.8333,53178000
2017-09-29,24.5967,26.4100,23.7600,24.4433,47997000
2017-08-31,23.9567,24.9600,23.5233,24.3633,52959000
2017-07-31,21.7500,24.5300,21.3367,23.9600,39629100
2017-06-30,21.2167,22.5833,21.0867,21.7733,40994100
2017-05-31,22.8067,24.2600,19.6000,21.3667,63441900
2017-04-28,22.0933,22.9333,21.8267,22.5667,30679500
2017-03-31,21.7267,22.4067,21.1900,22.1000,46946700
2017-02-24,21.0100,22.6633,20.5633,21.4300,48770700
2017-01-31,19.6033,21.7333,19.4700,20.8167,55547100
2016-12-29,19.0867,19.8300,18.0500,19.7933,35257200
2016-11-30,21.3867,21.4833,18.6033,19.3767,42050700
2016-10-31,21.0667,22.2100,20.5633,21.3833,31724400
2016-09-30,19.3667,21.8333,19.3667,21.0667,41254200
2016-08-31,21.0600,22.1567,19.3567,19.4367,47484600
2016-07-29,20.1567,21.4167,19.8667,21.0567,33483000
2016-06-30,18.2567,20.3800,17.9333,20.0867,38182200
2016-05-31,19.5700,20.3600,18.0133,18.2167,53086500
2016-04-29,17.5667,19.8400,17.4633,19.6500,29937900
2016-03-31,15.8033,18.9067,15.6867,18.2467,66481800
2016-02-29,13.8333,15.9000,13.5733,15.6700,48294600
2016-01-29,12.6000,14.2067,12.3300,13.8000,45894900
2015-12-30,14.2967,15.5200,12.5600,12.6667,42031500
2015-11-30,14.0200,15.5167,13.8067,14.2000,40873800
2015-10-30,14.3333,15.5667,13.5833,14.0233,46527600
2015-09-30,13.3700,14.7800,13.1267,14.1333,67137600
2015-08-31,15.7167,15.7167,13.3700,14.7667,46614300
2015-07-31,15.8667,16.5000,14.5467,15.6667,43423800
2015-06-30,16.4267,16.7400,15.4500,16.0000,60216900
2015-05-29,17.7500,18.3233,16.2933,16.6667,44147700
2015-04-30,18.8600,19.6133,16.7900,17.6767,52367700
2015-03-31,18.1600,18.8100,16.3667,18.6833,52088700
2015-02-27,16.1600,18.3533,16.0533,18.1833,42828300
2015-01-30,15.6667,18.1167,14.5000,16.0333,64767600
2014-12-30,16.9667,17.0533,14.7200,15.8133,477634035
2014-11-28,17.0367,17.6667,15.6700,17.3267,39992100
2014-10-31,16.5900,18.1467,14.8333,17.0833,48090300
2014-09-30,19.2367,19.7100,16.3267,16.7067,35993100
2014-08-29,17.9633,19.5267,17.8300,19.3233,40228800
2014-07-31,16.9367,19.4067,16.6567,17.9667,27489000
2014-06-30,16.1300,17.5567,15.5167,16.9733,24246000
