,open,high,low,close,volume
2019-12-19,80.2700,88.3000,78.0300,87.8800,17385900
2019-11-29,83.4400,84.8400,77.2000,80.1600,21512000
2019-10-31,79.9000,85.7300,78.3500,82.9900,30983400
2019-09-30,86.4400,89.2900,79.8000,79.8000,37833500
2019-08-30,94.2000,95.2900,84.0500,87.5600,30389600
2019-07-31,95.5000,95.5400,87.8400,93.5500,42095000
2019-06-28,87.3000,94.6800,84.0800,94.6800,31781800
2019-05-31,96.0000,96.9400,77.9600,87.2100,51299900
2019-04-30,92.5000,99.3000,89.9100,96.5000,26757800
2019-03-29,93.8000,98.0000,86.9300,91.4600,23605700
2019-02-28,97.2800,99.3800,92.2000,93.1100,26080100
2019-01-31,80.9900,98.5000,80.2500,97.2800,28782400
2018-12-28,84.4500,86.9900,77.1700,80.9800,26434600
2018-11-30,78.4900,86.5400,77.8600,83.4100,30329600
2018-10-31,87.9500,90.3600,75.9200,78.2200,38209600
2018-09-28,80.8200,87.9100,75.1300,87.5100,26615600
2018-08-31,83.3800,86.3400,76.6900,81.6700,28154600
2018-07-31,77.3600,84.0300,74.0700,83.1500,28697800
2018-06-29,79.9900,81.5100,72.3200,77.8900,25633700
2018-05-30,78.3000,82.4200,73.0200,79.5000,26566000
2018-04-30,65.9400,80.1600,65.7800,78.7300,23731000
2018-03-29,68.4300,69.3000,63.5300,66.5500,15587700
2018-02-28,75.6700,76.3500,64.7300,68.4900,25293400
2018-01-31,78.9000,79.6000,73.1500,75.3000,14079900
2017-12-29,69.9000,78.9300,69.3700,78.9300,14230600
2017-11-30,77.0000,77.2200,68.5800,70.0000,17023400
2017-10-31,75.4400,81.3900,74.1300,76.2000,15650000
2017-09-29,72.0500,80.6500,70.5700,75.0000,20563400
2017-08-31,72.5000,75.9300,71.0200,71.9900,19228900
2017-07-31,65.1500,73.2500,63.0600,72.5000,19970900
2017-06-30,69.4800,71.8500,62.3300,65.1500,14897000
2017-05-31,72.0000,77.0200,62.9300,68.9800,19376700
2017-04-28,60.3000,72.0000,57.6300,71.7500,14926100
2017-03-31,58.2700,63.4700,54.2100,60.1000,21601500
2017-02-24,58.4500,60.2900,55.6800,57.4500,13842800
2017-01-31,54.9000,60.8900,54.1000,57.9400,17677700
2016-12-29,54.2500,55.5300,47.5600,54.7500,18094200
2016-11-30,60.7500,62.7400,52.4100,54.6000,18460100
2016-10-31,52.6100,61.1500,51.6500,61.0000,19155200
2016-09-30,50.9500,56.5600,48.7000,53.1000,15035100
2016-08-31,49.0000,54.2800,46.7600,50.3600,18414100
2016-07-29,46.8500,57.4300,45.6100,49.0700,23205500
2016-06-30,40.5300,47.3000,40.2000,46.7100,15818500
2016-05-31,50.6200,51.8200,39.9500,40.4500,20495600
2016-04-29,50.6000,53.1500,47.3700,50.6100,11324900
2016-03-31,42.2600,52.6000,41.2900,50.2200,36809000
2016-02-29,38.2700,44.4100,36.9200,41.5800,20137300
2016-01-29,41.3800,41.5300,32.0000,38.2300,21617000
2015-12-30,49.3900,49.3900,40.9000,41.8600,27187700
2015-11-30,51.5000,56.3100,48.5200,49.0000,23236400
2015-10-30,50.9400,59.0100,49.3200,50.7400,28712300
2015-09-30,62.2500,65.1100,48.1600,50.3100,31727900
2015-08-31,74.9200,75.6500,57.6700,63.5000,21148200
2015-07-31,73.7700,76.4400,66.4000,74.9000,25456800
2015-06-30,85.3600,85.8000,73.1500,73.5000,26709100
2015-05-29,101.9700,103.2000,84.4100,85.4500,25727600
2015-04-30,96.4900,102.8000,95.5600,101.8000,25891700
2015-03-31,96.0000,99.5400,92.1100,95.4500,26027900
2015-02-27,89.0000,98.2800,88.2000,97.1300,16281700
2015-01-30,97.6000,98.8000,88.0000,88.5700,13681600
2014-12-30,106.1600,106.3800,94.6500,97.8100,142664733
2014-11-28,104.5000,109.3000,101.5600,108.5000,13075100
2014-10-31,105.8400,114.2400,93.6000,103.9000,27033000
2014-09-30,114.9000,115.4600,106.0000,106.8500,16459700
2014-08-29,109.0100,115.0000,107.5000,114.1100,14162600
2014-07-31,103.3900,112.4000,102.2800,109.5000,28165500
2014-06-30,102.3000,110.0500,100.6800,102.9900,15467600
2014-05-30,105.8800,108.2600,100.6200,101.8000,22235600
2014-04-30,100.4400,109.8700,98.7600,105.5000,15008100
2014-03-31,98.3000,102.1000,92.8900,99.7500,12536400
2014-02-28,93.7900,99.5000,91.5200,98.8900,12150100
2014-01-31,104.6200,105.4100,92.6600,93.4000,15640100
2013-12-30,107.6800,109.6400,99.6800,104.9100,13500500
2013-11-29,111.2600,112.5000,106.8000,108.6000,12519900
2013-10-31,102.1000,112.3000,100.2500,111.9900,13331400
2013-09-30,98.5300,105.9500,94.8300,101.0000,11841400
2013-08-30,101.3200,102.4400,91.5500,96.7600,13903900
2013-07-31,97.8000,105.4900,93.5300,101.0600,15824700
2013-06-28,104.0000,107.6000,92.0900,99.6000,16970200
2013-05-31,111.0000,115.5900,103.1000,103.7900,14402500
2013-04-30,106.2670,114.5200,102.5070,109.8100,23566656
2013-03-27,98.4069,108.4070,98.0469,105.5970,16314522
2013-02-28,93.8970,99.4968,92.5970,99.1968,17473060
2013-01-31,91.4771,94.8470,87.8972,93.8970,32633845
2012-12-28,90.8371,96.5969,89.6571,90.4971,10673843
2012-11-30,94.4870,94.4870,89.4371,90.9971,8712079
2012-10-31,90.2171,98.8968,88.0172,93.1970,10005917
2012-09-28,84.4973,90.7771,83.2173,90.5471,9971319
2012-08-31,83.1473,86.8972,81.1774,85.3873,10680540
2012-07-31,79.6574,84.5373,74.9976,83.4973,7179130
2012-06-29,75.4076,81.8374,73.5077,79.9974,9919419
2012-05-31,88.7372,91.6271,75.2076,76.3976,12459300
2012-04-30,86.9689,91.2279,83.9797,88.4972,8857970
2012-03-30,79.5707,87.7688,78.1711,86.9790,12677467
