,open,high,low,close,volume
2019-12-19,31.4700,32.9800,30.6700,32.1700,151745200
2019-11-29,32.8000,33.6500,30.8200,31.2000,209617000
2019-10-31,30.1600,32.7700,28.0500,32.7000,188503900
2019-09-30,28.0500,31.3000,27.6100,30.1500,151581100
2019-08-30,29.0400,29.7400,26.2200,28.2700,244178100
2019-07-31,30.4400,31.6700,28.3500,28.7900,215314900
2019-06-28,28.5000,32.0300,28.2400,30.0200,282508400
2019-05-31,29.7000,30.4700,27.4100,28.2300,189411200
2019-04-30,31.4200,33.0500,28.8900,29.9600,220506700
2019-03-29,29.9200,33.7000,28.5400,31.1500,222771500
2019-02-28,29.4700,31.7900,28.7600,29.8600,184120100
2019-01-31,25.4100,29.9700,25.1000,29.5500,192992200
2018-12-28,29.0000,29.4000,23.3300,25.4000,222438900
2018-11-30,30.3800,30.9400,26.0400,28.1300,219817000
2018-10-31,24.3300,31.0000,23.8600,30.3200,323681400
2018-09-28,21.9800,24.9200,21.1900,24.2300,170598100
2018-08-31,21.8100,23.8400,20.4800,22.0800,213910100
2018-07-31,19.1000,22.3900,19.1000,21.9400,173132700
2018-06-29,22.6000,22.8700,16.9000,19.4200,333972100
2018-05-30,24.1500,31.8000,19.7300,22.1900,400827900
2018-04-30,23.1700,24.8000,22.1800,24.6300,156625500
2018-03-29,23.0500,24.3400,22.2100,23.3600,185832300
2018-02-28,21.3000,23.6100,19.6700,23.1500,205789400
2018-01-31,16.9900,21.9400,16.9800,21.3000,183152400
2017-12-29,15.9400,16.9800,15.5000,16.9100,151820900
2017-11-30,17.6600,18.1400,15.6400,15.9500,163809100
2017-10-31,15.7700,17.6300,15.6200,17.4200,153630400
2017-09-29,14.1900,16.4400,14.1400,15.8100,166660800
2017-08-31,13.7200,14.6300,13.3600,13.9700,182435700
2017-07-31,13.2500,13.9400,12.4700,13.8000,124526300
2017-06-30,13.8300,14.1600,12.6500,13.2000,180612400
2017-05-31,14.3900,16.3600,12.9000,13.6200,248707700
2017-04-28,15.1600,15.7500,13.9500,14.3600,134758200
2017-03-31,16.3700,16.5700,13.4800,15.1500,240969000
2017-02-24,16.4800,17.4300,15.4000,15.9600,160321100
2017-01-31,16.7000,18.8500,16.1400,16.1900,126208400
2016-12-29,18.4700,19.1400,16.1900,16.9400,205343700
2016-11-30,18.7200,18.8600,15.8000,18.4700,242836900
2016-10-31,15.2900,19.7200,15.1800,18.6400,237937900
2016-09-30,14.7900,16.4500,14.1800,15.1400,212295500
2016-08-31,14.0400,15.5700,12.8400,14.7400,222874500
2016-07-29,11.5500,14.1600,11.0100,14.0100,196704400
2016-06-30,10.1500,12.2600,9.9500,11.5100,250707700
2016-05-31,13.3300,13.5400,10.1800,10.1800,203136200
2016-04-29,10.5300,13.9700,9.3900,13.2700,167660800
2016-03-31,7.5900,11.2900,7.2100,10.6300,516308300
2016-02-29,6.8100,7.7500,5.7800,7.3500,294012200
2016-01-29,8.3100,8.9600,5.6700,6.9300,294238700
2015-12-30,9.3500,10.3000,8.1800,8.5700,280757500
2015-11-30,9.5800,10.8000,8.6700,9.4100,300500500
2015-10-30,8.7000,11.1800,8.2700,9.3800,315851200
2015-09-30,10.1800,10.8300,7.6600,8.5400,413581200
2015-08-31,11.5100,11.7000,8.3500,10.6200,430561400
2015-07-31,14.1900,14.2200,10.4200,11.5800,324560200
2015-06-30,13.3200,15.0500,13.1300,14.0300,337042200
2015-05-29,14.5000,16.2600,13.2300,13.2500,332658800
2015-04-30,9.8000,15.0300,9.7000,14.2500,524031500
2015-03-31,9.3600,9.8500,7.9300,9.5800,371798700
2015-02-27,8.2800,10.6000,8.0100,9.4800,335879100
2015-01-30,9.5800,10.1600,7.7800,8.0400,499984500
2014-12-30,11.7800,12.1500,8.0000,9.5900,842436848
2014-11-28,14.4400,14.5000,11.5300,12.1800,360826700
2014-10-31,16.8200,21.1500,13.4700,14.6500,834934896
2014-09-30,22.6100,23.5000,16.8700,17.2500,455962100
2014-08-29,17.9500,22.1900,17.2700,22.0800,343103400
2014-07-31,16.2600,19.7400,15.8400,17.9900,308845100
2014-06-30,15.8600,17.9200,15.4200,16.2400,192781200
2014-05-30,15.5800,17.6200,15.4900,15.6100,215388800
2014-04-30,14.9600,16.4300,14.5400,15.6800,265205700
2014-03-31,13.1300,15.1000,12.0100,14.9600,283692600
2014-02-28,13.6700,14.1700,12.7400,12.9900,176813600
2014-01-31,16.0600,16.1500,13.4800,13.7700,209928700
2013-12-30,16.8800,17.0800,15.5700,15.9900,189853500
2013-11-29,19.3000,20.3500,17.7000,18.3200,184139500
2013-10-31,17.1500,19.6800,16.5400,19.5400,231572300
2013-09-30,16.3800,18.2300,15.7300,16.9600,217411700
2013-08-30,15.7600,17.7100,15.2100,16.0500,225017900
2013-07-31,14.9000,16.3600,13.5000,15.3800,234920100
2013-06-28,19.0500,19.2100,14.4500,14.8000,225812200
2013-05-31,19.0000,19.7900,18.3200,18.9700,160125100
2013-04-30,16.6800,19.4700,15.2900,19.1900,214532700
2013-03-28,14.4100,17.8100,14.1500,16.9000,242409000
2013-02-28,18.2500,18.7700,14.4700,14.4900,246567200
2013-01-31,20.0700,20.9400,18.0300,18.2300,162472900
2012-12-28,19.2100,21.3400,18.9700,19.5500,169019000
2012-11-30,21.5300,22.5000,18.8300,19.1000,134704500
2012-10-31,23.2900,23.9700,21.4600,21.5000,100318200
2012-09-28,21.4200,24.9800,21.0100,23.3000,136362200
2012-08-31,20.1400,22.9100,19.4700,21.3000,152996300
2012-07-31,18.7000,21.0000,18.5400,20.0500,114668700
2012-06-29,19.2900,20.9800,18.0500,18.9000,141437800
2012-05-31,22.4700,23.3200,18.9100,19.8000,136741900
2012-04-30,24.4000,24.6100,21.7200,22.3900,93311300
2012-03-30,25.9500,26.6000,23.7700,24.3000,126045500
2012-02-29,27.1200,28.0600,24.2700,25.7000,123965400
2012-01-31,23.1300,28.2600,22.7400,26.9100,119428800
2011-12-29,24.3000,25.5400,22.4000,23.0000,108497100
2011-11-30,22.0900,24.8500,22.0900,24.1200,93908800
2011-10-31,20.7600,23.6700,19.4400,23.0800,102189900
2011-09-30,23.1800,23.4900,20.7000,20.9000,100165100
2011-08-31,26.3100,26.4500,20.0000,22.9500,180065400
2011-07-29,26.1500,26.5700,24.8000,26.0000,79519026
2011-06-30,26.8300,26.9500,25.1100,26.2500,106339900
2011-05-31,28.9000,75.5500,26.3000,26.8300,84104377
2011-04-29,33.2000,33.2000,28.3900,28.8900,90048700
2011-03-31,32.5200,33.7000,31.4400,32.6200,91699676
2011-02-28,30.2000,33.2900,29.0900,32.6000,99442384
