,open,high,low,close,volume
2019-12-19,37.0400,37.2100,33.7400,37.0800,47798700
2019-11-29,31.9000,37.0500,30.9800,36.8000,53336500
2019-10-31,30.9700,34.4200,29.4200,31.9000,70035800
2019-09-30,28.7900,31.1900,27.0000,31.1000,37003400
2019-08-30,22.3200,30.8300,21.0900,28.5900,84308900
2019-07-31,23.1500,24.0700,21.8300,22.2200,38571200
2019-06-28,20.1500,23.2500,19.9300,22.9700,45676500
2019-05-31,17.0000,20.3100,16.7200,20.1500,66141300
2019-04-30,15.8700,17.8700,15.2800,17.2000,45906400
2019-03-29,15.4200,16.3900,14.2300,15.6800,42009900
2019-02-28,15.8500,16.4500,14.4500,15.4900,49081400
2019-01-31,12.8900,16.0000,12.6300,15.8500,56440700
2018-12-28,14.0900,14.8300,12.4200,12.8900,35297300
2018-11-30,14.4600,14.7500,12.9000,13.8600,50739600
2018-10-31,13.4900,15.1800,11.0200,14.4000,144417200
2018-09-28,15.7000,16.9400,14.9000,16.4800,43725000
2018-08-31,20.0000,21.0700,15.6100,15.7600,70880500
2018-07-31,18.2500,20.8000,17.9400,20.0500,56654300
2018-06-29,19.0000,19.8200,15.8100,18.4600,70682100
2018-05-30,24.2900,24.8000,17.9000,19.0500,116749500
2018-04-30,22.3100,24.6500,20.8600,24.3500,63713200
2018-03-29,28.5400,29.1500,21.5000,22.2800,84827400
2018-02-28,30.5900,31.5400,28.1500,28.7500,34047200
2018-01-31,30.9000,34.2500,30.0000,30.5900,52952900
2017-12-29,30.4500,31.1800,27.9200,31.0000,34224900
2017-11-30,35.0000,36.0000,30.0300,30.6700,42496100
2017-10-31,37.6800,38.7600,34.0600,35.0000,38683400
2017-09-29,34.8600,38.9300,33.6500,37.9000,45389400
2017-08-31,32.7800,37.6700,32.0100,34.8500,49906200
2017-07-31,28.8900,33.1800,28.6600,32.8000,35810000
2017-06-30,27.9000,31.9300,27.6800,28.7000,56609700
2017-05-31,22.0800,29.1500,21.9300,28.0200,79770600
2017-04-28,20.5500,22.6000,19.5500,22.6000,33661300
2017-03-31,19.9800,20.9300,17.9000,20.6500,38220800
2017-02-24,20.8200,20.8200,19.3700,19.7100,24103700
2017-01-31,19.1300,21.3300,18.7200,20.6100,32930500
2016-12-29,18.0700,19.2500,16.7600,19.2500,35336100
2016-11-30,20.4200,21.2000,16.8200,18.3500,37575500
2016-10-31,19.0400,21.3000,18.9600,20.5400,39354800
2016-09-30,22.4200,23.0500,18.4000,19.1800,59858700
2016-08-31,21.6700,23.5900,20.1000,22.6800,32447800
2016-07-29,18.4900,22.7800,17.4700,21.5000,54543100
2016-06-30,15.1800,18.9000,15.1500,18.6100,37909700
2016-05-31,14.2600,16.9700,13.2300,15.2500,39167200
2016-04-29,15.4600,16.4100,14.5600,14.9000,17466900
2016-03-31,12.9700,15.3700,12.3800,14.5800,56634100
2016-02-29,13.1400,14.1500,11.9300,12.8800,33796100
2016-01-29,14.0600,14.6100,12.2100,13.4900,39819200
2015-12-30,14.7700,15.7900,13.2000,14.1300,44222100
2015-11-30,16.2000,18.0000,14.7700,14.7700,43801800
2015-10-30,14.9400,17.9800,14.5200,16.2000,40316700
2015-09-30,16.7500,17.9000,14.6000,14.8400,44469500
2015-08-31,20.2800,20.8000,16.9000,17.0700,49207300
2015-07-31,19.7100,22.5100,19.2000,20.4000,45682900
2015-06-30,21.3000,22.2300,19.0600,19.7100,55314100
2015-05-29,24.5400,25.6000,17.5000,19.3800,60991300
2015-04-30,22.9000,25.2700,22.5500,24.8000,51012000
2015-03-31,25.7900,26.0800,22.6900,22.7700,46879700
2015-02-27,26.5200,27.3200,21.3000,25.7000,70312000
2015-01-30,27.3900,27.7400,25.9200,26.3300,41869600
2014-12-30,26.9300,28.2300,26.0600,27.4700,124172780
2014-11-28,25.2000,27.9400,24.0200,27.5200,38532200
2014-10-31,23.7200,26.1500,21.6700,25.2000,55833800
2014-09-30,28.1200,28.2500,23.0000,24.2200,56003800
2014-08-29,26.2500,28.4800,25.6500,28.0100,38261900
2014-07-31,26.0300,28.2200,25.2700,26.2500,54123600
2014-06-30,23.7700,26.1200,22.7700,26.1000,34749900
2014-05-30,21.6700,24.2300,21.0500,23.6000,64718400
2014-04-30,22.9000,23.9000,20.9100,21.6000,52101800
2014-03-31,21.3800,23.3100,19.8400,22.9500,36490700
