,open,high,low,close,volume
2019-12-19,113.9500,114.3600,100.5500,105.4000,20471600
2019-11-29,110.0000,115.3800,107.5700,112.9900,21829900
2019-10-31,96.1900,111.5500,93.3700,110.0000,32108800
2019-09-30,91.0000,97.4600,89.6900,95.8100,21998200
2019-08-30,83.1800,94.7400,82.9100,92.0400,35603000
2019-07-31,76.4000,85.3000,75.7500,83.0100,25587600
2019-06-28,69.8000,76.8600,68.6000,76.1000,19384300
2019-05-31,68.9000,70.4500,63.5300,69.4200,22574700
2019-04-30,66.0000,69.2000,63.8900,69.1400,22176000
2019-03-29,65.4100,71.2000,62.2400,65.3000,22657600
2019-02-28,61.9900,68.1700,57.1600,65.4100,28689900
2019-01-31,57.0000,66.4100,55.2600,62.0000,26955600
2018-12-28,62.9800,65.2000,56.6000,57.1500,24061200
2018-11-30,63.5500,68.1900,60.7400,62.1300,24683100
2018-10-31,72.9900,76.5500,61.9800,62.8200,36715400
2018-09-28,75.2500,80.0000,71.9500,72.4300,15719200
2018-08-31,74.4800,82.2500,73.5100,77.0000,25384300
2018-07-31,65.9900,79.4600,65.9200,74.3600,23020800
2018-06-29,63.2700,72.9900,61.5000,66.4000,32449700
2018-05-30,67.0000,71.8500,59.5000,62.2700,38248600
2018-04-30,75.0000,75.7800,65.8100,68.7800,30921200
2018-03-29,78.5600,80.7300,72.8000,74.8000,22237700
2018-02-28,84.1000,84.8900,77.2100,77.7400,19893000
2018-01-31,92.0000,92.2800,82.3400,84.4300,20338800
2017-12-29,87.5200,91.8000,85.4100,91.8000,18790300
2017-11-30,78.8900,92.0000,78.1800,88.0000,28470600
2017-10-31,75.7600,81.2900,75.0000,78.2100,18555100
2017-09-29,69.7700,77.7700,69.6000,75.0000,17776800
2017-08-31,69.0000,71.8200,68.1000,69.3500,22107200
2017-07-31,70.1400,71.3700,67.5100,69.0000,18058900
2017-06-30,72.0100,75.6500,68.8000,70.1100,29308900
2017-05-31,67.7900,72.9800,64.0000,72.0000,34867900
2017-04-28,58.2600,68.9300,58.1200,67.4500,25462900
2017-03-31,58.9400,61.5000,56.2200,58.6700,36983300
2017-02-24,65.5200,66.4000,58.6600,59.4000,24955500
2017-01-31,60.6200,66.7500,59.3300,65.5000,20330700
2016-12-29,63.6800,64.5800,57.7000,61.1900,19392600
2016-11-30,71.2200,71.2400,63.1300,64.4900,28636900
