,open,high,low,close,volume
2019-12-19,24.5200,26.0300,24.5000,25.3900,111442000
2019-11-29,22.9900,24.4900,22.6000,24.4300,136759500
2019-10-31,24.5700,24.6400,21.9200,22.8000,162205900
2019-09-30,22.2000,24.5800,22.1200,24.5000,136397700
2019-08-30,22.0700,23.5700,21.1600,22.1000,183918400
2019-07-31,21.0500,22.6600,20.4500,21.9200,142321900
2019-06-28,19.3100,21.0800,18.6900,20.7300,153903200
2019-05-31,18.0600,19.7700,16.5100,19.3600,191284000
2019-04-30,19.2800,19.4500,16.9300,18.1000,199199400
2019-03-29,19.4000,20.6600,17.6200,19.1500,204520900
2019-02-28,19.5600,20.0900,18.5100,19.4600,172076800
2019-01-31,16.7100,19.8700,16.6400,19.6500,190511000
2018-12-28,17.4100,17.5800,15.8000,17.0000,162041700
2018-11-30,16.6100,17.9100,15.8500,17.4400,160366200
2018-10-31,14.9400,16.6800,14.5300,16.6500,205953600
2018-09-28,14.0600,15.1700,13.3500,14.9800,80004800
2018-08-31,14.8700,15.5200,13.2100,14.2300,142329100
2018-07-31,13.9000,15.5000,13.2500,14.8500,102477200
2018-06-29,14.0000,14.7000,11.9300,14.1000,172310900
2018-05-30,14.7200,14.9900,13.0600,13.8100,145751800
2018-04-30,13.0300,14.9200,12.2600,14.8500,137199500
2018-03-29,14.2500,14.3500,12.6100,13.1500,123031900
2018-02-28,14.3500,14.4700,12.6000,14.2400,148326800
2018-01-31,12.9700,14.3400,12.1000,14.2700,170797600
2017-12-29,12.9300,13.1800,11.1600,12.9700,137235100
2017-11-30,12.7800,13.4700,11.0700,13.0200,163573800
2017-10-31,12.0100,13.5700,11.9100,12.7000,290843400
2017-09-29,10.3500,12.1400,9.3500,12.0900,271545400
2017-08-31,10.3000,10.9700,9.8200,10.3300,149027700
2017-07-31,8.6600,10.5000,8.5400,10.3400,125209100
2017-06-30,8.4600,8.6500,7.5000,8.6500,152203700
2017-05-31,8.7500,10.5500,7.6500,8.4800,251635600
2017-04-28,8.5500,9.1800,8.3200,8.7300,147920500
2017-03-31,8.7500,8.9600,7.8600,8.5500,101736000
2017-02-24,7.6000,9.5100,7.3900,8.5800,196969100
2017-01-31,6.1400,7.7000,6.0600,7.5000,180599700
2016-12-29,6.4300,6.4800,5.5600,6.1400,137006400
2016-11-30,7.2000,7.2800,5.0800,6.3600,199340500
2016-10-31,6.3100,7.2400,6.1000,7.1400,147965100
2016-09-30,7.2000,7.4300,5.9600,6.3200,198137000
2016-08-31,6.1000,7.7500,6.0000,7.2000,243347400
2016-07-29,4.9300,6.1800,4.8000,6.1200,275350200
2016-06-30,4.8500,5.0500,4.2600,4.9000,203368500
2016-05-31,4.2800,4.7400,3.6300,4.7400,221798200
2016-04-29,3.4600,4.3700,2.7000,4.2800,214984500
2016-03-31,2.7200,4.0200,2.5800,3.3300,65051900
2016-02-29,1.9000,2.7200,1.8000,2.6300,53519700
2016-01-29,6.1200,6.1800,1.3300,1.8900,84705300
2015-12-30,4.4087,6.4000,4.2462,6.2400,22118696
2015-11-30,5.3982,5.9373,4.3201,4.4308,19418320
2015-10-30,4.4678,6.6389,4.3127,5.4204,83819741
2015-09-30,5.7970,6.0629,4.1207,4.4382,66186729
2015-08-31,6.4986,7.2887,4.9182,5.8192,39659279
2015-07-31,9.4524,9.9694,6.3509,6.7201,64959563
2015-06-30,9.3786,10.7079,9.0094,9.3786,58815098
2015-05-29,9.8955,10.3386,8.6401,9.3048,62971472
