,open,high,low,close,volume
2019-12-19,45.0000,49.3600,43.9000,49.2400,52921000
2019-11-29,43.1700,45.0400,40.5300,45.0400,89885500
2019-10-31,45.5000,45.5000,40.4300,43.1800,134903800
2019-09-30,47.0000,48.0500,43.1800,45.4600,95115400
2019-08-30,44.5000,47.7800,42.6100,47.0400,97123700
2019-07-31,40.9800,44.4400,40.4300,44.0000,76016400
2019-06-28,38.1400,41.5700,37.2400,40.9800,72026000
2019-05-31,36.2900,38.4000,34.4600,38.0400,80197000
2019-04-30,33.3300,36.9600,30.3500,36.2000,124349200
2019-03-29,34.5000,35.4000,30.8200,33.0600,79632700
2019-02-28,33.5000,35.6700,31.0200,34.5500,131701900
2019-01-31,29.7500,34.0000,28.4500,33.3000,113353300
2018-12-28,27.4000,29.7500,25.9100,29.7500,80448700
2018-11-30,28.8000,29.4000,26.2100,26.9100,84417900
2018-10-31,22.7700,28.7500,21.8500,28.7500,159251400
2018-09-28,21.3300,23.8000,20.6700,22.7500,74171700
2018-08-31,23.7900,25.6800,21.1400,21.5300,104888500
2018-07-31,23.6100,25.9600,22.3500,23.7500,82409300
2018-06-29,25.1500,26.7300,20.8600,23.7300,115258300
2018-05-30,27.6000,27.6800,23.3700,24.7300,113812000
2018-04-30,28.7200,29.9600,27.2700,27.8900,89583300
2018-03-29,25.7100,30.0900,25.1200,28.7200,93687800
2018-02-28,25.8300,26.4400,23.5200,25.9400,59335400
2018-01-31,22.3400,26.1400,22.1100,25.7800,50155000
2017-12-29,20.0000,22.3700,20.0000,22.0600,45776900
2017-11-30,19.5033,21.2300,18.3700,20.0300,81603900
2017-10-31,19.3200,20.3767,18.6333,19.2900,98085000
2017-09-29,20.1000,21.6633,19.1733,19.2367,92603700
2017-08-31,17.3333,20.1800,16.9000,19.8500,80066100
2017-07-31,15.1267,17.4867,14.8567,17.3000,69776400
2017-06-30,14.5667,15.2367,13.9833,15.0500,79840500
2017-05-31,14.8667,16.1500,13.0700,14.4933,103378140
2017-04-28,13.1905,15.1492,13.1683,15.0159,77047425
2017-03-31,12.2191,14.0603,11.8730,13.2286,94876740
2017-02-24,11.8413,13.0159,11.6127,12.2317,75358080
2017-01-31,10.7619,12.4794,10.7111,11.6984,96104925
2016-12-29,10.9175,11.4508,10.0000,10.8635,81993555
2016-11-30,12.6825,12.7302,10.5714,11.0032,86237235
2016-10-31,12.5778,13.5238,12.3873,12.5809,68971455
2016-09-30,12.7302,13.8032,12.3937,12.5905,57022245
2016-08-31,12.7936,13.9429,12.3175,12.7968,52837470
2016-07-29,10.9079,12.7936,10.3937,12.7936,70232715
2016-06-30,10.6667,11.6984,10.0571,10.9524,82189800
2016-05-31,10.5079,11.7746,10.1556,10.5556,67649085
2016-04-29,9.3587,11.2064,9.3365,10.4762,45837225
2016-03-31,7.4127,9.8095,7.3619,9.4286,96432525
2016-02-29,7.0794,7.7048,6.6349,7.2984,53872875
2016-01-29,7.6191,7.8603,6.3429,6.9619,68165055
2015-12-30,8.4984,8.5079,7.5302,7.8794,54525870
2015-11-30,8.2571,9.4222,8.2571,8.4349,56185290
2015-10-30,7.8159,8.5651,7.3937,8.2540,75158685
2015-09-30,7.0349,8.0825,6.5683,7.7587,101421810
2015-08-31,8.8571,8.8921,6.8254,7.1143,78371055
2015-07-31,9.7683,10.1651,8.6222,8.8571,61625970
2015-06-30,10.1048,10.5809,9.7048,9.7365,54386010
2015-05-29,11.2222,11.2222,10.0667,10.1079,64502550
2015-04-30,11.6476,12.5016,10.8476,11.1492,69055245
2015-03-31,11.0825,11.7333,10.4413,11.6508,53280675
2015-02-27,11.1460,11.3619,10.1651,11.1111,54827640
2015-01-30,10.9524,12.0159,10.4603,11.1175,56180565
2014-12-30,10.9810,11.7651,9.8984,11.2730,209475557
2014-11-28,11.3333,11.8349,10.2540,11.0190,55942110
2014-10-31,11.0349,12.5048,10.1587,11.3397,88878510
2014-09-30,12.4857,12.8730,10.9460,11.2444,57901725
2014-08-29,11.5270,12.8794,11.3492,12.6540,66030300
2014-07-31,11.5778,12.0984,11.3238,11.4667,43216425
2014-06-30,11.2984,12.1270,10.8698,11.5682,46236015
2014-05-30,10.5079,11.8698,10.4921,11.2698,57344175
2014-04-30,10.6032,11.3460,10.1873,10.5873,66521700
2014-03-31,9.8444,10.6032,9.5238,10.5175,68466510
2014-02-28,9.6825,10.6063,9.4222,9.8921,108691065
2014-01-31,10.6095,10.6349,9.6191,9.6825,123693885
2013-12-30,10.6762,10.8984,10.1746,10.5365,75357135
2013-11-29,11.3206,11.3968,10.3397,10.7270,58363830
2013-10-31,10.5079,11.7238,10.3079,11.6508,76892445
2013-09-30,10.0000,10.9619,9.9524,10.4540,71261820
2013-08-30,10.3968,10.7238,9.5714,9.9968,69782580
2013-07-31,10.1778,10.5270,9.3651,10.3175,71979705
2013-06-28,10.4032,10.8857,9.1619,10.0444,89983530
2013-05-31,10.6349,11.4254,10.3333,10.4159,118830600
2013-04-30,10.8843,11.0779,9.9290,10.7876,72181559
2013-03-28,11.2683,11.7158,10.8602,10.9146,76140303
2013-02-28,11.1383,11.6886,10.8481,11.3500,86155745
2013-01-31,11.6100,11.7551,10.6183,11.0658,72674044
