,open,high,low,close,volume
2019-12-19,44.2000,46.8400,44.0000,46.8100,19763800
2019-11-29,45.0000,46.6000,43.9000,44.1000,14943500
2018-07-20,28.8500,34.6500,28.8000,34.0200,20019900
2018-06-29,34.2400,36.4800,28.0200,29.3000,61565700
2018-05-30,37.7000,37.9500,32.8500,33.7800,36893800
2018-04-30,39.8200,40.8000,37.2400,38.1100,34832100
2018-03-29,36.5000,40.0000,35.9500,39.9100,32465500
2018-02-28,35.7500,38.8800,34.2200,36.7700,30553200
2018-01-31,32.3000,37.2000,31.6200,35.8400,32326000
2017-12-29,28.8600,33.2100,28.5700,31.8800,34068900
2017-11-30,28.9700,30.8700,28.2700,28.9000,33469000
2017-10-31,27.5700,31.8300,27.2300,28.6100,48463700
2017-09-29,28.1100,29.5500,27.1400,27.6400,40520400
2017-08-31,25.5600,28.7000,25.4400,28.0400,30148000
2017-07-31,25.1600,27.1100,24.9400,25.5100,20861400
2017-06-30,25.4400,26.3000,23.8100,25.0000,30576500
2017-05-31,27.4600,29.2400,22.7500,25.4400,47840200
2017-04-28,27.8500,28.0000,23.7100,27.4200,56112600
2017-03-31,34.9300,35.0900,27.4200,27.6500,43038100
2017-02-24,31.4100,36.1300,31.1900,34.3600,21254900
2017-01-31,29.5300,32.6900,28.6000,31.3100,23403300
2016-12-29,25.9100,29.8000,25.1500,29.5300,25816500
2016-11-30,26.4000,29.4700,24.3300,28.1600,31863900
2016-10-31,21.8200,26.3500,21.8000,26.3000,25806800
2016-09-30,22.5600,23.4500,21.3900,22.0000,24262800
2016-08-31,20.3800,23.4100,19.7700,22.6800,23411300
2016-07-29,18.3100,20.6500,17.7400,20.3800,20510800
2016-06-30,17.3900,18.6200,16.7700,18.1800,22265700
2016-05-31,18.7100,19.4600,17.1900,17.3800,26580100
2016-04-29,17.3400,18.6500,16.5800,18.5600,21635900
2016-03-31,15.1900,18.6300,14.9000,16.9700,57288400
2016-02-29,12.8800,15.0700,12.4100,14.9500,24219400
2016-01-29,15.2700,15.4300,12.3300,13.0500,23497300
2015-12-30,14.7600,16.8500,14.4400,16.0400,36918600
2015-11-30,13.7000,16.2000,13.7000,14.8000,19182100
2015-10-30,12.7000,15.5800,12.6200,13.8300,26241700
2015-09-30,14.1900,15.7700,12.3100,12.6100,26081500
2015-08-31,15.8900,16.5300,12.8600,14.4300,22576100
2015-07-31,16.7900,17.6900,15.4200,15.9500,14856000
2015-06-30,15.8600,17.2800,15.3200,16.7900,21470900
2015-05-29,16.5000,17.9900,15.5900,15.7600,14811600
2015-04-30,14.2800,16.3000,14.1300,16.1100,14785300
2015-03-31,14.1400,14.8200,12.8800,13.9600,17320400
2015-02-27,12.4100,14.7000,12.2500,14.1600,14524100
2015-01-30,13.2500,13.7700,12.2100,12.4300,22902200
2014-12-30,14.2000,14.6400,12.3000,13.2800,62352108
2014-11-28,12.7000,15.8000,12.2700,14.5100,83023000
2014-10-31,15.8100,16.0500,12.4000,13.3500,136401800
2014-09-30,15.5000,16.4600,15.3600,15.8300,48726400
2014-08-29,15.1300,15.9300,14.7100,15.4700,37731700
2014-07-31,15.2200,15.8000,14.5500,15.2400,36613100
2014-06-30,15.2000,16.4900,14.8300,15.1200,46593300
2014-05-30,14.9000,15.4200,14.6500,15.0600,57835000
2014-04-30,12.6500,15.3700,12.1500,14.9000,86378800
2014-03-31,11.3300,12.6000,10.8900,12.5700,65268500
2014-02-28,11.2800,11.9200,10.8400,11.4500,59128000
2014-01-31,13.9800,14.4500,11.2100,11.2600,103420800
2013-12-30,14.7500,15.0000,13.6500,13.7100,39003600
2013-11-29,15.5000,15.6800,14.1900,14.9000,48127200
2013-10-31,15.1500,15.7400,14.8600,15.4300,54680700
2013-09-30,13.7800,16.0100,13.3700,14.9400,76676700
2013-08-30,13.6800,14.4000,13.1000,13.6400,67391300
2013-07-31,13.3000,14.3600,12.6400,13.6100,72449900
2013-06-28,15.1300,15.3400,13.1700,13.4500,76974800
2013-05-31,14.5200,15.7100,14.0900,15.3900,79196200
2013-04-30,14.6200,14.8800,13.7400,14.7000,64251200
2013-03-28,14.2600,16.1900,14.2500,14.6100,77841100
2013-02-28,14.7100,15.0500,13.9700,14.3800,53768200
2013-01-31,15.2400,16.0700,14.0600,14.6500,94045500
2012-12-28,14.5000,15.0900,13.9300,14.9700,59501900
2012-11-30,13.8800,14.8300,13.5900,14.5000,37472200
2012-10-31,15.1200,15.4800,13.6700,13.9500,47190100
2012-09-28,15.4700,17.3200,14.7700,14.8200,54483600
2012-08-31,15.5900,16.8900,15.0500,15.5000,46474400
2012-07-31,15.2300,15.9400,13.6000,15.5100,53984800
2012-06-29,15.8400,16.8000,15.0400,15.4000,55434900
2012-05-31,15.6500,17.0400,15.1100,16.3000,74094700
2012-04-30,16.7900,17.1600,15.1500,15.5400,57878200
2012-03-30,18.7200,19.7000,16.7200,16.8000,54151500
2012-02-29,16.2000,18.7400,16.1100,18.4500,58591200
2012-01-31,15.2500,17.0500,14.9600,16.2000,45259100
2011-12-29,14.2900,15.5100,14.1000,14.9600,43890700
2011-11-30,14.5200,15.4000,12.5100,13.9100,66568600
2011-10-31,13.5000,16.1500,12.7200,16.0000,52850500
2011-09-30,15.6600,16.4700,13.6700,13.7200,55114900
2011-08-31,14.6400,15.4800,12.9500,15.3100,91705900
2011-07-29,18.2700,18.3200,14.0200,14.2200,71039533
2011-06-30,17.7700,18.3000,16.9000,18.3000,49216200
2011-05-31,18.1400,18.8000,17.1100,17.8500,37675117
2011-04-29,19.9000,20.0000,17.7200,18.1000,49529900
2011-03-31,20.0900,20.3200,18.8200,19.7000,29606576
2011-02-28,19.5300,20.7500,18.0500,20.0900,38909425
2011-01-31,22.7000,22.9500,19.2200,19.3300,41496000
2010-12-30,22.6000,23.7100,21.6000,22.5500,37943100
2010-11-30,24.2200,26.0500,22.0800,22.1500,45582000
2010-10-29,23.0900,25.5000,22.8800,24.1200,40416400
2010-09-30,22.4800,23.0200,20.9100,22.8000,36026171
2010-08-31,23.4000,23.5700,21.2800,22.3000,43184085
2010-07-30,18.6200,23.6100,17.9300,23.2400,41167900
2010-06-30,18.9000,21.0000,18.3100,18.5300,15874891
2010-05-31,20.0000,20.7700,18.4300,19.2900,39540761
2010-04-30,22.0000,22.4800,18.6600,20.0900,38482259
2010-03-31,21.3500,22.4300,20.8600,21.9800,38550600
2010-02-26,22.4900,22.8400,19.6000,21.3900,36990700
2010-01-29,23.7000,24.0500,21.5600,22.5200,25991700
2009-12-30,23.3200,24.5600,22.2900,23.9000,37738600
2009-11-30,20.5200,23.4100,20.1500,23.3500,52165200
