,open,high,low,close,volume
2019-12-19,57.6600,61.9500,56.5100,59.6200,43760700
2019-11-29,54.5200,57.4200,50.6300,57.4000,45880300
2019-10-31,49.8000,55.9700,48.3400,54.6200,65640200
2019-09-30,51.5500,52.7300,45.9100,49.6000,50354000
2019-08-30,53.4700,58.1400,49.7100,51.7000,67201100
2019-07-31,47.4500,54.0800,46.5400,53.4000,45756900
2019-06-28,44.4200,50.7000,43.8200,47.2700,50305900
2019-05-31,46.5000,48.8600,37.8400,44.2100,91885900
2019-04-30,43.0000,48.2400,38.4300,47.0000,63674200
2019-03-29,39.2800,44.7200,37.8800,42.0000,50070300
2019-02-28,43.3700,44.4600,35.2700,39.3500,74893800
2019-01-31,31.9600,46.3400,31.2800,43.3700,77183800
2018-12-28,28.7100,31.5400,28.0400,31.5000,37616400
2018-11-30,28.0000,29.0300,26.3500,28.2300,38367600
2018-10-31,23.6300,29.5000,23.2200,27.9500,74395400
2018-09-28,23.9500,25.0000,23.2100,23.5900,23639400
2018-08-31,25.0000,27.0600,24.0300,24.4000,30441400
2018-07-31,23.1700,26.3500,22.8500,25.0000,24242200
2018-06-29,25.8600,26.3500,21.9600,23.2900,34103300
2018-05-30,34.8900,34.8900,25.4400,26.1500,43616200
2018-04-30,34.9900,36.2100,32.7100,35.1600,30298900
2018-03-29,37.7800,39.5000,33.8600,35.0000,38387200
2018-02-28,36.7100,39.2200,32.8100,37.6500,22534400
2018-01-31,34.5700,37.3400,32.8900,36.3800,19584700
2017-12-29,32.6600,34.6700,31.8300,34.3300,22021300
2017-11-30,30.1000,34.2500,28.2000,32.7000,39196600
2017-10-31,33.5000,35.2700,29.5900,29.8000,30514100
2017-09-29,32.1500,34.4300,32.0500,33.2800,26215300
2017-08-31,33.5700,34.4900,30.0500,32.1500,41449100
2017-07-31,31.6600,35.8100,30.9100,33.5500,27545400
2017-06-30,29.1600,32.0000,28.6800,31.6600,31413700
2017-05-31,29.3000,32.5300,25.6100,29.0000,43767800
2017-04-28,32.8600,34.4000,29.0200,29.2700,39156000
2017-03-31,33.2200,34.0000,30.0600,32.5900,37610700
2017-02-24,31.8000,34.7000,31.2000,32.8800,29871100
2017-01-31,28.4500,33.1500,27.2700,31.3500,27465600
2016-12-29,28.9800,29.2900,26.2100,28.7900,30133600
2016-11-30,34.0000,34.0000,26.2700,29.9600,46286000
2016-10-31,30.0900,33.8200,30.0000,33.7000,26569200
2016-09-30,29.5100,32.0600,28.2900,30.1900,26690100
2016-08-31,30.8000,30.9300,28.1700,29.3900,34958500
2016-07-29,29.2200,31.5200,28.3800,30.8000,32629900
2016-06-30,25.7200,29.4700,25.5800,29.0800,55673100
2016-05-31,26.0100,27.7500,25.4100,25.5900,50526400
2016-04-29,23.7400,26.7100,22.4700,26.4000,36797600
2016-03-31,22.8800,24.6000,21.9600,23.9800,57009500
2016-02-29,21.5000,23.4500,20.5200,22.6100,35039300
2016-01-29,18.5500,21.4900,16.2700,21.3200,29471300
2015-12-30,18.8100,19.6200,17.2900,18.9300,28827900
2015-11-30,17.1500,20.7700,16.9500,18.9200,22796000
2015-10-30,15.8600,18.2300,15.5500,16.7400,25946800
2015-09-30,15.2300,17.4000,14.5700,15.8400,32022000
2015-08-31,17.4700,18.0800,13.9300,15.7300,21420800
2015-07-31,16.3900,19.2200,15.9000,17.4700,29496500
2015-06-30,18.4200,18.8700,15.5200,16.5000,33561600
2015-05-29,18.0500,19.9700,17.4600,18.5500,24019500
2015-04-30,17.7100,18.9700,17.0300,17.8000,27455500
2015-03-31,16.7900,20.0000,15.5900,17.7100,27869200
2015-02-27,13.3000,17.6000,12.9500,16.9400,23192200
2015-01-30,17.1500,17.7900,12.6300,13.3000,42028700
2014-12-30,18.7100,18.8800,15.8000,17.0100,79608007
2014-11-28,19.4700,20.9900,17.9600,19.2900,19078600
2014-10-31,19.7400,21.0000,17.7200,19.3900,41866200
2014-09-30,21.5200,22.0500,19.5000,19.7800,31388300
2014-08-29,19.9200,21.4700,19.2000,21.4700,32373300
2014-07-31,23.6900,24.3700,20.0700,20.0900,27132300
2014-06-30,21.8500,24.5600,21.5100,23.5500,20295600
2014-05-30,21.2900,22.9700,20.9500,21.8100,24547200
2014-04-30,21.3100,22.7500,19.2800,21.0500,38327300
2014-03-31,21.6900,21.7900,19.0100,21.1000,36611200
2014-02-28,21.6000,24.4900,20.5300,21.5000,35565200
2014-01-31,26.2000,26.4400,21.6000,22.2600,25759200
2013-12-30,24.0800,26.9300,22.4600,26.4600,26922600
2013-11-29,24.0700,25.7700,22.8600,24.3600,28749200
2013-10-31,21.9900,24.6800,20.9700,23.7400,29803000
2013-09-30,19.9600,23.3000,19.4100,21.6400,43271600
2013-08-30,23.5400,23.6600,19.3500,19.5900,37333800
2013-07-31,22.2000,24.2900,20.9000,23.4000,30247100
2013-06-28,26.8800,27.2200,20.0100,22.6500,47875200
2013-05-31,27.8700,28.9400,25.4000,26.8800,41336200
2013-04-30,31.3500,31.7533,27.3700,28.2000,42005100
2013-03-28,31.7500,32.3000,28.9000,31.3500,31490700
2013-02-28,29.6267,32.4000,29.6267,31.9900,30784800
2013-01-31,29.0000,30.8467,27.8333,29.9000,34147800
2012-12-28,29.1633,29.3267,27.5833,28.9567,22185300
2012-11-30,28.5533,30.7367,25.3500,28.8333,42554400
2012-10-31,27.6567,30.2900,27.3500,28.6600,29649300
2012-09-28,28.7500,30.0467,25.1800,27.6633,24356400
2012-08-31,29.0067,30.9200,27.8600,28.7000,23274900
2012-07-31,25.5667,29.4300,24.7733,29.1600,19015200
2012-06-29,23.6133,26.4567,22.8567,25.6667,17490300
2012-05-31,24.5433,25.6000,22.8767,23.6700,23793000
2012-04-30,23.3267,25.0133,22.6033,24.9467,17571600
2012-03-30,21.6633,23.2967,21.5300,23.2200,18300600
2012-02-29,19.5333,21.6600,19.2100,21.6167,25480200
2012-01-31,17.2333,19.4467,16.8067,19.4467,20383500
2011-12-29,16.9500,17.6333,15.9300,17.3433,13665000
2011-11-30,15.1367,17.0000,15.1333,16.6633,12163200
2011-10-31,14.5467,15.9000,14.2900,15.2700,14195100
2011-09-30,15.3667,15.9833,14.0400,14.5667,15377400
2011-08-31,15.4167,15.5467,13.0000,15.3333,17550300
2011-07-29,15.4467,16.1600,15.1467,15.4000,13114278
2011-06-30,16.1167,16.5200,14.8933,15.4933,17924100
2011-05-31,15.3133,16.5667,15.1233,16.0967,15151305
2011-04-29,15.1833,16.0000,15.0033,15.1900,13266900
2011-03-31,13.7033,15.4867,13.5067,15.1833,13348455
2011-02-28,13.4100,14.4667,13.2433,13.5900,11368305
2011-01-31,14.6000,15.2533,13.3367,13.6000,21381900
2010-12-30,12.9267,14.8267,12.8700,14.1967,13107600
2010-11-30,12.8367,14.3367,12.6300,12.6633,13797600
2010-10-29,12.6467,14.0300,12.3800,12.7167,16846800
2010-09-30,11.1333,12.6333,11.0367,12.6333,11524659
2010-08-31,11.8733,11.9800,10.9900,11.1367,14410824
2010-07-30,12.3200,12.5500,11.0933,11.7233,21663249
2010-06-30,11.4067,12.8500,11.0667,12.5000,24366792
2010-05-31,11.3333,11.8500,10.6700,11.6667,29968356
2010-04-30,10.7367,11.7600,10.5600,11.1267,18431295
2010-03-31,10.2133,10.7533,10.0333,10.6400,19325400
2010-02-26,10.4500,10.8967,10.0400,10.1167,15401700
2010-01-29,11.5500,11.5500,10.0500,10.4500,23155200
2009-12-30,10.6633,11.4600,10.5200,11.4600,15255900
2009-11-30,11.0000,11.8367,10.2333,10.5333,18577500
