,open,high,low,close,volume
2019-12-19,34.5000,39.4700,30.3000,39.1600,36605800
2019-11-29,36.9400,37.1700,34.3700,34.7600,10033400
2019-10-31,38.1900,38.4500,36.2000,37.0000,15202900
2019-09-30,36.6900,39.6000,36.1900,38.0000,14184400
2019-08-30,39.5100,39.7500,34.8700,37.0000,24719700
2019-07-31,42.2400,42.6500,34.7200,39.4300,25771300
2019-06-28,47.6500,49.4000,40.3800,42.0000,30692200
2019-05-31,48.8000,49.7700,38.6200,47.6500,23039800
2019-04-30,47.5300,52.6400,46.5000,49.0000,18542700
2019-03-29,48.3400,50.8900,45.0800,47.7000,16269700
2019-02-28,45.1800,50.8500,43.5900,48.0000,19518700
2019-01-31,42.9200,45.4600,40.7100,44.7000,16735500
2018-12-28,44.3300,46.5500,41.2500,43.7700,13548300
2018-11-30,37.2000,44.2000,36.0000,44.2000,17660700
2018-10-31,45.8000,55.5000,30.8600,37.2500,40489900
2018-09-28,51.4000,53.7200,39.5400,46.0000,25547000
2018-08-31,49.2400,57.9800,49.0100,51.9100,15603900
2018-07-31,51.2000,57.6800,50.0000,51.2000,14079000
2018-06-29,59.2000,60.4000,42.2100,52.0000,25174700
2018-05-30,72.3600,75.8000,55.1700,58.2700,20495900
2018-04-30,69.0300,72.7500,65.5100,72.0000,17296300
2018-03-29,85.0000,85.7400,66.3200,69.5000,30983600
2018-02-28,82.7100,84.6300,75.8000,84.2800,12705500
2018-01-31,77.0000,82.9800,74.4800,82.1500,13085100
2017-12-29,75.3500,79.3900,70.8800,75.9000,13749500
2017-11-30,85.5000,86.2800,72.0500,75.0000,13751900
2017-10-31,80.5200,95.0600,79.8800,85.5000,13875700
2017-09-29,69.5500,82.0400,69.2700,80.4800,17157700
2017-08-31,65.4400,70.3200,64.2000,69.5100,15193000
2017-07-31,60.4100,67.6000,59.8600,65.0900,10896200
2017-06-30,63.0000,68.1500,58.5800,60.3800,15817200
2017-05-31,68.5300,71.7300,57.3300,63.0000,19386500
2017-04-28,62.6700,70.0100,62.0000,69.0400,12694400
2017-03-31,61.9000,64.3900,53.1900,63.4000,15062200
2017-02-24,52.0000,63.3800,50.1200,61.7200,14885700
2017-01-31,44.4400,52.9400,44.0000,52.0000,11158600
2016-12-29,47.8500,47.8500,38.7600,44.7300,14151900
2016-11-30,59.4600,59.4600,43.9700,47.8500,13190200
2016-10-31,54.0000,59.5700,53.3100,58.2600,8442900
2016-09-30,50.5000,54.7400,49.2600,53.9700,9185500
2016-08-31,51.9600,53.2200,47.0100,50.3000,12186400
2016-07-29,48.1800,54.5300,45.5300,51.9600,13909200
2016-06-30,40.3600,50.3400,39.2800,47.9900,14610500
2016-05-31,37.8000,43.3000,36.4500,40.3600,17357300
2016-04-29,39.6600,43.5300,37.8600,39.9000,10917600
2016-03-31,29.7700,41.1800,29.5600,37.9900,25001600
2016-02-29,28.6700,32.9000,26.9800,29.1200,16646500
2016-01-29,33.9000,35.6600,25.6700,28.4800,18520300
2015-12-30,35.5000,38.9300,33.2600,34.8000,15236000
2015-11-30,30.0100,37.7000,29.5100,35.7900,18390100
2015-10-30,29.9000,33.5500,28.6700,30.1000,23888400
2015-09-30,47.0800,47.2800,26.2800,30.0500,30650400
2015-08-31,55.1400,57.9700,46.4100,47.8400,16682500
2015-07-31,53.0000,58.0000,51.7200,54.9100,12714200
2015-06-30,50.7000,52.7100,50.2900,52.7000,11208900
2015-05-29,51.1500,53.6800,50.1000,50.7100,30316900
2015-04-30,51.0000,56.4800,50.6000,50.9100,30426300
2015-03-31,47.3800,50.6700,45.5500,50.5000,13577900
2015-02-27,42.0000,48.1800,42.0000,47.0500,12752300
2015-01-30,46.8000,48.8500,42.2500,42.2600,13052600
2014-12-30,47.0100,48.3200,44.8300,46.0500,35751777
2014-11-28,42.4000,48.2100,42.1800,47.0000,15911300
2014-10-31,38.9000,44.0500,37.1000,42.8000,17736900
2014-09-30,39.9300,43.8600,38.0900,38.8000,10724700
2014-08-29,39.5000,39.8900,36.9400,39.6000,20110100
2014-07-31,47.0000,47.6600,35.8900,39.5000,12318800
2014-06-30,41.7900,47.5000,40.7000,46.9800,11846700
2014-05-30,41.0900,44.3300,38.5900,40.9600,23247000
2014-04-30,36.0300,43.2100,35.9200,42.2500,18607400
2014-03-31,36.5300,38.7500,35.4500,36.2500,11376400
2014-02-28,33.6800,40.9000,33.2000,36.5000,13554900
2014-01-31,32.4600,36.5200,32.2300,33.6300,12386000
2013-12-30,32.4900,34.1100,30.6400,32.4900,11172200
2013-11-29,30.0000,34.6000,29.5600,32.7500,19888000
2013-10-31,28.3300,29.8000,26.0600,29.3900,9260000
2013-09-30,27.3800,29.4600,25.8600,28.8700,11730400
2013-08-30,28.4900,29.3000,23.5000,27.5000,9112600
2013-07-31,24.6600,28.3800,22.4800,28.0000,9721300
2013-06-28,24.8500,27.0100,23.6200,24.5000,7718400
2013-05-31,22.7000,25.9900,22.1500,24.9000,8681800
