,open,high,low,close,volume
2019-12-19,38.5600,40.3400,37.6400,39.7400,58485300
2019-11-29,33.0000,39.5000,33.0000,38.5600,144316200
2019-10-31,33.6500,35.8800,31.5700,32.6400,118727300
2019-09-30,29.0500,34.3100,28.4100,33.6500,152377400
2019-08-30,30.6700,33.3000,27.5500,29.0800,189629600
2019-07-31,32.7000,35.1600,30.3700,30.6700,173371100
2019-06-28,32.2800,35.0000,29.1700,32.8500,152891200
2019-05-31,40.9500,44.1600,31.8500,32.0800,180542100
2019-04-30,46.2600,48.3800,40.2500,40.7300,98335900
2019-03-29,47.8800,49.3500,43.8000,46.5500,103900900
2019-02-28,46.2200,50.5000,44.7100,47.6600,103338200
2019-01-31,37.9500,49.7900,35.6200,46.0000,173022400
2018-12-28,41.5000,41.8100,35.7000,38.0800,90684000
2018-11-30,37.8500,42.0000,33.7000,40.8900,107897700
2018-10-31,48.2700,48.2700,35.9000,37.8500,130685400
2018-09-28,48.2100,55.2000,46.7100,48.0800,96417700
2018-08-31,44.6600,51.4300,41.6800,47.3100,111327600
2018-07-31,44.9700,48.1500,39.6300,44.5500,80219500
2018-06-29,43.4000,54.7100,42.3000,44.9700,110670700
2018-05-30,41.5500,47.8400,39.0900,43.1000,109675500
2018-04-30,33.4000,42.2000,32.7700,41.0600,92245700
2018-03-29,21.9600,34.7600,21.2500,33.3600,182777100
2018-02-28,20.6800,23.4700,19.3000,21.7500,70259400
2018-01-31,18.6200,21.8000,18.4100,20.6600,71058300
2017-12-29,17.3000,19.2800,17.0300,18.6900,52593100
2017-11-30,21.1200,21.3200,17.1000,17.5100,46209900
2015-07-01,20.0100,20.0100,20.0100,20.0100,0
2015-06-30,20.0100,20.0100,20.0100,20.0100,0
2015-05-29,20.0100,20.0100,20.0100,20.0100,0
2015-04-30,20.0100,20.0100,20.0100,20.0100,0
2015-03-31,20.0100,20.0100,20.0100,20.0100,0
2015-02-27,20.0100,20.0100,20.0100,20.0100,0
2015-01-30,20.0100,20.0100,20.0100,20.0100,0
2014-12-30,20.0100,20.0100,20.0100,20.0100,0
2014-11-28,20.0100,20.0100,20.0100,20.0100,0
2014-10-31,20.0100,20.0100,20.0100,20.0100,0
2014-09-30,20.0100,20.0100,20.0100,20.0100,0
2014-08-29,20.0100,20.0100,20.0100,20.0100,0
2014-07-31,20.0100,20.0100,20.0100,20.0100,0
2014-06-30,20.0100,20.0100,20.0100,20.0100,0
2014-05-30,20.0100,20.0100,20.0100,20.0100,0
2014-04-30,20.0100,20.0100,20.0100,20.0100,0
2014-03-31,20.0100,20.0100,20.0100,20.0100,0
2014-02-28,20.0100,20.0100,20.0100,20.0100,0
2014-01-31,20.0100,20.0100,20.0100,20.0100,0
2013-12-30,20.0100,20.0100,20.0100,20.0100,0
2013-11-29,20.0100,20.0100,20.0100,20.0100,0
2013-10-31,20.0100,20.0100,20.0100,20.0100,0
2013-09-30,20.0100,20.0100,20.0100,20.0100,0
2013-08-30,20.0100,20.0100,20.0100,20.0100,0
2013-07-31,20.0100,20.0100,20.0100,20.0100,0
2013-06-28,20.0100,20.0100,20.0100,20.0100,0
2013-05-31,20.0100,20.0100,20.0100,20.0100,0
2013-04-30,20.0100,20.0100,20.0100,20.0100,0
2013-03-28,20.0100,20.0100,20.0100,20.0100,0
2013-02-28,20.0100,20.0100,20.0100,20.0100,0
2013-01-31,20.0100,20.0100,20.0100,20.0100,0
2012-12-28,20.0100,20.0100,20.0100,20.0100,0
2012-11-30,20.0100,20.0100,20.0100,20.0100,0
2012-10-31,20.0100,20.0100,20.0100,20.0100,0
2012-09-28,20.0100,20.0100,20.0100,20.0100,0
2012-08-31,20.0100,20.0100,20.0100,20.0100,0
2012-07-31,20.0100,20.0100,20.0100,20.0100,0
2012-06-29,20.0100,20.0100,20.0100,20.0100,0
2012-05-31,20.0100,20.0100,20.0100,20.0100,0
2012-04-30,20.0100,20.0100,20.0100,20.0100,0
2012-03-30,20.0100,20.0100,20.0100,20.0100,0
2012-02-29,20.0100,20.0100,20.0100,20.0100,0
2012-01-31,20.0100,20.0100,20.0100,20.0100,0
2011-12-29,20.0100,20.0100,20.0100,20.0100,0
2011-11-30,20.0100,20.0100,20.0100,20.0100,0
2010-02-23,16.0080,16.0080,16.0080,16.0080,0
2010-01-29,16.0080,16.0080,16.0080,16.0080,0
2009-12-29,16.0080,16.0080,16.0080,16.0080,0
2009-11-30,16.0080,16.0080,16.0080,16.0080,0
2009-10-30,16.0080,16.0080,16.0080,16.0080,0
2009-09-30,16.0080,16.0080,16.0080,16.0080,0
2009-08-31,16.0080,16.0080,16.0080,16.0080,0
2009-07-31,16.0080,16.0080,16.0080,16.0080,0
2009-06-30,16.0080,16.0080,16.0080,16.0080,0
2009-05-29,16.0080,16.0080,16.0080,16.0080,0
2009-04-30,16.0080,16.0080,16.0080,16.0080,0
2009-03-31,16.0080,16.0080,16.0080,16.0080,0
2009-02-27,16.0080,16.0080,16.0080,16.0080,0
2009-01-30,16.0080,16.0080,16.0080,16.0080,0
2008-12-30,16.0080,16.0080,16.0080,16.0080,0
2008-11-28,16.0080,16.0080,16.0080,16.0080,0
2007-06-21,16.0080,16.0080,16.0080,16.0080,0
