,open,high,low,close,volume
2019-12-19,13.5000,14.9800,13.3900,14.7500,66667300
2019-11-29,11.4800,14.0000,11.3600,13.5400,98651700
2019-10-31,11.8600,12.0000,11.2300,11.4200,77288000
2019-09-30,12.2700,12.3800,11.5000,11.9100,74298500
2019-08-30,12.2900,12.7000,11.5700,12.3000,126336300
2019-07-31,11.8200,12.5500,11.3600,12.2200,120465300
2019-06-28,11.0000,12.0600,10.5600,11.6300,115119000
2019-05-31,11.7200,11.7200,10.4300,11.0000,106997100
2019-04-30,11.7800,12.5700,11.5900,11.6900,61726700
2019-03-29,11.9000,12.9700,11.3500,11.7900,72642400
2019-02-28,12.4900,12.6400,11.4400,11.8200,99093500
2019-01-31,11.8500,13.0800,11.7000,12.4000,92778400
2018-12-28,12.0300,12.6900,11.4300,11.8500,54733500
2018-11-30,11.6000,13.0400,11.0500,11.8600,112488300
2018-10-31,11.6700,12.6600,10.5300,11.5900,106979500
2018-09-28,12.1000,12.2800,11.4900,11.7300,82666900
2018-08-31,12.2800,12.6300,11.2500,12.2900,101406100
2018-07-31,12.9500,13.6900,12.3700,12.4000,91023100
2018-06-29,13.4500,14.0500,12.5700,13.1800,90285800
2018-05-30,15.7200,16.2200,12.7000,13.4100,129439000
2018-04-30,14.3000,16.0800,13.9800,15.9500,52937300
2018-03-29,14.2500,14.9300,13.8000,14.4000,67887400
2018-02-28,13.6000,14.5000,13.0100,14.1000,71276200
2018-01-31,13.1700,13.7000,12.5800,13.5000,72084200
2017-12-29,11.5900,13.1000,11.5200,13.1000,52428800
2017-11-30,12.1700,12.6200,11.3600,11.8000,54212700
2017-10-31,11.5400,12.5500,11.5000,12.1300,60861300
2017-09-29,11.3500,12.0900,11.0300,11.5500,63458300
2017-08-31,10.6300,11.6500,10.5900,11.2800,60585000
2017-07-31,9.8500,10.9000,9.7200,10.6400,65034200
2017-06-30,9.9200,9.9900,9.2000,9.7900,84017500
2017-05-31,10.4300,10.4700,8.3200,9.9200,64618300
2017-04-28,10.1000,10.6400,9.9700,10.2600,47598300
2017-03-31,9.8800,10.3900,9.6800,10.1000,65855800
2017-02-24,8.9800,10.0700,8.7300,9.7600,64769600
2017-01-31,7.7400,9.2300,7.6600,8.9500,63611500
2016-12-29,8.1100,8.4000,7.4600,7.8300,49057800
2016-11-30,9.0000,9.5000,7.8000,8.3000,59182500
2016-10-31,7.9000,8.8900,7.8700,8.8600,69199400
2016-09-30,8.2700,8.7900,7.6500,7.9000,65147300
2016-08-31,8.2900,8.7000,8.0000,8.3100,47481300
2016-07-29,6.8500,8.4800,6.7000,8.3100,56101000
2016-06-30,7.0500,7.2900,6.2700,6.8400,50881000
2016-05-31,7.5800,7.7600,6.5700,7.1200,46942900
2016-04-29,8.0500,8.4100,7.2100,7.6400,47873700
2016-03-31,7.0000,8.5000,6.9900,8.0100,100395700
2016-02-29,6.2000,7.0200,5.6300,6.9500,57842200
2016-01-29,6.7900,6.9300,5.7100,6.3700,46905700
2015-12-30,7.6900,7.8700,6.4800,6.8600,71148700
2015-11-30,8.5900,8.8700,7.5600,7.6500,61690700
2015-10-30,7.5600,8.7500,7.4600,8.4500,89280400
2015-09-30,8.4400,8.9200,7.4000,7.5100,86049600
2015-08-31,9.3200,9.6600,7.9000,8.8000,88133300
2015-07-31,10.2900,10.4700,8.8000,9.3900,77167400
2015-06-30,9.4200,10.7700,9.2900,10.2200,103562200
2015-05-29,9.8000,9.8000,8.6000,9.4900,81183900
2015-04-30,10.6300,10.9200,9.6100,9.7100,74102600
2015-03-31,11.9000,12.3000,10.4200,10.6300,74477100
2015-02-27,11.9300,13.1000,11.5600,11.9300,47555500
2015-01-30,11.7000,12.7100,11.2200,11.9900,54410000
2014-12-30,12.1600,13.1500,11.2000,11.6500,128708599
2014-11-28,13.6500,14.5700,12.0600,12.4200,57727700
2014-10-31,12.6400,13.7300,10.1900,13.4700,120561300
2014-09-30,12.4200,14.0900,12.2600,12.8900,105438300
2014-08-29,11.9200,13.0400,10.7400,12.5900,74951100
2014-07-31,12.9200,12.9900,11.7100,12.0200,52821600
2014-06-30,12.2200,13.7100,12.1400,12.9200,78700800
2014-05-30,12.3000,12.6900,11.6600,12.1600,97849300
