,open,high,low,close,volume
2019-12-19,21.8500,24.4000,20.8100,24.3000,93377300
2019-11-29,18.8700,22.7100,18.7000,21.8100,152319300
2019-10-31,18.5100,19.8600,18.1000,18.8700,132189900
2019-09-30,16.5100,19.2000,16.3900,18.4900,129644200
2019-08-30,20.1500,20.4400,15.0000,16.4200,143673400
2019-07-31,20.4000,21.1200,19.2800,19.8900,153155000
2019-06-28,20.7500,22.0900,19.5100,20.1000,85658600
2019-05-31,21.0000,21.9600,19.1000,20.6800,106029700
2019-04-30,23.6700,23.8450,19.9900,21.0000,124071000
2019-03-29,26.3050,27.6700,22.8600,23.5000,137832400
2019-02-28,28.6050,28.8300,25.3300,26.7050,91330400
2019-01-31,26.6000,29.3350,25.0100,28.6000,96570400
2018-12-28,24.1600,26.7400,23.2600,26.6000,83409600
2018-11-30,22.2450,24.6100,19.5000,23.6250,115318000
2018-10-31,18.6850,23.3400,18.4600,22.1250,126497800
2018-09-28,21.5000,21.8900,18.1400,18.6650,84481000
2018-08-31,20.4400,23.3750,19.7500,20.5850,99192600
2018-07-31,22.9000,23.7500,20.3000,20.3250,84625000
2018-06-29,24.9500,26.3400,21.7800,22.9750,71259400
2018-05-30,30.2250,30.4250,22.9400,25.0000,104181200
2018-04-30,35.4600,35.5600,30.0000,30.2250,59360800
2018-03-29,37.7200,37.9050,34.4000,35.4600,48536000
2018-02-28,40.7950,41.6250,37.6700,37.6700,37508000
2018-01-31,37.6550,41.1000,37.6550,40.7700,45335600
2017-12-29,35.1000,37.5000,34.4850,37.5000,43959800
2017-11-30,39.4350,39.5300,34.4200,35.1000,59123400
2017-10-31,37.4950,40.2200,37.4250,39.0500,43130800
2017-09-29,37.0000,39.4950,36.4150,37.6550,47925200
2017-08-31,37.0000,38.7900,33.4650,36.7250,89382200
2017-07-31,38.9950,39.5000,36.3000,37.0000,39300600
2017-06-30,37.6450,39.8100,37.6450,38.7600,46921400
2017-05-31,35.5000,38.4750,34.2950,37.4250,67742400
2017-04-28,35.7850,36.1150,34.5650,35.2100,40309200
2017-03-31,32.8350,36.5000,31.4500,35.8100,67893200
2017-02-24,33.2450,34.8350,32.0650,32.7000,43855800
2017-01-31,33.7150,34.5900,32.7700,33.0800,41809400
2016-12-29,34.0500,34.6500,31.8500,34.2250,52574600
2016-11-30,36.1650,36.1650,31.8200,34.5500,62801400
2016-10-31,35.5300,36.8950,35.3100,36.1650,53563600
2016-09-30,37.3700,37.3750,34.8850,35.5300,48392800
2016-08-31,37.0300,39.5250,35.2850,37.2150,56236800
2016-07-29,35.7900,37.0200,34.1500,37.0200,49939800
2016-06-30,34.3000,36.7600,32.8300,35.5550,65297000
2016-05-31,36.1150,37.0000,34.1250,34.1250,42549400
2016-04-29,34.6400,37.0000,33.8100,36.2100,33562200
2016-03-31,31.5900,36.0700,31.4000,34.9400,71567000
2016-02-29,29.4800,31.5550,27.9550,31.4250,49736000
2016-01-29,29.4200,29.9450,26.6750,29.6900,62318400
2015-12-30,31.6400,33.1000,30.2250,30.2250,60699600
2015-11-30,33.7900,35.6500,31.3650,31.3650,69104000
2015-10-30,33.7350,35.4750,33.0100,33.5000,62910400
2015-09-30,30.8650,34.2200,30.7700,33.4000,64243800
2015-08-31,34.8500,35.7550,29.0000,31.7350,72483000
2015-07-31,32.8000,35.5800,32.0050,35.1400,54772600
2015-06-30,34.4200,35.3250,32.4400,32.8900,52925000
2015-05-29,34.7500,37.1850,34.3000,34.4100,68590800
2015-04-30,32.7000,34.6750,32.2350,34.6750,67487400
2015-03-31,29.5400,32.4950,28.1750,32.4750,94307200
2015-02-27,26.5050,30.5000,26.3100,29.7450,61264800
2015-01-30,25.5500,26.9000,24.2650,26.4600,54502400
2014-12-30,26.7000,26.7550,23.6500,25.6050,381702374
2014-11-28,26.8600,28.4500,25.0400,27.4350,54209400
2014-10-31,25.5750,27.4450,22.8500,27.0250,77419800
2014-09-30,29.1450,29.1900,25.5000,25.9050,54947000
2014-08-29,26.2150,29.0700,25.4750,28.8500,63839400
2014-07-31,26.2000,27.4750,25.4550,26.1250,40118600
2014-06-30,27.1750,27.4000,26.0500,26.3000,39833600
2014-05-30,27.9050,29.3300,26.2750,26.9250,53909000
2014-04-30,27.5000,28.7450,27.2000,27.7700,45921200
2014-03-31,26.0750,27.9700,25.0050,27.4550,52336400
2014-02-28,26.8250,26.9350,25.0150,26.0750,43010800
2014-01-31,28.1400,28.1400,25.9250,26.6500,57660800
2013-12-30,28.8050,28.8050,27.3250,27.9750,35021800
2013-11-29,29.9700,30.3350,28.0850,29.0150,34934800
2013-10-31,27.8250,30.3850,27.3350,29.8650,44015600
2013-09-30,26.1950,28.8850,25.9700,27.3300,41350600
2013-08-30,27.8500,27.9750,25.5200,26.0950,52067200
2013-07-31,26.3400,27.2500,25.7800,27.0750,32669400
2013-06-28,27.0000,27.4350,24.1800,26.5000,40497000
2013-05-31,26.6700,28.0200,26.4500,26.8750,41328600
2013-04-30,25.4900,27.4450,24.7450,26.6950,38119400
2013-03-28,25.6550,25.9850,24.2900,25.5500,38730600
2013-02-28,24.0250,26.6700,23.6000,25.6500,44488600
2013-01-31,23.2000,24.5400,22.5250,24.0350,38005400
2012-12-28,22.1200,23.1450,21.5950,23.1450,30584600
2012-11-30,21.1550,22.6950,21.0350,22.0000,29245000
2012-10-31,22.7450,23.3000,20.5050,21.3000,50252000
2012-09-28,21.5850,23.4350,21.5850,22.8050,37807800
2012-08-31,24.2750,24.5750,21.5000,21.8500,39751000
2012-07-31,22.4500,24.6000,22.2900,24.1500,24329200
2012-06-29,20.5950,22.9200,20.2250,22.6000,30672600
2012-05-31,21.7450,22.1900,19.3100,20.7450,36904400
2012-04-30,20.0000,21.7500,19.8200,21.6500,26245000
2012-03-30,19.3550,20.7750,19.2350,20.0000,35916800
2012-02-29,17.6750,19.5400,17.6050,19.4950,27421400
2012-01-31,16.0250,18.3200,15.9250,17.6750,27898800
2011-12-29,16.1000,16.7000,15.3400,16.0050,23973200
2011-11-30,14.8050,16.3000,14.8050,15.9100,24643000
2011-10-31,14.5850,16.1550,14.2300,15.3000,34370000
2011-09-30,14.0250,15.2050,13.4500,14.7500,39720000
2011-08-31,10.0050,13.9750,10.0050,13.8950,27409000
2011-03-25,6.9788,10.0000,6.2600,10.0000,13608
2010-02-23,14.6250,14.6250,14.6250,14.6250,0
2010-01-29,14.6250,14.6250,14.6250,14.6250,0
2009-12-29,14.6250,14.6250,14.6250,14.6250,0
2009-11-30,14.6250,14.6250,14.6250,14.6250,0
2009-10-30,14.6250,14.6250,14.6250,14.6250,0
2009-09-30,14.6250,14.6250,14.6250,14.6250,0
2009-08-31,14.6250,14.6250,14.6250,14.6250,0
2009-07-31,14.6250,14.6250,14.6250,14.6250,0
2009-06-30,14.6250,14.6250,14.6250,14.6250,0
2009-05-29,14.6250,14.6250,14.6250,14.6250,0
2009-04-30,14.6250,14.6250,14.6250,14.6250,0
2009-03-31,14.6250,14.6250,14.6250,14.6250,0
2009-02-27,14.6250,14.6250,14.6250,14.6250,0
2009-01-30,14.6250,14.6250,14.6250,14.6250,0
2008-12-30,14.6250,14.6250,14.6250,14.6250,0
2008-11-28,14.6250,14.6250,14.6250,14.6250,0
2008-07-23,14.9750,14.9750,7.3125,7.3125,1600
2008-06-30,15.0000,15.6250,7.5000,7.5000,1600
2008-05-30,13.0000,16.2500,13.0000,13.0000,0
2008-04-22,23.7500,23.7500,13.0000,13.0000,0
2008-03-20,10.0000,10.0000,10.0000,10.0000,0
2008-02-20,10.0000,15.0750,10.0000,10.0000,0
2008-01-30,10.0000,10.0000,10.0000,10.0000,0
2007-11-27,15.0000,15.0000,14.7500,14.7500,0
2007-10-18,15.0000,16.2500,15.0000,15.0000,0
2007-09-06,8.0000,8.0000,8.0000,8.0000,0
2007-07-27,12.5000,12.5000,12.5000,12.5000,0
2007-05-09,6.3050,7.5000,6.3050,7.5000,2400
2007-04-19,6.2500,12.5000,6.2500,12.5000,0
2007-02-15,5.0000,5.3725,5.0000,5.3725,0
2007-01-31,5.3725,7.5000,5.3725,7.5000,0
2006-08-09,5.6000,5.6000,5.0000,5.0000,0
2005-10-24,6.2500,6.2500,6.2500,6.2500,0
2005-08-30,5.0000,5.0000,5.0000,5.0000,0
2005-04-14,6087500.0000,6252500.0000,6087500.0000,6252500.0000,0
2005-02-24,6616260.0000,8750000.0000,6616260.0000,8750000.0000,0
2005-01-18,7183360.0000,7183360.0000,7183360.0000,7183360.0000,0
