,open,high,low,close,volume
2019-12-19,8.4000,9.4300,8.3200,9.3700,197707100
2019-11-29,7.3500,8.8300,7.3100,8.5100,286580500
2019-10-31,7.6800,7.8200,7.1200,7.2600,283281500
2019-09-30,7.9400,8.4900,7.5500,7.8100,229562700
2019-08-30,8.7600,8.8500,6.8700,7.9000,283073900
2019-07-31,9.0800,9.8100,8.6100,8.7500,258515000
2019-06-28,8.2700,9.0700,7.9300,8.9400,190420500
2019-05-31,8.5700,9.0200,7.7000,8.2000,227291400
2019-04-30,10.3000,10.4100,8.4700,8.6300,268883100
2019-03-29,9.8000,11.2200,9.4100,10.0400,284937700
2019-02-28,9.8500,10.3000,9.1600,9.6600,298659500
2019-01-31,9.2100,10.3800,9.1200,9.8100,381424300
2018-12-28,9.8100,9.9900,8.5700,9.2200,317247600
2018-11-30,10.3400,10.3500,8.3700,9.3500,303159100
2018-10-31,8.3800,10.7000,7.9300,10.2800,450235200
2018-09-28,8.0700,8.6500,6.8800,8.3200,310977000
2018-08-31,8.7500,9.1900,7.6000,8.0700,340205100
2018-07-31,7.2800,9.3400,7.1500,8.8700,331161400
2018-06-29,8.4000,9.7300,7.0200,7.3200,294358700
2018-05-30,10.9500,11.4000,8.2500,8.2500,242757500
2018-04-30,10.9400,11.6600,10.0300,10.9000,205264200
2018-03-29,12.3200,12.4500,10.4500,10.9200,255119400
2018-02-28,11.9500,12.8800,10.8300,12.3200,267288900
2018-01-31,9.1800,12.1200,9.1700,11.8600,400348600
2017-12-29,8.5200,9.2000,8.4200,9.1000,255815700
2017-11-30,9.0400,9.5900,7.8000,8.5600,409834500
2017-10-31,7.8400,10.5800,7.6900,8.8100,508455000
2017-09-29,6.9600,9.6300,6.9600,7.7800,548608300
2017-08-31,5.2200,6.9300,5.1700,6.8900,361082600
2017-07-31,4.6400,5.2800,4.6100,5.1700,232306600
2017-06-30,4.0000,4.6200,3.8600,4.6000,218509000
2017-05-31,4.3400,4.5700,3.6000,3.9700,365386700
2017-04-28,4.4600,4.4800,3.6500,4.2600,319699900
2017-03-31,5.0300,5.3100,3.9100,4.4400,363478000
2017-02-24,5.3500,5.6200,4.8300,4.9300,246708600
2017-01-31,4.1000,5.3800,4.0500,5.2500,403545900
2016-12-29,4.2300,4.2800,3.8200,4.1000,349469600
2016-11-30,4.5800,4.6600,3.7700,4.1500,690832900
2016-10-31,3.5600,4.8300,3.5000,4.5100,525093900
2016-09-30,3.5000,4.0900,3.2300,3.5300,439779400
2016-08-31,3.8400,4.3000,3.3200,3.4700,814934100
2016-07-29,1.9700,3.7600,1.9300,3.7500,727627200
2016-06-30,1.6900,2.2500,1.6200,1.9700,611638900
2016-05-31,2.5400,2.5700,1.5900,1.6700,548623100
2016-04-29,1.7800,2.7000,1.4200,2.5000,426535400
2016-03-31,0.9100,2.2800,0.9000,1.8100,657078100
2016-02-29,0.8400,1.0600,0.8200,0.9000,388081600
2016-01-29,1.5100,1.5100,0.8400,0.8500,256523400
2015-12-30,2.2500,2.2700,1.4200,1.5500,188289800
2015-11-30,2.8200,3.0700,2.2000,2.2000,247326200
2015-10-30,3.3600,3.8800,2.7600,2.7800,219054000
2015-09-30,2.8700,4.8800,2.8700,3.3500,236703100
2015-08-31,3.9400,4.4500,2.6500,2.9800,160207900
2015-07-31,4.1500,4.3900,3.6600,3.9300,141483500
2015-06-30,5.0600,5.2500,4.1200,4.1200,138940700
2015-05-29,6.1000,7.0900,4.9900,5.1000,185304000
2015-04-30,5.0100,6.4200,4.5300,5.9700,160437300
2015-03-31,4.1400,5.3200,4.0700,4.9700,197205000
2015-02-27,3.4200,4.3200,3.3700,4.1300,193882200
2015-01-30,5.0500,5.1600,3.3500,3.3500,156996100
