,open,high,low,close,volume
2019-12-19,50.1500,54.6700,50.1100,54.1100,238393800
2019-11-29,47.8000,51.5000,46.9600,49.9800,347246900
2019-10-31,47.8500,48.9200,44.2200,47.2000,380088500
2019-09-30,46.5500,50.3000,45.3400,47.7500,368656500
2019-08-30,49.2400,49.3400,42.4400,45.5700,503424900
2019-07-31,53.1000,54.1600,49.2200,49.8100,406957900
2019-06-28,49.3500,53.1000,47.8600,51.8200,351314100
2019-05-31,49.2800,51.0000,45.8200,49.0000,474970400
2019-04-30,52.3500,53.8000,49.3800,50.1000,327521600
2019-03-29,47.2900,52.3900,44.5500,50.9300,407356500
2019-02-28,45.7200,47.7500,40.5100,47.1000,509025800
2019-01-31,50.0100,56.2000,42.3600,45.5000,700713800
2018-12-28,55.6000,55.6800,49.2800,51.0000,349413700
2018-11-30,56.7500,58.7700,49.0000,52.8000,400998200
2018-10-31,59.6800,62.1900,52.6000,56.7100,435274500
2018-09-28,53.3000,62.4200,51.7500,59.8200,265105200
2018-08-31,53.4000,56.4100,49.2300,53.6200,373306600
2018-07-31,48.8900,54.9800,47.6000,54.8400,330439500
2018-06-29,50.9000,56.7500,46.2600,49.5900,402393000
2018-05-30,48.5000,56.0000,48.4200,50.6300,375976400
2018-04-30,42.3200,49.1500,41.5900,48.6700,305955700
2018-03-29,45.2100,45.6300,40.0600,42.2100,378396100
2018-02-28,41.6000,47.6000,39.9300,45.0500,364687200
2018-01-31,40.4400,43.7500,40.4400,41.4500,322130800
2017-12-29,35.2000,40.2600,34.8900,40.2600,341103100
2017-11-30,32.8000,36.6500,31.9400,35.1400,390328600
2017-10-31,32.2500,33.9000,30.7300,32.1000,417623000
2017-09-29,35.5000,36.6900,31.0000,31.8700,419677100
2017-08-31,31.2500,35.1800,30.5400,35.0800,358502500
2017-07-31,29.2600,31.5200,28.3200,31.3000,117301500
2017-06-30,27.1500,29.3700,25.4000,29.0000,117214200
2017-05-31,27.7000,28.9000,25.0000,27.1700,131903700
2017-04-28,29.8100,31.4800,26.1500,27.4700,97308500
2017-03-31,33.0500,33.8400,27.2500,29.7900,135197400
2017-02-24,32.7000,37.2800,29.8700,32.7200,113067800
2017-01-31,25.2800,34.7200,25.0500,32.1800,97518400
2016-12-29,29.0700,31.6500,25.1400,25.6800,113919800
2016-11-30,22.3700,31.0100,21.4400,28.0600,165092800
2016-10-31,17.8500,22.4700,17.5600,22.0800,171082000
2016-09-30,17.0500,18.4200,16.1600,17.8100,103956300
2016-08-31,18.8000,19.3900,16.8400,16.9400,129975800
2016-07-29,16.3100,19.2000,15.5100,18.5000,127844400
2016-06-30,14.0900,17.3500,13.8000,16.2700,138381900
2016-05-31,20.1400,20.3100,13.6600,14.2200,167265800
2016-04-29,14.8900,22.1900,14.4600,19.6900,126859900
2016-03-31,12.2000,18.6000,12.1400,15.1500,256772000
2016-02-29,9.6300,13.4400,8.6000,11.8100,154930300
2016-01-29,12.4900,12.9800,8.6300,9.7200,160211400
2015-12-30,13.0000,13.6000,11.2500,13.0300,131803900
2015-11-30,17.2500,18.3500,12.6000,13.1700,110983300
2015-10-30,16.8100,20.8300,16.1400,17.0600,137102700
2015-09-30,17.3100,20.5600,16.3300,16.5800,157840700
2015-08-31,17.8100,19.7900,14.7700,17.9200,154974200
2015-07-31,18.3200,19.8100,16.4100,17.8700,137304400
2015-06-30,20.0700,21.7200,18.1600,18.2900,110678600
2015-05-29,24.1000,27.8900,19.7300,20.0500,169567800
2015-04-30,17.7800,24.8100,17.1700,22.6500,192453600
2015-03-31,21.1600,21.2500,17.8300,17.9400,153858200
2015-02-27,18.9500,23.0000,18.6500,21.2500,106156000
2015-01-30,21.7000,23.1300,17.6500,18.6100,119595300
2014-12-30,22.8100,22.9400,18.2000,21.9100,442137265
2014-11-28,24.7000,24.9000,21.6700,23.2900,114488000
2014-10-31,26.6500,28.7400,23.5000,25.0000,149907600
2014-09-30,29.4500,29.5700,26.1400,26.8500,125254900
2014-08-29,32.4500,32.5500,28.8100,29.2000,82516000
2014-07-31,29.5000,33.2500,29.5000,32.5500,80180300
