,open,high,low,close,volume
2019-12-19,57.2000,57.7700,55.3200,57.0100,19959800
2019-11-29,53.3000,56.8400,52.6200,56.2500,29749600
2019-10-31,54.6600,55.2800,52.4000,53.0800,28061000
2019-09-30,53.6500,55.8900,51.8100,54.9400,33545500
2019-08-30,52.3000,53.9900,50.3900,53.6700,36590000
2019-07-31,49.6400,54.6300,48.8000,52.3000,38325500
2019-06-28,48.1000,51.2300,47.8400,49.9100,35594800
2019-05-31,46.0000,48.4900,44.0900,48.0500,41855300
2019-04-30,47.3400,50.2500,45.9500,46.5700,36776900
2019-03-29,46.5400,49.3100,45.4500,47.5000,36123100
2019-02-28,48.5900,49.7800,46.7900,46.7900,34496100
2019-01-31,46.2400,49.3300,45.6700,48.6900,43936100
2018-12-28,46.4700,48.8800,45.4100,46.2300,34774700
2018-11-30,43.6000,47.2400,42.6000,46.0100,39168900
2018-10-31,39.2000,44.2000,37.2000,43.2200,49563000
2018-09-28,40.0100,42.0000,37.7000,39.2000,35913800
2018-08-31,41.0000,42.5100,39.4000,40.0200,41261900
2018-07-31,45.2900,45.8000,40.8300,41.0600,38124100
2018-06-29,45.1200,46.5000,44.0200,45.7400,41986900
2018-05-30,49.1300,49.6600,44.0000,45.5000,58464700
2018-04-30,51.0000,52.1000,47.6700,49.1400,35324300
2018-03-29,51.1500,53.0400,48.6100,50.4000,30687200
2018-02-28,53.8500,55.0300,50.6500,50.6500,29697500
2018-01-31,48.5000,54.1600,48.4200,53.8500,38154900
2017-12-29,47.1200,51.5300,47.0600,48.6200,37214300
2017-11-30,50.8600,51.1600,47.4200,47.4800,35639700
2017-10-31,50.0300,52.4200,49.7400,50.5000,30997900
2017-09-29,49.3200,52.9500,48.5900,50.4700,30789400
2017-08-31,46.9600,49.7100,46.6300,48.8400,33247800
2017-07-31,45.3300,47.4600,44.0700,46.7100,29073300
2017-06-30,46.8500,47.3900,44.6800,44.9000,40016300
2017-05-31,46.8500,48.7400,42.4300,46.8000,44130700
2017-04-28,46.6000,48.3900,44.9600,47.2900,31387000
2017-03-31,45.3700,47.2900,44.8500,46.7500,39765200
2017-02-24,46.7800,48.7000,45.6500,45.9100,31721900
2017-01-31,43.6000,46.8400,42.9900,46.6700,30264600
2016-12-29,44.3000,44.9900,40.4000,44.0800,30560100
2016-11-30,46.2500,46.5000,42.1000,45.1600,41568900
2016-10-31,46.5400,47.5500,42.8300,46.1800,62586100
2016-09-30,48.4900,50.2800,45.8000,46.9500,37190400
2016-08-31,48.9300,49.8400,45.0000,48.6900,51667500
2016-07-29,44.4000,49.6700,43.3200,49.2300,40384400
2016-06-30,41.6000,44.0600,39.6400,44.0000,43918700
2016-05-31,42.2200,43.5600,40.4900,41.8900,37443100
2016-04-29,44.6900,44.6900,41.2000,42.3600,22988100
2016-03-31,38.5800,47.5600,38.2200,46.6700,58176800
2016-02-29,34.5300,38.5800,33.0600,38.2000,29443300
2016-01-29,35.0000,36.0200,31.7200,34.7600,40148100
2015-12-30,37.1700,38.9800,35.4200,35.7500,34370600
2015-11-30,40.7000,42.1600,36.7800,37.0000,40462200
2015-10-30,36.8500,40.4600,36.4100,39.9500,42672600
2015-09-30,39.5000,42.0000,35.8600,36.6700,55920700
2015-08-31,44.5100,45.1600,37.2100,40.3900,58131300
2015-07-31,43.5300,45.9700,40.8500,45.0500,51602700
2015-06-30,45.0000,45.4000,41.1900,43.3400,49078400
2015-05-29,50.3500,50.4500,43.7200,44.5100,53856900
2015-04-30,47.6907,50.3700,45.8100,49.6600,42623089
2015-03-31,50.7556,52.2882,45.7051,47.6907,36633171
2015-02-27,48.6738,52.8086,47.3051,50.9870,17954804
2015-01-30,44.4811,51.0834,43.4016,48.0665,20515092
2014-12-30,49.3677,49.4930,43.3534,45.2714,124279549
2014-11-28,48.4810,52.0472,45.8786,50.4569,15155159
2014-10-31,46.1003,50.1195,41.9944,48.5485,27725959
2014-09-30,45.1558,50.4858,44.6931,46.4569,27510983
2014-08-29,43.4883,46.2449,40.3848,46.1678,27203465
2014-07-31,43.3823,44.7606,41.5799,43.7196,18607713
2014-06-30,43.2859,45.6762,42.2257,43.3727,18450533
2014-05-30,45.4738,46.1678,43.0739,43.1317,18818435
2014-04-30,46.2545,46.4377,43.3245,45.1461,22449339
2014-03-31,41.9269,46.3509,41.5606,46.2931,21820186
2014-02-28,43.8449,44.9052,40.5872,41.4257,25515107
2014-01-31,42.5341,46.3124,42.0522,44.2112,32084894
2013-12-30,42.8907,43.8546,40.0956,42.5341,18247176
2013-11-29,46.7365,46.7750,42.2160,43.2859,22270467
2013-10-31,47.7003,48.3653,44.5293,47.5653,27682072
2013-09-30,44.9052,49.6376,44.3365,47.1894,30594181
2013-08-30,46.9389,48.3171,44.0570,44.7702,24880249
2013-07-31,47.7870,49.6280,44.9823,46.5630,22341748
2013-06-28,50.7942,52.6641,45.9268,48.4906,27381606
2013-05-31,50.6978,53.5797,50.0328,50.7075,23195107
2013-04-30,52.1532,52.4038,48.8569,51.2279,37505619
2013-03-27,49.9846,52.4520,49.4255,51.4785,23499515
2013-02-28,48.4714,50.8424,45.9654,50.2545,24754811
2013-01-31,47.7003,51.0737,47.3822,48.4714,33678728
2012-12-28,44.7220,47.7099,43.1317,47.2280,17600593
2012-11-30,43.1895,47.2280,42.7847,44.7220,19192251
2012-10-31,42.6401,44.3558,41.6667,43.3727,24057183
2012-09-28,42.3992,45.4931,41.2329,42.6883,26795199
2012-08-31,46.2835,48.6834,41.2329,42.0522,24316044
2012-07-31,48.1629,50.6303,43.2570,46.2931,26174452
2012-06-29,46.2063,48.6256,45.3582,48.1726,20519344
2012-05-31,51.7484,53.8785,45.1943,46.2642,26998034
2012-04-30,54.9387,55.2471,50.8906,52.4327,17408133
2012-03-30,49.5605,55.1122,48.6159,54.4471,24120888
2012-02-29,47.3148,50.1870,45.2907,49.5412,24302142
2012-01-31,49.1557,50.7364,46.0039,46.8907,15732641
2011-12-29,47.2280,51.1605,45.6088,50.0231,15322717
2011-11-30,47.1413,48.0762,44.9919,47.0352,12008256
2011-10-31,47.0352,49.0111,44.8184,47.4208,15711268
2011-09-30,48.3846,51.1797,45.4449,47.9991,22075831
2011-08-31,45.8786,48.6159,40.5293,48.3461,21755653
2011-07-29,44.1341,47.3629,42.4088,46.8425,13773806
2011-06-30,43.0257,45.8304,41.2811,43.7582,18816567
2011-05-31,40.3944,44.2883,38.7655,43.5558,3761993
2011-04-29,38.0716,41.5414,37.9077,39.9703,4145723
2011-03-31,39.4306,41.0113,35.9415,36.6258,4868036
2011-02-28,39.5173,40.1727,37.2041,39.3245,2149465
2011-01-31,40.1438,41.4450,38.7462,38.9968,2515573
2010-12-30,39.3824,40.5101,37.1270,40.5101,1767104
2010-11-30,39.0450,40.6257,37.9752,38.6595,2148082
2010-10-29,39.2282,40.7510,37.7631,39.0450,2413895
2010-09-30,38.8523,40.3559,38.4089,39.9992,2223728
