,open,high,low,close,volume
2019-12-19,9.1700,11.6000,8.9700,11.1900,814482600
2019-11-29,7.4600,8.9600,6.4400,8.8100,621547200
2019-10-31,7.9500,8.0600,7.2300,7.4200,505714300
2019-09-30,7.6000,7.9800,6.6000,7.9200,528834800
2019-08-30,7.8500,8.6600,6.3200,7.7300,851713000
2019-07-31,5.1000,7.8700,5.0500,7.7200,1011795800
2019-06-28,4.9000,5.2300,4.6200,5.0700,981825500
2019-05-31,4.0700,4.9200,3.9700,4.7000,447005100
2019-04-30,4.2900,4.6800,3.8000,4.1000,275861800
2019-03-29,4.6400,4.8800,4.0100,4.2200,199051700
2019-02-28,6.0000,6.1600,4.3600,4.5800,472138200
2019-01-31,4.4000,6.0300,3.8600,6.0000,417881400
2018-12-28,5.2100,5.2900,4.1400,4.3900,196515400
2018-11-30,5.6100,5.7000,4.7600,5.1800,36557300
2018-10-31,5.1500,5.8000,4.2600,5.6000,3883100
2018-09-28,6.0000,6.0000,4.2900,5.0600,2204900
2018-08-31,7.4800,8.4100,5.6400,5.7000,720500
2018-07-31,5.7100,7.3100,5.2600,7.1500,542500
2018-06-29,6.6800,7.1600,5.6000,5.8900,171900
2018-05-30,8.0600,8.1800,6.0000,6.5000,326200
2018-04-30,8.2100,8.7000,7.6500,8.1100,426000
2018-03-29,7.8800,8.5900,7.4300,8.1500,286300
2018-02-28,8.2800,8.3500,7.3500,7.8800,273200
2018-01-31,7.9300,8.8900,7.3700,8.1000,467200
2017-12-29,7.5000,7.9400,7.0300,7.9300,293100
2017-11-30,7.7800,8.0200,6.2100,7.3600,336600
2017-10-31,7.8900,8.6000,7.1500,7.6000,790000
2017-09-29,6.8000,7.9100,6.7000,7.8400,844900
2017-08-31,5.8100,6.8500,5.5200,6.7000,284200
2017-07-31,4.1000,6.1800,4.0700,5.8600,280900
2017-06-30,3.7000,4.1800,3.7000,4.0200,95500
2017-05-31,4.6000,5.3200,3.5200,3.6900,221400
2017-04-28,3.6400,4.5000,3.6000,4.5000,125700
2017-03-31,4.0700,4.4000,3.5500,3.6400,322700
2017-02-24,3.2500,4.1500,3.1800,4.0400,447500
2017-01-31,3.7500,3.9700,3.1300,3.2500,360600
2016-12-29,3.6300,3.7500,3.2200,3.6000,325700
2016-11-30,3.8000,4.4000,3.2000,3.6300,354300
2016-10-31,3.0000,4.3700,2.9800,3.7500,421900
2016-09-30,2.8900,3.1000,2.7200,3.0900,20800
2016-08-31,2.9500,3.1800,2.7100,2.8900,102400
2016-07-29,3.1000,3.7000,2.6100,2.9000,84400
2016-06-30,2.5000,3.4500,2.5000,3.1000,35300
2016-05-31,2.8900,3.4500,2.5000,2.6000,37000
2016-04-29,2.1100,3.0000,2.1100,2.9700,68500
2016-03-31,2.2500,2.4500,1.9800,2.4200,100900
2016-02-29,1.3400,2.2500,1.3000,2.2500,140200
2016-01-29,1.4200,1.5700,1.0800,1.2400,98300
2015-12-30,2.4000,2.6000,1.3200,1.5000,192100
2015-11-30,2.9000,3.2000,2.3000,2.9000,37000
2015-10-30,2.7000,3.5600,2.3200,2.9000,41500
2015-09-30,7.7000,7.7000,2.4000,2.7200,58700
2015-08-31,7.7000,7.7100,7.2900,7.7000,75000
2015-07-31,6.8800,7.9700,6.1000,7.7000,9200
2015-06-30,6.4000,7.0000,6.4000,6.8800,17400
2015-05-29,5.3800,6.4000,5.3800,6.4000,11700
2015-04-30,7.7000,7.7000,5.3700,5.3800,900
2015-03-31,7.7000,7.7000,7.7000,7.7000,0
2015-02-27,7.3800,7.7000,7.3800,7.7000,100
2015-01-30,6.8000,7.3800,6.8000,7.3800,2100
2014-12-30,7.5000,7.5000,5.1300,6.8000,1000
2014-11-28,7.0000,7.5000,7.0000,7.5000,400
2014-10-31,7.0000,7.0000,7.0000,7.0000,0
2014-09-30,7.5000,8.5000,7.0000,7.0000,3700
2014-08-29,7.1100,7.5000,6.7200,7.5000,2400
2014-07-31,7.6000,8.5000,6.2100,7.1100,19800
2014-06-30,8.4200,8.4500,6.5100,7.2100,10200
2014-05-30,7.6000,8.4000,7.1000,8.0000,24400
2014-04-30,6.6300,7.6100,6.6300,7.6000,27800
2014-03-31,6.0000,7.5000,4.7800,6.6300,56100
2014-02-28,6.7000,7.4500,6.0000,6.0000,2800
2014-01-31,7.5100,8.5000,6.2600,6.7200,12900
2013-12-30,8.9700,10.1900,7.5100,7.5100,30000
2013-11-29,7.5000,9.0000,7.4975,8.9700,60600
2013-10-31,6.3750,7.5000,6.3750,7.5000,42000
2013-09-27,6.0000,6.2500,5.7500,6.0000,14800
2013-08-30,5.7775,6.0000,5.7500,6.0000,13200
2013-07-31,5.7750,5.7775,5.2500,5.7775,179200
2013-06-28,6.6250,6.6250,5.7750,5.7750,22400
2013-05-31,5.9000,6.7500,5.5000,6.6250,41200
2013-04-30,5.7500,6.0000,5.7500,5.9000,260000
2013-03-28,5.6250,5.8750,5.6250,5.7500,12000
2013-02-28,4.5000,5.6250,4.5000,5.6250,123200
2013-01-31,4.5000,4.5000,4.5000,4.5000,26000
2012-12-28,4.5000,4.5025,4.5000,4.5000,99600
2012-11-30,4.2500,4.5025,4.1250,4.5000,108000
2012-10-31,4.5000,4.5000,4.2500,4.2500,182800
2012-09-28,4.4500,4.5250,4.4500,4.5000,2400
2012-08-31,4.5500,4.8250,4.5300,4.8250,1200
2012-07-31,4.5000,4.5500,4.0025,4.5500,2800
2012-06-29,4.7500,4.7500,4.5000,4.5000,1222400
2012-05-31,5.5000,5.5000,4.7500,4.7500,444000
2012-04-30,6.0000,6.0000,5.0000,5.0000,414800
2012-03-30,5.8700,6.3500,5.7500,6.0000,339200
2012-02-29,4.4000,6.1500,4.2500,6.0000,44400
2012-01-31,3.8000,4.3625,3.8000,4.3500,25600
2011-12-29,3.8500,4.0750,3.7000,3.8750,95600
2011-11-30,4.5000,4.5000,3.5375,3.8500,37200
2011-10-31,4.5000,4.5200,4.5000,4.5000,7200
2011-09-26,5.3750,5.3750,4.5000,4.6275,162000
2011-08-31,5.3825,5.5000,5.2250,5.2500,20800
2011-07-19,6.0000,6.0000,5.7500,6.0000,3600
2011-06-29,6.3750,6.3750,6.0000,6.0000,100000
2011-05-30,6.3750,6.6250,6.0900,6.6250,159600
2011-04-29,6.7500,6.7500,6.5000,6.5000,1897600
2011-03-30,6.8500,6.8500,6.5000,6.7500,51660
2011-02-28,5.3750,6.8500,5.3750,6.8500,133200
2011-01-31,4.8775,6.0000,4.8775,5.5000,353200
2010-12-30,4.7500,5.1250,4.0000,4.8750,228800
2010-11-30,3.7000,4.8675,3.6500,4.7500,958800
2010-10-29,3.8000,3.9225,3.5450,3.7250,206800
2010-09-30,3.7450,3.8750,3.5400,3.8000,272616
2010-08-31,3.8350,3.8750,3.4125,3.4300,608000
2010-07-30,3.2925,4.0000,3.2925,3.8375,282996
2010-06-30,3.0000,3.3250,3.0000,3.2000,16000
2010-05-31,3.2950,3.3500,2.7625,3.0250,215600
2010-04-30,3.2525,3.4250,3.1275,3.1750,104000
2010-03-31,2.7025,3.3950,2.7025,3.3475,367200
2010-02-26,3.1525,3.1525,2.7125,2.7500,438000
2010-01-29,3.7550,4.0000,3.1250,3.3250,560800
2009-12-29,2.3750,4.9500,2.3750,3.8375,5060400
2009-11-30,2.0225,2.3975,1.9500,2.3750,431200
2009-10-30,2.0150,2.0800,1.9250,2.0125,746400
2009-09-30,1.9625,2.0950,1.8775,2.0150,468000
2009-08-31,2.0575,2.1850,1.8500,1.9625,22590400
2009-07-31,1.9125,2.1475,1.9000,2.0625,19457600
2009-06-30,2.3125,2.4000,1.8875,1.9250,33038400
2009-05-29,2.0425,2.3750,1.9725,2.2500,6772400
2009-04-30,1.7375,2.2500,1.5975,2.0125,13846400
2009-03-31,1.4150,1.7500,1.2775,1.6125,1559600
2009-02-27,1.4250,1.6000,1.2875,1.5000,14026800
2009-01-30,1.2625,1.4925,1.1400,1.3125,1350000
2008-12-30,1.5000,1.7475,1.2000,1.2625,854800
2008-11-28,1.8750,2.0000,1.3750,1.4500,3804800
2008-10-31,3.0000,3.2250,1.5000,1.7250,2752000
2008-09-30,3.5000,3.7475,3.0000,3.1500,1190800
2008-08-29,4.5000,4.6250,3.5000,3.6225,1862000
2008-07-31,5.2500,5.2500,3.8750,4.5000,3348800
2008-06-30,6.3250,6.4500,4.7500,5.1625,1998000
2008-05-30,6.7500,6.9500,6.0000,6.3250,1205600
2008-04-30,5.9250,7.6550,5.7500,6.7475,1425600
2008-03-31,7.8750,8.2500,5.7500,6.1225,645200
2008-02-29,8.0000,8.5000,6.2525,7.8750,192000
2008-01-31,9.3088,12.8750,7.7500,7.7500,26400
2007-12-28,8.1339,9.3088,7.4109,9.3088,1660
