,open,high,low,close,volume
2019-12-19,30.4200,34.3800,30.1300,33.6800,63044100
2019-11-29,25.8800,30.4200,25.7000,30.4200,80673000
2019-10-31,24.0000,26.5900,22.6300,25.5000,69044000
2019-09-30,22.5000,24.5200,22.1900,24.2300,53950100
2019-08-30,23.9700,24.8400,21.2000,22.5000,78747900
2019-07-31,21.8700,24.4300,21.4800,23.8200,69938200
2019-06-28,19.0900,21.8300,18.6400,21.3600,61182300
2019-05-31,18.5800,19.4100,17.6700,19.0500,63544700
2019-04-30,18.2000,19.4100,17.9400,18.5800,54253100
2019-03-29,18.5600,19.4400,17.3800,18.0000,44801700
2019-02-28,18.8600,20.0500,18.1300,18.4200,62462900
2019-01-31,17.6200,19.6200,17.5000,18.8400,70886600
2018-12-28,17.9800,18.3200,16.8100,17.5400,58905800
2018-11-30,18.0200,19.2500,17.4600,17.8200,58878700
2018-10-31,19.8000,20.2500,17.2300,18.0000,85862300
2018-09-28,19.0400,20.0000,18.3500,19.7500,44330400
2018-08-31,18.5000,19.1400,17.1300,19.1400,60748000
2018-07-31,16.3000,19.3600,15.6200,18.5100,61838000
2018-06-29,17.4600,18.0000,15.0700,16.2500,74832800
2018-05-30,17.7900,19.4300,16.4500,17.1800,73948100
2018-04-30,17.4538,18.1300,16.3692,17.7800,44873710
2018-03-29,17.8231,18.2308,16.7539,17.3923,46505680
2018-02-28,18.2692,18.9385,16.5231,18.0077,51143560
2018-01-31,18.7308,20.2000,18.0769,18.2308,49752560
2017-12-29,17.5154,19.2461,17.1462,18.5462,45617780
2017-11-30,16.5539,18.1308,16.0154,17.6000,49200580
2017-10-31,16.5231,17.9000,15.9077,16.3692,51891320
2017-09-29,15.8462,18.3000,15.7538,16.4615,55723850
2017-08-31,14.6154,16.2154,14.5308,15.7385,40077050
2017-07-31,13.6692,15.2231,13.6000,14.5692,35751690
2017-06-30,14.6308,14.9308,13.3231,13.6154,45377800
2017-05-31,13.6692,15.7154,13.2077,14.6154,71032390
2017-04-28,13.3462,13.8231,12.7692,13.6154,49045490
2017-03-31,13.2615,13.8846,12.5154,13.3846,69816500
2017-02-24,12.3154,13.4846,12.0154,13.0615,40752270
2017-01-31,11.8462,12.5462,11.3615,12.2385,50201840
2016-12-29,11.8462,11.9308,10.8692,11.9231,53716130
2016-11-30,13.5385,13.5923,11.6000,11.9769,55130920
2016-10-31,13.5308,14.0769,13.0077,13.5385,50852750
2016-09-30,12.7000,13.8077,12.3923,13.5846,53618630
2016-08-31,11.7231,13.3923,11.5846,12.7154,62565360
2016-07-29,10.6308,11.8385,10.1231,11.7462,59399080
2016-06-30,11.1385,11.7385,10.4000,10.5692,54594410
2016-05-31,11.6308,12.2462,11.0462,11.0692,51420720
2016-04-29,11.0154,11.8923,10.2692,11.6769,38365470
2016-03-31,10.2077,11.6461,10.0385,10.8077,81548090
2016-02-29,11.6692,11.8462,9.8154,10.1461,69408950
2016-01-29,11.4308,12.0385,10.3308,11.8923,55068260
2015-12-30,11.8462,12.7462,11.3154,11.5000,64688130
2015-11-30,11.1538,12.5923,10.7077,11.6923,62264930
2015-10-30,11.9231,13.2462,10.9769,11.0769,43116450
2015-09-30,12.4769,13.3308,11.7846,11.8846,54616380
2015-08-31,14.5385,14.8077,12.0769,12.8846,44172050
2015-07-31,14.7385,15.5231,13.9154,14.3923,52030030
2015-06-30,13.3462,14.8769,13.0769,14.6231,41537990
2015-05-29,12.3308,13.7385,12.3308,13.1538,31592730
2015-04-30,12.3077,12.7462,11.9308,12.3385,35468550
2015-03-31,11.8115,12.4192,11.4269,12.2308,50674520
2015-02-27,12.4615,13.0846,11.7615,11.7615,31047640
2015-01-30,11.8462,12.8500,11.4615,12.3385,31215080
2014-12-30,11.7231,12.2808,11.1885,11.7308,127167664
2014-11-28,11.2962,11.9423,11.1731,11.7192,33117500
2014-10-31,10.9346,11.4385,10.1269,11.2423,62434840
2014-09-30,10.7577,11.1885,10.5808,10.9885,47675160
2014-08-29,10.5269,10.7692,9.9769,10.7500,40165580
2014-07-31,10.8846,11.1000,10.2538,10.4615,40550380
2014-06-30,10.0385,11.1154,9.9962,10.8808,24478220
2014-05-30,10.3769,10.7462,9.9923,10.0038,27953640
2014-04-30,9.3698,10.4000,9.3521,10.3500,39273078
2014-03-31,9.0325,9.5118,8.7308,9.3787,36576332
2014-02-28,8.1065,9.1657,7.9231,9.0503,35341280
2014-01-31,9.2426,9.2663,8.0621,8.1065,35537658
2013-12-30,9.2426,9.6420,9.1243,9.2189,37226644
2013-11-29,8.6095,9.4823,8.5266,9.3195,38312976
2013-10-31,7.9911,8.7189,7.8817,8.6095,38457302
2013-09-30,8.3402,8.4675,7.9882,7.9882,34559486
