,open,high,low,close,volume
2019-12-19,108246.0000,115132.0000,10000.0000,115131.0000,77634600
2019-11-29,107221.0000,109672.0000,105261.0000,108042.0000,95992100
2019-10-31,104745.0000,108408.0000,99826.0000,107220.0000,103190700
2019-09-30,101133.0000,106001.0000,99406.0000,104745.0000,93206100
2019-08-30,101819.0000,104848.0000,95855.0000,101135.0000,118683900
2019-07-31,100973.0000,106650.0000,100073.0000,101812.0000,94472500
2019-06-28,97036.0000,102617.0000,95686.0000,100967.0000,88248100
2019-05-31,96339.0000,97992.0000,89409.0000,97030.0000,98077700
2019-04-30,95423.0000,97610.0000,92338.0000,96353.0000,90379400
2019-03-29,95584.0000,100439.0000,91584.0000,95415.0000,83984200
2019-02-28,97395.0000,98589.0000,93424.0000,95584.0000,95001600
2019-01-31,87887.0000,98405.0000,87536.0000,97394.0000,101237300
2018-12-28,89511.0000,91242.0000,83892.0000,87887.0000,79750200
2018-11-30,87428.0000,90246.0000,84030.0000,89504.0000,83697300
2018-10-31,79350.0000,88377.0000,78091.0000,87424.0000,110546700
2018-09-28,76675.0000,80107.0000,74275.0000,79342.0000,59194500
2018-08-31,79213.0000,81792.0000,74876.0000,76678.0000,77877000
2018-07-31,72763.0000,80589.0000,71935.0000,79220.0000,63627800
2018-06-29,76779.0000,78892.0000,69069.0000,72763.0000,93312000
2018-05-30,86111.0000,86678.0000,75337.0000,76754.0000,96407700
2018-04-30,85365.0000,87179.0000,82762.0000,86115.0000,61917800
2018-03-29,85337.0000,87333.0000,82889.0000,85366.0000,70136200
2018-02-28,84913.0000,88318.0000,79690.0000,85481.0000,67686500
2018-01-31,76403.0000,86213.0000,76403.0000,84913.0000,71837300
2017-12-29,71955.0000,76437.0000,71356.0000,76402.0000,54645300
2017-11-30,74310.0000,75199.0000,70825.0000,71971.0000,65167600
2017-10-31,74295.0000,78024.0000,73845.0000,74308.0000,65846200
2017-09-29,70848.0000,76420.0000,70846.0000,74294.0000,68909400
2017-08-31,65925.0000,71506.0000,65925.0000,70835.0000,68162600
2017-07-31,62901.0000,66048.0000,62035.0000,65920.0000,53755900
2017-06-30,62711.0000,63637.0000,60544.0000,62900.0000,65351300
2017-05-31,65404.0000,68792.0000,60315.0000,62711.0000,86770000
2017-04-28,64989.0000,66211.0000,62826.0000,65403.0000,51935600
2017-03-31,66661.0000,67398.0000,62496.0000,64984.0000,73694400
2017-02-24,64687.0000,69488.0000,63740.0000,66662.0000,56775200
2017-01-31,60227.0000,66594.0000,59371.0000,64671.0000,60057300
2016-12-29,61906.0000,61936.0000,56829.0000,60227.0000,64108500
2016-11-30,64922.0000,65291.0000,58322.0000,61906.0000,83065700
2016-10-31,58370.0000,65054.0000,58367.0000,64925.0000,74450900
2016-09-30,57901.0000,60310.0000,56459.0000,58367.0000,68141200
2016-08-31,57309.0000,59418.0000,55696.0000,57901.0000,80937900
2016-07-29,51540.0000,57474.0000,50825.0000,57308.0000,75165800
2016-06-30,48468.0000,51812.0000,48067.0000,51527.0000,79032100
2016-05-31,53910.0000,54113.0000,48292.0000,48472.0000,79045000
2016-04-29,50054.0000,54978.0000,47874.0000,53911.0000,88910200
2016-03-31,42795.0000,52262.0000,42795.0000,50055.0000,121365300
2016-02-29,40397.0000,43601.0000,38596.0000,42794.0000,73592000
2016-01-29,43349.0000,43349.0000,37046.0000,40406.0000,70039500
2015-12-30,45121.0000,47142.0000,43137.0000,43350.0000,64358600
2015-11-30,45869.0000,49054.0000,45106.0000,45120.0000,66640000
2015-10-30,45064.0000,49752.0000,44789.0000,45869.0000,78617500
2015-09-30,46625.0000,49396.0000,43767.0000,45059.0000,79146200
2015-08-31,50867.0000,50867.0000,42749.0000,46626.0000,71135200
2015-07-31,53081.0000,53456.0000,48624.0000,50865.0000,65571800
2015-06-30,52753.0000,54361.0000,52548.0000,53081.0000,61236200
